delivery_no,customer_name,invoice_date_raw,customer_order_no,instruction_no,product_name,spec,color,qty,unit,unit_price,amount,remark,source_sheet
SHL2505052,福建省莆田市双联鞋业有限公司,2025-05-23 00:00:00,,2L001200,13117飞织舌面,,灰蓝18-4214TPG,800.0,双,0.9,720.0,,双联帐单
SHL2505053,福建省莆田市双联鞋业有限公司,2025-05-23 00:00:00,,2L001201,13117飞织面,,冷灰COOL,800.0,双,6.1,4880.0,,双联帐单
SHL2505053,福建省莆田市双联鞋业有限公司,2025-05-23 00:00:00,,2L001201,13117飞织舌面,,冷灰COOL,800.0,双,0.9,720.0,,双联帐单
SHL2505053,福建省莆田市双联鞋业有限公司,2025-05-23 00:00:00,,2L001208,13117飞织面,,深橄榄色19-0516TPG,1400.0,双,6.1,8540.0,,双联帐单
SHL2505053,福建省莆田市双联鞋业有限公司,2025-05-23 00:00:00,,2L001208,13117飞织舌面,,深橄榄色19-0516TPG,1400.0,双,0.9,1260.0,,双联帐单
SHL2505053,福建省莆田市双联鞋业有限公司,2025-05-23 00:00:00,,2L001207,13117飞织面,,深海蓝19-4024TPX,2912.0,双,6.1,17763.2,,双联帐单
SHL2505053,福建省莆田市双联鞋业有限公司,2025-05-23 00:00:00,,2L001207,13117飞织舌面,,深海蓝19-4024TPX,2912.0,双,0.9,2620.8,,双联帐单
SHL2505054,福建省莆田市双联鞋业有限公司,2025-05-23 00:00:00,,2L001205,13116飞织面,,深兰19-4125TPG,1000.0,双,6.1,6100.0,,双联帐单
SHL2505054,福建省莆田市双联鞋业有限公司,2025-05-23 00:00:00,,2L001205,13116飞织舌面,,深兰19-4125TPG,1000.0,双,0.9,900.0,,双联帐单
SHL2505054,福建省莆田市双联鞋业有限公司,2025-05-23 00:00:00,,2L001214,13116飞织面,,14-3803TPG紫罗兰,350.0,双,6.1,2135.0,,双联帐单
SHL2505054,福建省莆田市双联鞋业有限公司,2025-05-23 00:00:00,,2L001214,13116飞织舌面,,14-3803TPG紫罗兰,350.0,双,0.9,315.0,,双联帐单
SHL2505054,福建省莆田市双联鞋业有限公司,2025-05-23 00:00:00,,2L001213,13116飞织面,,18-4034TPG蓝色,450.0,双,6.1,2745.0,,双联帐单
SHL2505054,福建省莆田市双联鞋业有限公司,2025-05-23 00:00:00,,2L001213,13116飞织舌面,,18-4034TPG蓝色,450.0,双,0.9,405.0,,双联帐单
SHL2505054,福建省莆田市双联鞋业有限公司,2025-05-23 00:00:00,,2L001206,13116飞织面,,蘑菇灰13-4201TPG,1000.0,双,6.1,6100.0,,双联帐单
SHL2505054,福建省莆田市双联鞋业有限公司,2025-05-23 00:00:00,,2L001206,13116飞织舌面,,蘑菇灰13-4201TPG,1000.0,双,0.9,900.0,,双联帐单
SHL2505055,福建省莆田市双联鞋业有限公司,2025-05-23 00:00:00,,2L001204,13116飞织面,,黑色,1000.0,双,6.1,6100.0,,双联帐单
SHL2505055,福建省莆田市双联鞋业有限公司,2025-05-23 00:00:00,,2L001204,13116飞织舌面,,黑色,1000.0,双,0.9,900.0,,双联帐单
SHL2505055,福建省莆田市双联鞋业有限公司,2025-05-23 00:00:00,,2L001210,13116飞织面,,黑色,2500.0,双,6.1,15250.0,,双联帐单
SHL2505055,福建省莆田市双联鞋业有限公司,2025-05-23 00:00:00,,2L001210,13116飞织舌面,,黑色,2500.0,双,0.9,2250.0,,双联帐单
SC240724,江西双驰,2024-07-29 00:00:00,4510135480,1J000308,"250-270G大星点雾面纹网布 锦纶54""",,橡芽白色,10.0,码,13.5,135.0,,双驰帐单
SC240724,江西双驰,2024-07-29 00:00:00,,,小缸费,,橡芽白色,1.0,个,300.0,300.0,,双驰帐单
SC240904,江西双驰,2024-09-12 00:00:00,4510138129,51124103289,"丝光布54""",,峡湾蓝色,11.0,码,4.0,44.0,,双驰帐单
SC240904,江西双驰,2024-09-12 00:00:00,,,小缸费,,峡湾蓝色,1.0,个,200.0,200.0,,双驰帐单
SC240908,江西双驰,2024-09-16 00:00:00,4510138129,51124103289,"丝光布54""",,峡湾蓝色,5.0,码,4.0,20.0,,双驰帐单
SC241005,江西双驰,2024-10-08 00:00:00,,1J000489,"180G  BK网布54""",,墨水蓝色,4.0,码,3.9,15.6,,双驰帐单
SC241005,江西双驰,2024-10-08 00:00:00,,1J000488,"180G  BK网布54""",,颜粉,2.0,码,3.9,7.8,,双驰帐单
SC241007,江西双驰,2024-10-14 00:00:00,4510146324,1J000553\1J000559,"200G R609网布54""",,净空蓝色,3.0,码,10.0,30.0,,双驰帐单
SC241008,江西双驰,2024-10-15 00:00:00,,1J000488,"D553-03单层网54""",,颜粉,6.0,码,15.0,90.0,,双驰帐单
SC241008,江西双驰,2024-10-15 00:00:00,,,小缸费,,颜粉,1.0,个,200.0,200.0,,双驰帐单
SC241011,江西双驰,2024-10-24 00:00:00,4510157222,1J000454,"200-220G水晶超柔网布59""",,正黑色,5.0,码,13.0,65.0,,双驰帐单
SC241101,江西双驰,2024-11-01 00:00:00,,,"200G R609网布54""",,荧光亮光绿,11.0,码,10.0,110.0,,双驰帐单
SC241103,江西双驰,2024-11-10 00:00:00,4510161224,1J000400,"200G  R609网布54""",,正黑色,3.0,码,10.0,30.0,,双驰帐单
SC241106,江西双驰,2024-11-22 00:00:00,4510163849,1J000395,"240-260G蜂巢网眼布涤纶47""",,尔克白色,2.0,码,8.0,16.0,,双驰帐单
SC241106,江西双驰,2024-11-22 00:00:00,,,小缸费,,尔克白色,1.0,个,200.0,200.0,,双驰帐单
SC241107,江西双驰,2024-11-23 00:00:00,4510164222,1J000343,"200-220G 水晶超柔网布59""",,深檀色,10.0,码,13.0,130.0,,双驰帐单
SC241107,江西双驰,2024-11-23 00:00:00,4510163972,1J000453,"200-220G 水晶超柔网布59""",,深檀色,1.0,码,13.0,13.0,,双驰帐单
SC241107,江西双驰,2024-11-23 00:00:00,4510163972,1J000455,"200-220G水晶超柔网布59""",,铁人灰色,1.0,码,13.0,13.0,,双驰帐单
SC241112,江西双驰,2024-11-29 00:00:00,4510165775,1J000442,"200G R609网布透气防臭54""",,蛋奶灰色,1.0,码,10.0,10.0,,双驰帐单
SC241201,江西双驰,2024-12-02 00:00:00,4510165775,1J000442,"200G R609网布透气防臭54""",,蛋奶灰色,1.0,码,10.0,10.0,,双驰帐单
JS260101,,2026-01-30 00:00:00,UA07810M20260113001,,"283#牛津布 54""",,蓝色3581 C,133.0,Y,25.5,3991.5,,吉升帐单
JS260101,,2026-01-30 00:00:00,UA07810M20260113001,,"283#牛津布 54""",,深灰色425C,132.0,Y,25.5,3966.0,,吉升帐单
JS260101,,2026-01-30 00:00:00,UA07810M20260113001,,"283#牛津布 54""",,Cool Gray 3 C冷灰,174.0,Y,25.5,5037.0,,吉升帐单
JS260101,,2026-01-30 00:00:00,UA07810M20260113001,,"283#牛津布 54""",,白色,135.0,Y,25.5,3442.5,,吉升帐单
JS260101,,2026-01-30 00:00:00,UA07810M20260113001,,"YS24154三明治网布54""",,蓝色3581 C,9.0,Y,15.7,441.3,,吉升帐单
JS260101,,2026-01-30 00:00:00,UA07810M20260113001,,"YS24154 三明治网布54""",,深灰色425C,24.0,Y,15.7,676.8,,吉升帐单
JS260101,,2026-01-30 00:00:00,UA07810M20260113001,,"YS2239 44""",,425C灰,175.0,Y,7.2,1560.0,,吉升帐单
JS260101,,2026-01-30 00:00:00,UA07810M20260113001,,"YS2239 44""",,Cool Gray 6 C冷灰,208.0,Y,7.2,1797.6,,吉升帐单
JS260101,,2026-01-30 00:00:00,UA07810M20260113001,,"180G佳积布 54""",,白色,246.0,Y,4.5,1107.0,,吉升帐单
JS260101,,2026-01-30 00:00:00,UA07810M20260113001,,"180G佳积布 54""",,黑色,206.0,Y,4.5,927.0,,吉升帐单
HM250601,和睦,2025-06-11 00:00:00,,,贾卡YS2549大白坯布,,,1901.9,KG,32.0,60860.8,,和睦帐单
HM250601,和睦,2025-06-11 00:00:00,,,贾卡YS2549黑色坯布,,,1564.1,KG,37.0,57871.7,,和睦帐单
HM250601,和睦,2025-06-11 00:00:00,,,贾卡YS2549黑色染色,,,725.0,KG,,9425.0,,和睦帐单
AH2512012,莆田安健致远鞋业限公司,2025-12-04 00:00:00,ALCPO2521451,Z25081-248-12,"YES224 单层网布54""","YES224 单层网布54""",粉色144-57-41,4.0,Y,25.0,100.0,,安健帐单
AH2512043,莆田安健致远鞋业限公司,2025-12-25 00:00:00,ALCPO2522397,Z23041-114-18,"8安 帆布54""","8安 帆布54""",浅灰色16-4703TPG,61.0,Y,13.0,793.0,,安健帐单
AH2512043,莆田安健致远鞋业限公司,2025-12-25 00:00:00,,,小缸费,小缸费,浅灰色16-4703TPG,1.0,个,500.0,500.0,,安健帐单
AH2512043,莆田安健致远鞋业限公司,2025-12-25 00:00:00,,Z23049-138-4,"YS360纹 350g大星点弹力网布 54""","YS360纹 350g大星点弹力网布 54""",可可棕18-1222TPG,3.0,Y,22.0,66.0,,安健帐单
AH2512043,莆田安健致远鞋业限公司,2025-12-25 00:00:00,,Z25073-260,"250g 加密真美布54""","250g 加密真美布54""",胜利蓝126-21-11,8.0,Y,5.3,42.4,,安健帐单
AH2512043,莆田安健致远鞋业限公司,2025-12-25 00:00:00,ALCPO2524187,Z25064-390,"YSK133纹220g 单层网布 54""","YSK133纹220g 单层网布 54""",蔚淡蓝12-4303TPG,318.0,Y,9.6,3052.8,,安健帐单
AH2512043,莆田安健致远鞋业限公司,2025-12-25 00:00:00,ALCPO2524187,Z25064-389,"YSK133纹220g 单层网布 54""","YSK133纹220g 单层网布 54""",象牙白11-4202TPG,369.0,Y,9.6,3542.4,,安健帐单
AH2512044,莆田安健致远鞋业限公司,2025-12-27 00:00:00,ALCPO2524187,Z25064-392,"YSK133纹220g 单层网布 54""","YSK133纹220g 单层网布 54""",发光绿12-0525TPG,310.0,Y,9.6,2976.0,,安健帐单
AH2512044,莆田安健致远鞋业限公司,2025-12-27 00:00:00,ALCPO2522397,Z24065-456-4,"8安 帆布54""","8安 帆布54""",水绿色13-6006TPG,40.0,Y,13.0,520.0,,安健帐单
AH2512044,莆田安健致远鞋业限公司,2025-12-27 00:00:00,,,小缸费,小缸费,水绿色13-6006TPG,1.0,个,500.0,500.0,,安健帐单
AH2512044,莆田安健致远鞋业限公司,2025-12-27 00:00:00,ALCPO2524187,Z25111-385,"YS-125纹310g 粗网 54""","YS-125纹310g 粗网 54""",透明黄11-0617TPG,20.0,Y,22.7,454.0,,安健帐单
AH2512044,莆田安健致远鞋业限公司,2025-12-27 00:00:00,,,小缸费,小缸费,透明黄11-0617TPG,1.0,个,300.0,300.0,,安健帐单
AH2512045,莆田安健致远鞋业限公司,2025-12-29 00:00:00,,Z25090-280,"K107 250g 单层网布 54""","K107 250g 单层网布 54""",禾山红13-1017TPG,2.0,Y,5.2,10.4,,安健帐单
AH2512045,莆田安健致远鞋业限公司,2025-12-29 00:00:00,,Z25034-114,"XF-3066纹 单层网布 54""","XF-3066纹 单层网布 54""",白帽灰12-0304TPG,2.0,Y,8.5,17.0,,安健帐单
AH2512045,莆田安健致远鞋业限公司,2025-12-29 00:00:00,ALCPO2523299,Z25107-372,"灯芯绒 54""","灯芯绒 54""",原始色11-0606TPG,37.0,Y,17.0,629.0,,安健帐单
AH2512045,莆田安健致远鞋业限公司,2025-12-29 00:00:00,,,小缸费,小缸费,原始色11-0606TPG,1.0,个,300.0,300.0,,安健帐单
AH2512046,莆田安健致远鞋业限公司,2025-12-30 00:00:00,,Z25072-208-8,"D027纹 250-260g 单层网布 54""","D027纹 250-260g 单层网布 54""",黑色139-18-00,403.0,Y,6.3,2538.9,,安健帐单
AH2512046,莆田安健致远鞋业限公司,2025-12-30 00:00:00,,Z25072-210-9,"D027纹 250-260g 单层网布 54""","D027纹 250-260g 单层网布 54""",黑色139-18-00,230.0,Y,6.3,1449.0,,安健帐单
AH2512046,莆田安健致远鞋业限公司,2025-12-30 00:00:00,,Z25072-210-10,"D027纹 250-260g 单层网布 54""","D027纹 250-260g 单层网布 54""",黑色139-18-00,27.0,Y,6.3,170.1,,安健帐单
AH2512046,莆田安健致远鞋业限公司,2025-12-30 00:00:00,,Z25077-229-2,"DJ132 240g POLYPAG单层网布 54""","DJ132 240g POLYPAG单层网布 54""",黑色139-18-00,87.0,Y,6.0,522.0,,安健帐单
AH2512046,莆田安健致远鞋业限公司,2025-12-30 00:00:00,,Z25077-231-4,"DJ132 240g POLYPAG单层网布 54""","DJ132 240g POLYPAG单层网布 54""",黑色139-18-00,69.0,Y,6.0,414.0,,安健帐单
AH2512046,莆田安健致远鞋业限公司,2025-12-30 00:00:00,,Z25077-231-5,"DJ132 240g POLYPAG单层网布 54""","DJ132 240g POLYPAG单层网布 54""",黑色139-18-00,16.0,Y,6.0,96.0,,安健帐单
AH2512047,莆田安健致远鞋业限公司,2025-12-30 00:00:00,,Z25072-208-8,"D027纹 250-260g 单层网布 54""","D027纹 250-260g 单层网布 54""",白色109-98-01,347.0,Y,6.3,2186.1,,安健帐单
AH2512047,莆田安健致远鞋业限公司,2025-12-30 00:00:00,,Z25072-210-9,"D027纹 250-260g 单层网布 54""","D027纹 250-260g 单层网布 54""",白色109-98-01,229.0,Y,6.3,1442.7,,安健帐单
AH2512047,莆田安健致远鞋业限公司,2025-12-30 00:00:00,,Z25072-210-10,"D027纹 250-260g 单层网布 54""","D027纹 250-260g 单层网布 54""",白色109-98-01,27.0,Y,6.3,170.1,,安健帐单
AH2601001,莆田安健致远鞋业限公司,2026-01-02 00:00:00,,Z25014-340,"YS-0731 三明治网布 54""","YS-0731 三明治网布 54""",米白11-0701TPG,3.0,Y,14.5,43.5,,安健帐单
AH2601001,莆田安健致远鞋业限公司,2026-01-02 00:00:00,,Z25108-336,"YS-0731 三明治网布 54""","YS-0731 三明治网布 54""",白色,2.0,Y,14.5,29.0,,安健帐单
AH2601001,莆田安健致远鞋业限公司,2026-01-02 00:00:00,,Z25100-360,"220g -230G莱卡布54""","220g -230G莱卡布54""",橘色030-71-41,6.0,Y,9.5,57.0,,安健帐单
AH2601001,莆田安健致远鞋业限公司,2026-01-02 00:00:00,,Z25019-150,"200g 小米通布 54"";;","200g 小米通布 54"";;",黑色,15.0,Y,8.0,120.0,,安健帐单
AH2601001,莆田安健致远鞋业限公司,2026-01-02 00:00:00,,Z25078-233,"250g 组织布54""","250g 组织布54""",黑色139-18-00,10.0,Y,5.2,52.0,,安健帐单
AH2601001,莆田安健致远鞋业限公司,2026-01-02 00:00:00,ALCPO2524187,Z25064-391,"YSK133纹220g 单层网布 54""","YSK133纹220g 单层网布 54""",北极狼白12-0602TPG,447.0,Y,9.6,4291.2,,安健帐单
AH2601002,莆田安健致远鞋业限公司,2026-01-02 00:00:00,,Z25052-308-2,"K106/DJT 1834 纹 单层网布 54"" 耐黄","K106/DJT 1834 纹 单层网布 54"" 耐黄",白色109-98-01,287.0,Y,4.3,1234.1,,安健帐单
AH2601002,莆田安健致远鞋业限公司,2026-01-02 00:00:00,,Z25073-216-11,"K106/DJT 1834 纹 单层网布 54"" 耐黄","K106/DJT 1834 纹 单层网布 54"" 耐黄",白色109-98-01,390.0,Y,4.3,1677.0,,安健帐单
AH2601002,莆田安健致远鞋业限公司,2026-01-02 00:00:00,,Z25073-217-7,"K106/DJT 1834 纹 单层网布 54"" 耐黄","K106/DJT 1834 纹 单层网布 54"" 耐黄",白色109-98-01,247.0,Y,4.3,1062.1,,安健帐单
AH2601002,莆田安健致远鞋业限公司,2026-01-02 00:00:00,,Z25073-218-7,"K106/DJT 1834 纹 单层网布 54"" 耐黄","K106/DJT 1834 纹 单层网布 54"" 耐黄",白色109-98-01,730.0,Y,4.3,3139.0,,安健帐单
AH2601002,莆田安健致远鞋业限公司,2026-01-02 00:00:00,,Z25076-293-2,"K106/DJT 1834 纹 单层网布 54"" 耐黄","K106/DJT 1834 纹 单层网布 54"" 耐黄",白色109-98-01,165.0,Y,4.3,709.5,,安健帐单
AH2601003,莆田安健致远鞋业限公司,2026-01-02 00:00:00,,Z25101-310,"JFD1363 三明治网布 54""","JFD1363 三明治网布 54""",粉色152-57-30,9.0,Y,14.5,130.5,,安健帐单
AH2601003,莆田安健致远鞋业限公司,2026-01-02 00:00:00,,Z25101-345,"YS12984 320g 三明治网布 54""","YS12984 320g 三明治网布 54""",黑色139-18-00,2.0,Y,9.3,18.6,,安健帐单
AH2601003,莆田安健致远鞋业限公司,2026-01-02 00:00:00,,Z25101-354,"YS12984纹 320g三明治网布 54""","YS12984纹 320g三明治网布 54""",蓝色117-31-18,4.0,Y,9.3,37.2,,安健帐单
AH2601004,莆田安健致远鞋业限公司,2026-01-03 00:00:00,ALCPO2600010,Z25106-330-1,"YS1066纹 230g
平布 54"";;","YS1066纹 230g
平布 54"";;",白色11-0601TPG,58.0,Y,7.5,435.0,,安健帐单
AH2601004,莆田安健致远鞋业限公司,2026-01-03 00:00:00,ALCPO2600010,Z25106-329-1,"YS1066纹 230g
平布 54"";;","YS1066纹 230g
平布 54"";;",白色11-0601TPG,218.0,Y,7.5,1635.0,,安健帐单
AH2601004,莆田安健致远鞋业限公司,2026-01-03 00:00:00,ALCPO2600010,Z25057-263-4,"YS1066纹 230g
平布 54"";;","YS1066纹 230g
平布 54"";;",白色11-0601TPG,86.0,Y,7.5,645.0,,安健帐单
AH2601004,莆田安健致远鞋业限公司,2026-01-03 00:00:00,ALCPO2600010,Z25106-331-1,"YS1066纹 230g
平布 54"";;","YS1066纹 230g
平布 54"";;",白色11-0601TPG,57.0,Y,7.5,427.5,,安健帐单
AH2601004,莆田安健致远鞋业限公司,2026-01-03 00:00:00,ALCPO2600010,Z25041-441,"YS1066纹 230g
平布 54"";;","YS1066纹 230g
平布 54"";;",白色11-0601TPG,98.0,Y,7.5,735.0,,安健帐单
AH2601004,莆田安健致远鞋业限公司,2026-01-03 00:00:00,ALCPO2600010,Z25041-440,"YS1066纹 230g
平布 54"";;","YS1066纹 230g
平布 54"";;",白色11-0601TPG,98.0,Y,7.5,735.0,,安健帐单
AH2601004,莆田安健致远鞋业限公司,2026-01-03 00:00:00,,Z25019-150,"佳绩布 54"" 80g","佳绩布 54"" 80g",亮黄色,10.0,Y,2.5,25.0,,安健帐单
AH2601005,莆田安健致远鞋业限公司,2026-01-03 00:00:00,ALCPO2600010,Z25057-264-5,"YS1066纹 230g
平布 54"";;","YS1066纹 230g
平布 54"";;",黑色,55.0,Y,7.5,412.5,,安健帐单
AH2601005,莆田安健致远鞋业限公司,2026-01-03 00:00:00,,Z25077-228-3,"220-230g 低弹平布 54""","220-230g 低弹平布 54""",白色109-98-01,75.0,Y,4.8,360.0,,安健帐单
AH2601005,莆田安健致远鞋业限公司,2026-01-03 00:00:00,,Z25077-230-5,"220-230g 低弹平布 54""","220-230g 低弹平布 54""",白色109-98-01,65.0,Y,4.8,312.0,,安健帐单
AH2601005,莆田安健致远鞋业限公司,2026-01-03 00:00:00,,Z25077-230-6,"220-230g 低弹平布 54""","220-230g 低弹平布 54""",白色109-98-01,5.0,Y,4.8,24.0,,安健帐单
AH2601005,莆田安健致远鞋业限公司,2026-01-03 00:00:00,,Z25073-216-11,"354纹 280-290g 单层网 54""","354纹 280-290g 单层网 54""",黑色139-18-00,82.0,Y,9.0,738.0,,安健帐单
AH2601006,莆田安健致远鞋业限公司,2026-01-04 00:00:00,ALCPO2522397,Z24013-433-6,"8安 帆布54""","8安 帆布54""",毛毛灰16-4402TPG,75.0,Y,13.0,975.0,,安健帐单
AH2601006,莆田安健致远鞋业限公司,2026-01-04 00:00:00,,,小缸费,小缸费,毛毛灰16-4402TPG,1.0,个,500.0,500.0,,安健帐单
AH2601006,莆田安健致远鞋业限公司,2026-01-04 00:00:00,ALCPO2522397,Z24013-022-10,"8安 帆布54""","8安 帆布54""",軟木褐16-1422TPG,40.0,Y,13.0,520.0,,安健帐单
AH2601006,莆田安健致远鞋业限公司,2026-01-04 00:00:00,,,小缸费,小缸费,軟木褐16-1422TPG,1.0,个,500.0,500.0,,安健帐单
AH2601006,莆田安健致远鞋业限公司,2026-01-04 00:00:00,ALCPO2522397,Z25053-339,"8安 帆布54""","8安 帆布54""",古沙色15-1314TPG,41.0,Y,13.0,533.0,,安健帐单
AH2601006,莆田安健致远鞋业限公司,2026-01-04 00:00:00,ALCPO2522397,Z25053-160-1,"8安 帆布54""","8安 帆布54""",古沙色15-1314TPG,53.0,Y,13.0,689.0,,安健帐单
AH2601006,莆田安健致远鞋业限公司,2026-01-04 00:00:00,ALCPO2522397,Z24098-459-4,"8安 帆布54""","8安 帆布54""",古沙色15-1314TPG,40.0,Y,13.0,520.0,,安健帐单
AH2601006,莆田安健致远鞋业限公司,2026-01-04 00:00:00,,,小缸费,小缸费,古沙色15-1314TPG,1.0,个,500.0,500.0,,安健帐单
AH2601007,莆田安健致远鞋业限公司,2026-01-04 00:00:00,ALCPO2522397,Z25007-018-1,"8安 帆布54""","8安 帆布54""",开心果12-0110TPG,48.0,Y,13.0,624.0,,安健帐单
AH2601007,莆田安健致远鞋业限公司,2026-01-04 00:00:00,,,小缸费,小缸费,开心果12-0110TPG,1.0,个,500.0,500.0,,安健帐单
AH2601007,莆田安健致远鞋业限公司,2026-01-04 00:00:00,,Z25072-208-8,"250g 佳积布 54""","250g 佳积布 54""",白色109-98-01,1722.0,Y,5.2,8954.4,,安健帐单
