external_order_no,customer_name,order_date,remarks
AHJPO2506497,安恒,2025-02-13 00:00:00,
4510178668,双源,2025-02-14 00:00:00,2/15排
CGD20250200502,联成,2025-02-14 00:00:00,
CGD20250200560,联成,2025-02-14 00:00:00,
ALCPO2502504,安健致远,2025-02-14 00:00:00,
ALCPO2502442,安健致远,2025-02-14 00:00:00,2/22恢复
ALCPO2502483,安健致远,2025-02-14 00:00:00,2/25恢复
ALCPO2502549,安健致远,2025-02-14 00:00:00,2/25恢复
补单,安健致远,2025-02-15 00:00:00,"先不排,等通知"
4510178776,双源,2025-02-15 00:00:00,库存打下剩小件
PA250214006,福联/安迪星,2025-02-14 00:00:00,同100232039
PA250214007,福联/安迪星,2025-02-14 00:00:00,
4510178482,星昌/星联,2025-02-14 00:00:00,
4510178755,星昌/星联,2025-02-14 00:00:00,1.5米
25026A,福盛和,2025-02-14 00:00:00,
25026B,福盛和,2025-02-14 00:00:00,
25069B,福盛和,2025-02-14 00:00:00,
25069A,福盛和,2025-02-15 00:00:00,
CGD20250200569,联成,2025-02-14 00:00:00,
CGD20250200586,联成,2025-02-14 00:00:00,
CGD20250200612,联成,2025-02-15 00:00:00,
CGD20250200664,联成,2025-02-17 00:00:00,2/24更改数量
CGD20250200671,联成,2025-02-17 00:00:00,
PA250215039,福联/安迪星,2025-02-17 00:00:00,
4510178977,星昌/星联,2025-02-17 00:00:00,
CGD20250200711,联成,2025-02-17 00:00:00,
ALCPO2503309,安健致远,2025-02-17 00:00:00,
CGD20250200779,联成,2025-02-18 00:00:00,
AHJPO2507070,安恒,2025-02-18 00:00:00,
P250218002,福联/安迪星,2025-02-18 00:00:00,
AHJPO2507659,安恒,2025-02-18 00:00:00,
4510179351,星昌/星联,2025-02-18 00:00:00,2/19收到
AHJPO2507976,安恒,2025-02-18 00:00:00,
ALCPO2503340,安健致远,2025-02-19 00:00:00,修色过
ALCPO2503334,安健致远,2025-02-19 00:00:00,
ALCPO2503424,安健致远,2025-02-20 00:00:00,
ALCPO2503419,安健致远,2025-02-20 00:00:00,1/16收到
4510179377,星昌/星联,2025-02-20 00:00:00,
4510179564,星昌/星联,2025-02-20 00:00:00,
PA250220010,福联/安迪星,2025-02-20 00:00:00,
ALCPO2503442,安健致远,2025-02-20 00:00:00,
CGD20250200877,联成,2025-02-19 00:00:00,
CGD20250200923,联成,2025-02-19 00:00:00,
AHJPO2508772,安恒,2025-02-20 00:00:00,
AHJPO2508769,安恒,2025-02-20 00:00:00,
ALCPO2503579,安健致远,2025-02-21 00:00:00,排180Y
4510179646,双源,2025-02-20 00:00:00,
ALCPO2503587,安健致远,2025-02-21 00:00:00,
4510179699,星昌/星联,2025-02-21 00:00:00,
AHJPO2508896,安恒,2025-02-21 00:00:00,
4510179976,双源,2025-02-21 00:00:00,2/23收到
ALCPO2503637,安健致远,2025-02-22 00:00:00,没货按色卡去染
4510180138,星昌/星联,2025-02-22 00:00:00,
ALCPO2503659,安健致远,2025-02-22 00:00:00,45717
4510180235,星昌/星联,2025-02-22 00:00:00,
ALCPO2503614,安健致远,2025-02-22 00:00:00,
