泉州阳硕鞋材有限公司,,,,,,,,,,,,,LGO订单K209/莱卡布/佳积布单价不一样,
2026年01月份大货帐单,,,,,,,,,,,,,,
TO：,莆田市星联鞋业有限公司,,,,,,,,,,,,,
ATTN：,侯先生,CC：,财务,,,,,,币别:人民币,,,,,
日 期,送货单号,客户单号,指令号,料号,品   名,颜色,数量,单位,支数,单价  (RMB),金额(元),备注,,
2025-01-07 00:00:00,XC2501007,,,WB4822,"130G 丝光布54""",白色,35,码,,4,140,,"实际发了74Y，2025/1月已入库13Y，3月已入库26,欠35",
2025-01-07 00:00:00,XC2501008,4510167616,1X001358M,WD003203,"180G K209网布54""",沙色13-0907TPG,11,码,,5.9,64.9,,,
2025-01-09 00:00:00,XC2501009,,,WB4822,"130G 丝光布54""",白色,141,码,,4,564,,,
2025-01-11 00:00:00,XC2501011,,,WD003293,"220G 亚光四面弹54""",蕾丝白色,2,码,,14.5,29,,,
2025-01-11 00:00:00,XC2501011,,,WD002886,"220G 亚光四面弹54""",黑色,5,码,,14.5,72.5,,,
2025-02-09 00:00:00,XC250201,,,WB4822,"130G 丝光布54""",白色,60,码,,4,240,,,
2025-02-09 00:00:00,XC250201,,,WD000237,"180G K209网布54""",冠军蓝,5,码,,5.9,29.5,,,
2025-02-11 00:00:00,XC250202,4510177958,2X002536BD,WD002738,"350G K418格子布55""",黑色,5,码,,13,65,,,
2025-02-22 00:00:00,XC250212,,1X001373,H2003281,300G提花天鹅绒54”,天青蓝,3,码,,10,30,,,
2025-02-22 00:00:00,XC250212,,1X001374,H2003283,300G提花天鹅绒54”,风仙紫,8,码,,10,80,,,
2025-03-11 00:00:00,XC250312,,,WS001365,"300G YS2975三层网54""",佳宝蓝色,60,码,,11.5,690,,,
2025-04-03 00:00:00,XC2504003,,,WJ000300,"150G佳积布54""",黑色,60,码,,3.6,216,,,
2025-04-03 00:00:00,XC2504004,4510186910,,WB4822,"130G 丝光布54""",白色,26,码,,4,104,,,
2025-04-03 00:00:00,XC2504004,,,WS001301,"360-380G 空气层54""",白色,47,码,,12,564,,,
2025-04-05 00:00:00,XC2504005,,,WB12252,"棕色10安帆布54""",棕色,43,Y,,5.8,249.4,,,
2025-04-06 00:00:00,XC2504006,,,WJ000444,"140G佳积布58""",白色,162,Y,,3.6,583.2,,,
2025-04-07 00:00:00,XC2504007,,,WD003530,"180G K209网布54""",城堡灰18-0201TPG,5,码,,5.9,29.5,,,
2025-04-09 00:00:00,XC2504009,,,WD003530,"180G K209网布54""",城堡灰18-0201TPG,2,码,,5.9,11.8,,,
2025-04-25 00:00:00,XC2504024,,,WD003591,"180GK209网布54""",黑牡蛎色,5,码,,5.9,29.5,,,
2025-04-25 00:00:00,XC2504024,,,WD000902,"180GK209网布55""",灰褐色14-4501TPG,47,码,,5.9,277.3,,,
2025-04-25 00:00:00,XC2504024,,,WB14777,"180GK209网布55""",黑色,19,码,,5.9,112.1,,,
2025-04-25 00:00:00,XC2504024,,,WD000904,"180GK209网布55""",白色,15,码,,5.9,88.5,,,
2025-05-04 00:00:00,XC2505001,,,WD003032,"230G K209网布54""",南极灰色,2,码,,7.6,15.2,,,
2025-05-07 00:00:00,XC2505004,,,WB4822,"130G  丝光布54""",白色,54,码,,4,216,,,
2025-05-09 00:00:00,XC2505005,,,WD003033,"230G K209网布54""",米白色,2,码,,7.6,15.2,,,
2025-05-15 00:00:00,XC2505007,,,WB16877,"8安帆布54""",棕色,20,码,,5.4,108,,,
2025-05-17 00:00:00,XC2505011,,,WB11269,"230G K208网布54""",黑色,3,码,,4.5,13.5,,,
2025-05-26 00:00:00,XC2505017,,,WB12252,"10安帆布54""",棕色,150,码,,5.8,870,,,
2025-05-26 00:00:00,XC2505017,,,,小缸费,棕色,1,个,,200,200,,,
2025-07-04 00:00:00,XC2507002,,,WD003841,"250G 莱卡布54""",深蓝色,13,码,,12,156,,,
2025-07-10 00:00:00,XC2507011,,,WD003841,"250G 莱卡布54""",深蓝色,20,码,,13,260,,,
2025-07-10 00:00:00,XC2507011,,,00:00:00,小缸费,深蓝色,1,个,,300,300,,,
2025-07-22 00:00:00,XC2507027,4510207903,2X003040,WB13220,"180G 白色K209网布54""",白色,82,码,,5.9,483.8,,,
2025-07-22 00:00:00,XC2507027,4510208701,1X001522M,WB13220,"180G 白色K209网布54""",白色,61,码,,5.9,359.9,,,
2025-07-31 00:00:00,XC2507035,4510211105,2X003131,WD002113,"380G光亮白色YS5736网布54""",光亮白色,29,码,,16,464,,,
2025-08-12 00:00:00,XC2508016,,,WD002738,"350G K418 格子布(柄亿）（新欧标环保）55""",黑色,15,码,,13,195,,,
2025-08-16 00:00:00,XC2508022,,,WD000904,"180G  K209网布54""",白色,33,码,,5.9,194.7,,,
2025-08-16 00:00:00,XC2508022,,,WD003508,"180G  K209网布55""",棕色,10,码,,5.9,59,,,
2025-08-16 00:00:00,XC2508022,,,WD003505,"180G  K209网布55""",中花灰色,1,码,,5.9,5.9,,,
2025-08-16 00:00:00,XC2508022,,,WB14777,"180G K209网布55""",黑色,47,码,,5.9,277.3,,,
2025-08-16 00:00:00,XC2508022,,,WD000908,"180GK209网布57""",灰褐色14-4501TPG,5,码,,5.9,29.5,,,
2025-08-16 00:00:00,XC2508022,,,WD000902,"180GK209网布55""",灰褐色14-4501TPG,36,码,,5.9,212.4,,,
2025-09-08 00:00:00,XC2509011,4510214829,1X001578M,WD004103,"180G K209网布54""",14-4112TPG天空蓝色,3,码,,5.9,17.7,,,
2025-09-08 00:00:00,XC2509011,4510217732,2X003179M,WD004130,"220G 棕色鸡皮绒54""",TAN棕色,2,码,,15,30,,,
2025-09-08 00:00:00,XC2509011,,,,小缸费,TAN棕色,1,个,,300,300,,,
2025-10-05 00:00:00,XC2510003,4510215315,1X001580M,WD001803,"180G K209网布54""",岩石灰色,3,码,,5.9,17.7,,,
2025-10-05 00:00:00,XC2510003,,,WJ000485,"120G 佳积布54""",浅棕色,28,码,,2.7,75.6,,,
2025-10-26 00:00:00,XC2510029,4510228486,3X000175M,WK000299,"230G K208网布54""",米白色,80,码,,4.5,360,,,
2025-11-14 00:00:00,XC2511020,,,WB12252,"棕色10安帆布54""",棕色,50,Y,,5.8,290,,,
2025-11-24 00:00:00,XC2511023,,,WD000907,"230G K209网布57""",灰褐色14-4501TPG,17,码,,7.6,129.2,,,
