泉州阳硕鞋材有限公司,,,,,,,,,,,,,LGO订单K209/莱卡布/佳积布单价不一样,
2026年01月份大货帐单,,,,,,,,,,,,,,
TO：,莆田市星联鞋业有限公司,,,,,,,,,,,,,
ATTN：,侯先生,CC：,财务,,,,,,币别:人民币,,,,,
日 期,送货单号,客户单号,指令号,料号,品   名,颜色,数量,单位,支数,单价  (RMB),金额(元),备注,,
2026-01-23 00:00:00,XC2601014,,,WD004403,"220G 鸡皮绒54""",#06-BEIGE米色,10,码,,15,150,,,
2026-01-24 00:00:00,XC2601015,4510250550,3X000389M,WB10742,"300G提花天鹅绒54""",黑色,281,码,,10,2810,,,
2026-01-24 00:00:00,XC2601015,4510250550,3X000386M,WD001456,"300G 黑色天鹅绒54""",黑色,103,码,,9.5,978.5,,,
2026-01-24 00:00:00,XC2601015,4510251955,3X000401M,WD001456,"300G 黑色天鹅绒54""",黑色,11,码,,9.5,104.5,,,
2026-01-24 00:00:00,XC2601015,4510251955,3X000401M,WD001387,"250G低弹平布54""",黑色,1,码,,5.6,5.6,,,
2026-01-24 00:00:00,XC2601015,4510251653,,WB10878,"210D牛津布54""",白色,7,码,,3,21,,,
2026-01-24 00:00:00,XC2601015,4510251653,,WY000085,"210D牛津布54""",黑色,4,码,,3,12,,,
2026-01-24 00:00:00,XC2601015,4510251653,,WB13223,"380G K666单层网布54""",黑色,22,码,,11,242,,,
2026-01-24 00:00:00,XC2601015,4510251955,3X000391M,WB10689,"180G佳积布54""",黑色,3,码,,3.9,11.7,,,
2026-01-24 00:00:00,XC2601015,4510251955,3X000401M,WD000952,"230G莱卡布54""",黑色,4,码,,12,48,,,
2026-01-24 00:00:00,XC2601015,4510251955,3X000401M,WD003839,"230G莱卡布54""",17-0000TPG浅灰色,3,码,,12,36,,,
2026-01-25 00:00:00,XC2601016,4510251653,,WB7416,"3U黑色180G天鹅绒54""",黑色,109,码,,5,545,,,
2026-01-25 00:00:00,XC2601016,4510248326,2X003499,WD004728,"360-370G BH-0289方格压纹四弹布58""",黑色,500,码,,18,9000,,,
2026-01-25 00:00:00,XC2601016,4510252169,2X003531,WB12252,"10安帆布54""",棕色,4,码,,5.8,23.2,,,
2026-01-25 00:00:00,XC2601016,4510252324,2X003530,WB12252,"10安帆布54""",棕色,266,码,,5.8,1542.8,,,
2026-01-25 00:00:00,XC2601016,4510252324,2X003530,WB16877,"8安帆布54""",棕色,76,码,,5.4,410.4,,,
2026-01-25 00:00:00,XC2601016,4510252324,2X003537,WY000085,"黑色210D牛津布54""",黑色,5,码,,3,15,,,
2026-01-26 00:00:00,XC2601017,4510252157,2X003527,WJ000146,"120G 黑色佳积布54""",黑色,155,码,,2.7,418.5,,,
2026-01-26 00:00:00,XC2601017,4510249282,2X003511,WD004739,"230G K209网布54""",竹绿色,73,码,,7.6,554.8,,,
2026-01-26 00:00:00,XC2601017,,,,小缸费,竹绿色,1,个,,200,200,,,
2026-01-27 00:00:00,XC2601018,4510249778,3X000380M,WS000962,"380G YD-0731三明治网布上树脂54""",黑色,172,Y,,18,3096,,,
2026-01-27 00:00:00,XC2601018,4510252157,2X003527,WJ000483,"220G佳积布54""",黑色,586,Y,,4.8,2812.8,,,
2026-01-28 00:00:00,XC2601019,4510250550,2X003524,WJ000026,"180G黑色佳积布58""",黑色,106,Y,,3.9,413.4,,,
2026-01-28 00:00:00,XC2601019,4510252276,2X003537,WB10689,"180G黑色佳积布54""",黑色,59,Y,,3.9,230.1,,,
2026-01-30 00:00:00,XC2601020,4510252703,2X003538,WB12252,"10安帆布54""",棕色,90,Y,,5.8,522,,,
2026-01-30 00:00:00,XC2601020,4510252703,2X003538,WB16877,"8安帆布54""",棕色,11,Y,,5.4,59.4,,,
2026-01-30 00:00:00,XC2601020,4510248326,2X003499,WD004728,"360-370G BH-0289方格压纹四弹布58""",黑色,39,码,,18,702,,,
2026-01-30 00:00:00,XC2601020,4510251653,,WD004728,"360-370G BH-0289方格压纹四弹布58""",黑色,5,码,,18,90,,,
2026-01-30 00:00:00,XC2601020,4510252514,2X003538,WJ000025,"180G佳积布58""",棕色,31,码,,3.9,120.9,,,
2026-01-30 00:00:00,XC2601020,,,,小缸费,棕色,1,个,,200,200,,,
2026-01-30 00:00:00,XC2601020,4510252514,2X003539,WJ000028,"180G佳积布58""",深灰,31,码,,3.9,120.9,,,
2026-01-30 00:00:00,XC2601020,,,,小缸费,深灰,1,个,,200,200,,,
,,,,,以下空白,,,,,,,,,
,,,,,合       计：,,20056,,,,154519.8,,,
,,,,人民币大写：,壹拾伍万肆仟伍佰壹拾玖元捌角整,,,,,,,,,
客户回签:,,,,,审  核：,,,,,,制　表：戴春莲,,,
"附言:请核对确认后传回我司! 若每月5号前不回签,则视同确认我司金额.多谢支持!",,,,,,,,,,,,,,
