泉州阳硕鞋材有限公司,,,,,,,,,,300码以下记得开小缸费,,,帆布不够800Y，小缸费500,,,300D粗纹牛津布不足500码开染费,,,
送 货 单,,,,,,,,,,,,,,,,,,,
收货单位：莆田安健致远鞋业限公司,,,,,,NO.：,AH260316,,,,,,,,,,,,
地 址：福建省莆田市荔城区西天尾镇荔园工业区东川路,,,,,,送货日期：,2026-03-08 00:00:00,,,,,,,,,,,,
订单号,型体,品名及规格,颜色,数量,单位,支数,单价,金额,备注,,,,,,,,,,
,Z25075-222-3,"WX-018 260g 毛巾布 54""",白色109-98-01,61,码,3,,,,AH2601025,2026-01-08 00:00:00,,,,,,,,
,Z25075-223-4,"WX-018 260g 毛巾布 54""",白色109-98-01,64,码,,,,,AH2601025,2026-01-08 00:00:00,,,,,,,,
,Z25075-222-4,"WX-018 260g 毛巾布 54""",白色109-98-01,61,码,,,,,AH2601025,2026-01-08 00:00:00,,,,,,,,
,Z25075-223-5,"WX-018 260g 毛巾布 54""",白色109-98-01,50,码,,,,,AH2601025,2026-01-08 00:00:00,,,,,,,,
,Z25075-222-5,"WX-018 260g 毛巾布 54""",白色109-98-01,33,码,,,,,AH2601025,2026-01-08 00:00:00,,,,,,,,
,Z25075-223-6,"WX-018 260g 毛巾布 54""",白色109-98-01,29,码,,,,,AH2601025,2026-01-08 00:00:00,100*2+98=298,,,,,,,
ALCPO2524187,Z25111-386,"YS-125纹310g 粗网 54""",梅李色18-1506TPG,32,Y,1,,,,AH2601026,2026-01-08 00:00:00,,,,,,,,
,,小缸费,梅李色18-1506TPG,1,个,,,,,AH2601026,2026-01-08 00:00:00,,,,,,,,
ALCPO2600010,Z24021-041-13,"200g 小米通布 54""",火红色18-1664TPG,18,Y,1,,,,AH2601026,2026-01-08 00:00:00,,,,,,,,
,,小缸费,火红色18-1664TPG,1,个,,,,,AH2601026,2026-01-08 00:00:00,,,,,,,,
,Z25077-228-3,250g 组织布 54“,白色109-98-01,152,码,3,,,,AH2601026,2026-01-08 00:00:00,,,,,,,,
,Z25077-230-5,250g 组织布 54“,白色109-98-01,136,码,,,,,AH2601026,2026-01-08 00:00:00,,,,,,,,
,Z25077-230-6,250g 组织布 54“,白色109-98-01,10,码,,,,,AH2601026,2026-01-08 00:00:00,101+100+97=298,,,,,,,
ALCPO2522397,Z25053-338,"8安 帆布54""",牡蠣灰14-1107TPG,41,Y,1,,,,AH2601027,2026-01-08 00:00:00,,,,,,,,
,,小缸费,牡蠣灰14-1107TPG,1,个,,,,,AH2601027,2026-01-08 00:00:00,,,,,,,,
ALCPO2600182,Z25070-374,"低弹平布 54"" 180g",白色,240,Y,5,,,,AH2601027,2026-01-08 00:00:00,,,,,,,,
ALCPO2600182,Z25070-375,"低弹平布 54"" 180g",白色,291,Y,,,,,AH2601027,2026-01-08 00:00:00,4*120+51=531,,,,,,,
ALCPO2600182,Z25070-373,"低弹平布 54"" 180g",黑色,205,Y,4,,,,AH2601027,2026-01-08 00:00:00,,,,,,,,
ALCPO2600182,Z25070-376,"低弹平布 54"" 180g",黑色,164,Y,,,,,AH2601027,2026-01-08 00:00:00,120*3+10=370,,,,,,,
,Z25073-218-7,"K106 230-250g 单层网布 54""",黑色139-18-00,220,Y,2,,,,AH2601028,2026-01-09 00:00:00,120+100=220,,,,,,,
ALCPO2524787,Z25101-436-1,"CL21056 单层网布 54""",黑色139-18-00,7,Y,1,,,,AH2601028,2026-01-09 00:00:00,,,,,,,,
,Z25007-018,"YS-0731 三明治网布 54""",黑色,2,Y,1,,,,AH2601028,2026-01-09 00:00:00,,,,,,,,
ALCPO2600010,Z25041-440,"80g 佳绩布54""",古白色11-0105TPG,118,Y,2,,,,AH2601028,2026-01-09 00:00:00,,,,,,,,
ALCPO2600010,Z25041-441,"80g 佳绩布54""",古白色11-0105TPG,118,Y,,,,,AH2601028,2026-01-09 00:00:00,163+73=236,,,,,,,
ALCPO2600415,Z25096-302,"CL21056 单层网布 54""",灰色000-73-00,5,Y,1,,,,AH2601029,2026-01-10 00:00:00,,,,,,,,
ALCPO2524787,Z25101-435,250g BK网布54“,蓝色117-46-30,46,Y,1,,,,AH2601029,2026-01-10 00:00:00,,,,,,,,
,Z25007-018-1,"YS-0731 三明治网布 54""",墨黑19-5005TPG,2,Y,1,,,,AH2601029,2026-01-10 00:00:00,,,,,,,,
ALCPO2524787,Z25103-422,"CL21056单层网布 54""",传统蓝126-34-11,93,Y,3,,,,AH2601029,2026-01-10 00:00:00,,,,,,,,
ALCPO2524787,Z25103-423,"CL21056单层网布 54""",传统蓝126-34-11,108,Y,,,,,AH2601029,2026-01-10 00:00:00,2*76+49=201,,,,,,,
ALCPO2600418,Z25111-388,"YSK133纹220g 单层网布 54""",亮白色11-4001TPG,62,Y,1,,,,AH2601030,2026-01-11 00:00:00,,,,,,,,
ALCPO2600418,Z25111-387,"YSK133纹220g 单层网布 54""",黑色,94,Y,1,,,,AH2601030,2026-01-11 00:00:00,,,,,,,,
ALCPO2600418,Z25111-385,"YSK133纹220g 单层网布 54""",白色,82,Y,2,,,,AH2601030,2026-01-11 00:00:00,,,,,,,,
ALCPO2600418,Z25111-386,"YSK133纹220g 单层网布 54""",白色,127,Y,,,,,AH2601030,2026-01-11 00:00:00,111+98=209,,,,,,,
,Z25093-352,"220-230g 莱卡布54""",浅灰017-79-00,5,Y,1包,,,,AH2601030,2026-01-11 00:00:00,,,,,,,,
ALCPO2600475,Z24110-521-8,"DJ 132/有光K184纹 240g 单层网布 54""",白色109-98-01,77,Y,1,,,,AH2601030,2026-01-11 00:00:00,,,,,,,,
ALCPO2600475,Z25073-211-6,"K106/DJT 1834纹 单层网布54"" 耐黄;;",白色109-98-01,280,Y,13,,,,AH2601031,2026-01-12 00:00:00,,,,,,,,
ALCPO2600475,Z25073-217-8,"K106/DJT 1834纹 单层网布54"" 耐黄;;",白色109-98-01,450,Y,,,,,AH2601031,2026-01-12 00:00:00,,,,,,,,
ALCPO2600475,Z25073-218-8,"K106/DJT 1834纹 单层网布54"" 耐黄;;",白色109-98-01,321,Y,,,,,AH2601031,2026-01-12 00:00:00,,,,,,,,
ALCPO2600475,Z25073-216-12,"K106/DJT 1834纹 单层网布54"" 耐黄;;",白色109-98-01,474,Y,,,,,AH2601031,2026-01-12 00:00:00,11*120+105+100=1525,,,,,,,
ALCPO2600418,Z25111-387,"佳积布 180g 54""",黑色,252,Y,2,,,,AH2601031,2026-01-12 00:00:00,140+112=252,,,,,,,
ALCPO2524787,Z25112-403,"K208 240g BK网布 54""",白色109-98-01,58,Y,1,,,,AH2601031,2026-01-12 00:00:00,,,,,,,,
ALCPO2524787,Z25101-436-1,"BK 网布 54"" 200g",黑色,10,Y,1,,,,AH2601032,2026-01-12 00:00:00,,,,,,,,
ALCPO2524787,Z25101-436,"BK 网布 54"" 200g",黑色,51,Y,,,,,AH2601032,2026-01-12 00:00:00,,,,,,,,
ALCPO2524787,Z25112-402-1,"BK网布 54""200g",黑色139-18-00,14,Y,1,,,,AH2601032,2026-01-12 00:00:00,,,,,,,,
ALCPO2524787,Z25113-404,"BK网布 54""200g",黑色139-18-00,42,Y,,,,,AH2601032,2026-01-12 00:00:00,,,,,,,,
ALCPO2524787,Z25112-402,"BK网布 54""200g",黑色139-18-00,39,Y,,,,,AH2601032,2026-01-12 00:00:00,,,,,,,,
ALCPO2524787,Z25112-402,"YS-028 三明治网54""",黑色139-18-00,18,Y,1,,,,AH2601033,2026-01-12 00:00:00,,,,,,,,
ALCPO2524787,Z25113-404,"YS-028 三明治网54""",黑色139-18-00,2,Y,,,,,AH2601033,2026-01-12 00:00:00,,,,,,,,
ALCPO2524787,Z25112-402-1,"YS-028 三明治网54""",黑色139-18-00,7,Y,,,,,AH2601033,2026-01-12 00:00:00,,,,,,,,
ALCPO2524787,Z25112-403,"YS-028 三明治网54""",白色109-98-01,26,Y,1,,,,AH2601033,2026-01-12 00:00:00,,,,,,,,
ALCPO2524787,Z25101-435,"CL21056 单层网布 54""",粉色150-77-21,73,Y,1,,,,AH2601033,2026-01-12 00:00:00,,,,,,,,
ALCPO2524787,Z25102-431,"YH-H29W 350g 单层网布 54""",蓝色118-30-29,83,Y,1,,,,AH2601033,2026-01-12 00:00:00,,,,,,,,
,,小缸费,蓝色118-30-29,1,个,,,,,AH2601033,2026-01-12 00:00:00,,,,,,,,
ALCPO2524787,Z25102-430,"YH-H29W 350g单层网布 54""",表情粉154-77-21,40,Y,2,,,,AH2601034,2026-01-12 00:00:00,,,,,,,,
ALCPO2524787,Z25097-433,"YH-H29W 350g单层网布 54""",表情粉154-77-21,123,Y,,,,,AH2601034,2026-01-12 00:00:00,,,,,,,,
ALCPO2600151,Z25102-430-1,"YH-H29W 350g单层网布 54""",表情粉154-77-21,24,Y,,,,,AH2601034,2026-01-12 00:00:00,,,,,,,,
,100+87=187,小缸费,表情粉154-77-21,1,个,,,,,AH2601034,2026-01-12 00:00:00,,,,,,,,
ALCPO2600507,Z25072-413-1,"佳积布 54""
250g;;",雾蓝色126-50-07,49,Y,3,,,,AH2601034,2026-01-12 00:00:00,,,,,,,,
ALCPO2524787,Z25072-413,"佳积布 54""
250g;;",雾蓝色126-50-07,257,Y,,,,,AH2601034,2026-01-12 00:00:00,102*3=306,,,,,,,
ALCPO2524787,Z25072-414,"佳积布 54""
250g;;",新灰色031-78-00,124,Y,4,,,,AH2601035,2026-01-12 00:00:00,,,,,,,,
ALCPO2524787,Z25072-414-1,"佳积布 54""
250g;;",新灰色031-78-00,198,Y,,,,,AH2601035,2026-01-12 00:00:00,,,,,,,,
ALCPO2600507,Z25072-414-2,"佳积布 54""
250g;;",新灰色031-78-00,94,Y,,,,,AH2601035,2026-01-12 00:00:00,104*4=416,,,,,,,
ALCPO2600507,Z25072-415-2,"佳积布 54""
250g;;",幻影紫142-24-12,63,Y,4,,,,AH2601035,2026-01-12 00:00:00,,,,,,,,
ALCPO2524787,Z25072-415-1,"佳积布 54""
250g;;",幻影紫142-24-12,25,Y,,,,,AH2601035,2026-01-12 00:00:00,,,,,,,,
ALCPO2524787,Z25072-415,"佳积布 54""
250g;;",幻影紫142-24-12,318,Y,,,,,AH2601035,2026-01-12 00:00:00,102*3+100=406,,,,,,,
ALCPO2524787,Z25097-434,"180g WWDB0633 网布 54""",黑色139-18-00,78,Y,5,,,,AH2601036,2026-01-12 00:00:00,,,,,,,,
ALCPO2524787,Z25102-432,"180g WWDB0633 网布 54""",黑色139-18-00,54,Y,,,,,AH2601036,2026-01-12 00:00:00,,,,,,,,
ALCPO2524787,"Z25097-434-1美
线","180g WWDB0633 网布 54""",黑色139-18-00,37,Y,,,,,AH2601036,2026-01-12 00:00:00,,,,,,,,
ALCPO2524787,Z25097-434-2,"180g WWDB0633 网布 54""",黑色139-18-00,96,Y,,,,,AH2601036,2026-01-12 00:00:00,,,,,,,,
ALCPO2524787,"Z25102-432-1美
线","180g WWDB0633 网布 54""",黑色139-18-00,25,Y,,,,,AH2601036,2026-01-12 00:00:00,,,,,,,,
ALCPO2524787,Z25102-428,"180g WWDB0633 网布 54""",黑色139-18-00,156,Y,,,,,AH2601036,2026-01-12 00:00:00,,,,,,,,
ALCPO2524787,Z25102-429,"180g WWDB0633 网布 54""",黑色139-18-00,156,Y,,,,,AH2601036,2026-01-12 00:00:00,136*4+58=602,,,,,,,
ALCPO2524787,Z25073-424,"250g 加密真美布54""",白色109-98-01,88,Y,10,,,,AH2601037,2026-01-12 00:00:00,,,,,,,,
ALCPO2524787,Z25073-425,"250g 加密真美布54""",白色109-98-01,293,Y,,,,,AH2601037,2026-01-12 00:00:00,,,,,,,,
ALCPO2524787,Z25073-426,"250g 加密真美布54""",白色109-98-01,225,Y,,,,,AH2601037,2026-01-12 00:00:00,,,,,,,,
ALCPO2524787,Z25073-424-1,"250g 加密真美布54""",白色109-98-01,86,Y,,,,,AH2601037,2026-01-12 00:00:00,,,,,,,,
ALCPO2524787,Z25073-426-1,"250g 加密真美布54""",白色109-98-01,164,Y,,,,,AH2601037,2026-01-12 00:00:00,,,,,,,,
ALCPO2600507,Z25073-424-2,"250g 加密真美布54""",白色109-98-01,119,Y,,,,,AH2601037,2026-01-12 00:00:00,103+104+96+101+104+97+98+93+88+91=975,,,,,,,
ALCPO2600475,Z25072-207-12,"D027纹 250-260g单层网布 54""",黑色139-18-00,55,Y,1,,,,AH2601038,2026-01-12 00:00:00,,,,,,,,
ALCPO2600475,Z25072-207-12,"D027纹 250-260g单层网布 54""",活跃红012-41-36,26,Y,1,,,,AH2601038,2026-01-12 00:00:00,,,,,,,,
ALCPO2600475,Z24110-520-7,"DJ 132/有光K184纹 240g 单层网布 54""",黑色139-18-00,89,Y,1,,,,AH2601038,2026-01-12 00:00:00,,,,,,,,
ALCPO2600475,Z24110-519-14,"DJ 132/有光K184纹 240g 单层网布 54""",黑色139-18-00,2,Y,,,,,AH2601038,2026-01-12 00:00:00,,,,,,,,
ALCPO2600475,Z25073-216-12,"354纹 280-290g单层网 54""",黑色139-18-00,100,Y,1,,,,AH2601038,2026-01-12 00:00:00,,,,,,,,
ALCPO2600507,Z25072-208-9,"D027纹 250-260g单层网布 54""",黑色139-18-00,34,Y,5,,,,AH2601033,2026-01-13 00:00:00,,,,,,,,
ALCPO2600507,Z25072-208-10,"D027纹 250-260g单层网布 54""",黑色139-18-00,66,Y,,,,,AH2601033,2026-01-13 00:00:00,,,,,,,,
ALCPO2600507,Z25072-410-2,"D027纹 250-260g单层网布 54""",黑色139-18-00,160,Y,,,,,AH2601033,2026-01-13 00:00:00,,,,,,,,
ALCPO2600507,Z25072-410-3,"D027纹 250-260g单层网布 54""",黑色139-18-00,46,Y,,,,,AH2601033,2026-01-13 00:00:00,,,,,,,,
ALCPO2600507,Z25072-416-3,"D027纹 250-260g单层网布 54""",黑色139-18-00,62,Y,,,,,AH2601033,2026-01-13 00:00:00,,,,,,,,
ALCPO2600507,Z25072-419-1,"D027纹 250-260g单层网布 54""",黑色139-18-00,23,Y,,,,,AH2601033,2026-01-13 00:00:00,,,,,,,,
ALCPO2600507,Z25072-210-12,"D027纹 250-260g单层网布 54""",黑色139-18-00,60,Y,,,,,AH2601033,2026-01-13 00:00:00,47+83+121+100*2=451,,,,,,,
ALCPO2600507,Z25072-208-9,"D027纹 250-260g单层网布 54""",白色109-98-01,30,Y,2,,,,AH2601034,2026-01-13 00:00:00,,,,,,,,
ALCPO2600507,Z25072-208-10,"D027纹 250-260g单层网布 54""",白色109-98-01,58,Y,,,,,AH2601034,2026-01-13 00:00:00,,,,,,,,
ALCPO2600507,Z25072-210-12,"D027纹 250-260g单层网布 54""",白色109-98-01,52,Y,,,,,AH2601034,2026-01-13 00:00:00,100+40=140,,,,,,,
ALCPO2524787,Z25072-412,"D027纹 250-260g单层网布 54""",胜利蓝126-21-11,139,Y,2,,,,AH2601034,2026-01-13 00:00:00,100+39=139,,,,,,,
ALCPO2600055,Z25087-405,"180g 佳积布 54"";;",白色,50,Y,1,,,,AH2601034,2026-01-13 00:00:00,,,,,,,,
ALCPO2600055,Z25087-406,"180g 佳积布 54"";;",白色,44,Y,,,,,AH2601034,2026-01-13 00:00:00,,,,,,,,
ALCPO2524787,Z25072-417-1,"D027纹 250-260g单层网布 54""",胜利蓝126-21-11,98,Y,2,,,,AH2601035,2026-01-13 00:00:00,,,,,,,,
ALCPO2600507,Z25072-412-2,"D027纹 250-260g单层网布 54""",胜利蓝126-21-11,57,Y,,,,,AH2601035,2026-01-13 00:00:00,,,,,,,,
ALCPO2600507,Z25072-412-3,"D027纹 250-260g单层网布 54""",胜利蓝126-21-11,33,Y,,,,,AH2601035,2026-01-13 00:00:00,100+90=190（多2Y),,,,,,,
ALCPO2524787,Z25079-407,组织布 54“250g,米白色036-90-02,42,Y,1,,,,AH2601035,2026-01-13 00:00:00,,,,,,,,
ALCPO2600507,Z25076-225-4,组织布 54“250g,海盐色036-90-02,15,Y,1,,,,AH2601035,2026-01-13 00:00:00,,,,,,,,
ALCPO2600507,Z25076-225-5,组织布 54“250g,海盐色036-90-02,4,Y,,,,,AH2601035,2026-01-13 00:00:00,,,,,,,,
ALCPO2600055,Z24021-042-12,"佳绩布 54"" 80g;;",黑色,78,Y,1,,,,AH2601035,2026-01-13 00:00:00,,,,,,,,
ALCPO2600507,Z24110-521-9,DJ 132/有光K184纹单层网布,白色109-98-01,8,Y,1,,,,AH2601036,2026-01-13 00:00:00,,,,,,,,
ALCPO2600507,Z25076-227-7,DJ 132/有光K184纹单层网布,白色109-98-01,8,Y,,,,,AH2601036,2026-01-13 00:00:00,,,,,,,,
ALCPO2600507,Z25076-227-6,DJ 132/有光K184纹单层网布,白色109-98-01,3,Y,,,,,AH2601036,2026-01-13 00:00:00,,,,,,,,
ALCPO2600507,Z24109-516-9,"DJ 132/有光K184纹 240g 单层网布 54""",黑色139-18-00,5,Y,1,,,,AH2601036,2026-01-13 00:00:00,,,,,,,,
ALCPO2600507,Z24110-520-8,"DJ 132/有光K184纹 240g 单层网布 54""",黑色139-18-00,16,Y,,,,,AH2601036,2026-01-13 00:00:00,,,,,,,,
ALCPO2600507,Z24109-516-8,"DJ 132/有光K184纹 240g 单层网布 54""",黑色139-18-00,3,Y,,,,,AH2601036,2026-01-13 00:00:00,,,,,,,,
ALCPO2600507,Z25076-226-3,"DJ 132/有光K184纹 240g 单层网布 54""",黑色139-18-00,3,Y,,,,,AH2601036,2026-01-13 00:00:00,,,,,,,,
ALCPO2600507,Z25076-226-2,"DJ 132/有光K184纹 240g 单层网布 54""",黑色139-18-00,5,Y,,,,,AH2601036,2026-01-13 00:00:00,,,,,,,,
ALCPO2524787,Z25072-413,"佳积布 54""250g",表情粉154-77-21,106,Y,2,,,,AH2601037,2026-01-14 00:00:00,,,,,,,,
ALCPO2600507,Z25072-413-1,"佳积布 54""250g",表情粉154-77-21,116,Y,,,,,AH2601037,2026-01-14 00:00:00,2*111=222,,,,,,,
ALCPO2524787,Z25102-431,"小椭圆三明治网布 54""",蓝色118-30-29,85,Y,2,,,,AH2601037,2026-01-14 00:00:00,54+31=85,,,,,,,
ALCPO2524787,Z25072-414-1,"佳积布 54""
250g;;",扭曲绿091-63-26,89,Y,2,,,,AH2601037,2026-01-14 00:00:00,,,,,,,,
ALCPO2524787,Z25072-414,"佳积布 54""
250g;;",扭曲绿091-63-26,51,Y,,,,,AH2601037,2026-01-14 00:00:00,,,,,,,,
ALCPO2600507,Z25072-414-2,"佳积布 54""
250g;;",扭曲绿091-63-26,53,Y,,,,,AH2601037,2026-01-14 00:00:00,108+85=193,,,,,,,
ALCPO2524787,Z25087-405,"佳积布网布54""230G",虚拟粉144-57-41,44,Y,1,,,,AH2601038,2026-01-14 00:00:00,,,,,,,,
ALCPO2600010,Z25041-441,"YSK055纹 单层网布 54""",古白色11-0105TPG,118,Y,3,,,,AH2601038,2026-01-14 00:00:00,,,,,,,,
ALCPO2600010,Z25041-440,"YSK055纹 单层网布 54""",古白色11-0105TPG,118,Y,,,,,AH2601038,2026-01-14 00:00:00,,,,,,,,
94+78+67=239,,小缸费,古白色11-0105TPG,1,个,,,,,AH2601038,2026-01-14 00:00:00,,,,,,,,
ALCPO2600010,Z25041-441,"200g 小米通布 54""",古白色11-0105TPG,38,Y,1,,,,AH2601038,2026-01-14 00:00:00,,,,,,,,
,,小缸费,古白色11-0105TPG,1,个,,,,,AH2601038,2026-01-14 00:00:00,,,,,,,,
ALCPO2600010,Z25041-440,"200g 小米通布 54""",灰沙米13-1010TPG,38,Y,1,,,,AH2601038,2026-01-14 00:00:00,,,,,,,,
,,小缸费,灰沙米13-1010TPG,1,个,,,,,AH2601038,2026-01-14 00:00:00,,,,,,,,
ALCPO2524424,Z25015-401,"新K208 网布 54"" 260G",白色,54,Y,1,,,,AH2601039,2026-01-14 00:00:00,,,,,,,,
ALCPO2524424,Z25015-401,"220g 莱卡布 54""",白色,80,Y,,,,,AH2601039,2026-01-14 00:00:00,,,,,,,,
ALCPO2522397,Z25053-339,"8安 帆布54""",古沙色15-1314TPG,41,Y,1,,,,AH2601039,2026-01-14 00:00:00,,,,,,,,
,,小缸费,古沙色15-1314TPG,1,个,,,,,AH2601039,2026-01-14 00:00:00,,,,,,,,
ALCPO2524787,Z25072-415,"D027纹 250-260g 单层网布 54""",陀螺色154-62-08,639,Y,8,,,,AH2601039,2026-01-14 00:00:00,,,,,,,,
ALCPO2524787,Z25072-415-1,"D027纹 250-260g 单层网布 54""",陀螺色154-62-08,50,Y,,,,,AH2601039,2026-01-14 00:00:00,,,,,,,,
ALCPO2600507,Z25072-415-2,"D027纹 250-260g 单层网布 54""",陀螺色154-62-08,92,Y,,,,,AH2601039,2026-01-14 00:00:00,100*7+81=781,,,,,,,
ALCPO2524787,Z25072-415,"D027纹 250-260g 单层网布 54""",幻影紫142-24-12,303,Y,4,,,,AH2601040,2026-01-14 00:00:00,,,,,,,,
ALCPO2524787,Z25072-415-1,"D027纹 250-260g 单层网布 54""",幻影紫142-24-12,24,Y,,,,,AH2601040,2026-01-14 00:00:00,,,,,,,,
ALCPO2600507,Z25072-415-2,"D027纹 250-260g 单层网布 54""",幻影紫142-24-12,73,Y,,,,,AH2601040,2026-01-14 00:00:00,4*100=400,,,,,,,
ALCPO2524787,Z25072-413,"D027纹 250-260g 单层网布 54""",传统蓝126-34-11,107,Y,3,,,,AH2601040,2026-01-14 00:00:00,,,,,,,,
ALCPO2600507,Z25072-413-1,"D027纹 250-260g 单层网布 54""",传统蓝126-34-11,180,Y,,,,,AH2601040,2026-01-14 00:00:00,2*100+87=287,,,,,,,
ALCPO2524787,Z25072-418,"佳积布 54""250g",传统绿059-40-11,64,Y,3,,,,AH2601041,2026-01-14 00:00:00,,,,,,,,
ALCPO2524787,Z25072-418-1,"佳积布 54""250g",传统绿059-40-11,168,Y,,,,,AH2601041,2026-01-14 00:00:00,,,,,,,,
ALCPO2600507,Z25072-418-2,"佳积布 54""250g",传统绿059-40-11,98,Y,,,,,AH2601041,2026-01-14 00:00:00,3*110=330,,,,,,,
ALCPO2524787,Z25102-431,"YH-H29W 350g 单层网布 54""",蓝色126-21-11,34,Y,1,,,,AH2601041,2026-01-14 00:00:00,,,,,,,,
,,小缸费,蓝色126-21-11,1,个,,,,,AH2601041,2026-01-14 00:00:00,,,,,,,,
ALCPO2524787,Z25072-413,"D027纹 250-260g 单层网布 54""",宁静蓝123-79-06,106,Y,3,,,,AH2601041,2026-01-14 00:00:00,,,,,,,,
ALCPO2600507,Z25072-413-1,"D027纹 250-260g 单层网布 54""",宁静蓝123-79-06,188,Y,,,,,AH2601041,2026-01-14 00:00:00,2*100+94=294,,,,,,,
ALCPO2600055,Z24021-041-13,"佳绩布 54""80g;;",火红色18-1664TPG,56,Y,1,,,,AH2601042,2026-01-14 00:00:00,,,,,,,,
ALCPO2600507,Z25072-208-9,"250g 佳积布54""",白色109-98-01,144,Y,6,,,,AH2601042,2026-01-14 00:00:00,,,,,,,,
ALCPO2600507,Z25072-208-10,"250g 佳积布54""",白色109-98-01,283,Y,,,,,AH2601042,2026-01-14 00:00:00,,,,,,,,
ALCPO2600507,Z25072-413-1,"250g 佳积布54""",白色109-98-01,148,Y,,,,,AH2601042,2026-01-14 00:00:00,,,,,,,,
ALCPO2600507,Z25072-413-2,"250g 佳积布54""",白色109-98-01,19,Y,,,,,AH2601042,2026-01-14 00:00:00,2*100+3*99+97=594,,,,,,,
ALCPO2524787,Z25072-414-1,"D027纹 250-260g 单层网布 54""",新灰色031-78-00,179,Y,4,,,,AH2601043,2026-01-14 00:00:00,,,,,,,,
ALCPO2524787,Z25072-414,"D027纹 250-260g 单层网布 54""",新灰色031-78-00,102,Y,,,,,AH2601043,2026-01-14 00:00:00,,,,,,,,
ALCPO2524787,Z25072-420,"D027纹 250-260g 单层网布 54""",新灰色031-78-00,82,Y,,,,,AH2601043,2026-01-14 00:00:00,,,,,,,,
ALCPO2600507,Z25072-414-2,"D027纹 250-260g 单层网布 54""",新灰色031-78-00,29,Y,,,,,AH2601043,2026-01-14 00:00:00,3*100+92=392,,,,,,,
ALCPO2522397,Z25014-036-1,"8安 帆布54""",靛青19-3929TPG,40,Y,,,,,AH2601045,2026-01-15 00:00:00,,,,,,,,
货已发补货单,,小缸费,靛青19-3929TPG,1,个,,,,,AH2601045,2026-01-15 00:00:00,,,,,,,,
ALCPO2600507,Z25072-210-11,"D027纹 250-260g单层网布 54""",白色109-98-01,304,Y,4,,,,AH2601045,2026-01-15 00:00:00,,,,,,,,
ALCPO2600507,Z25072-210-12,"D027纹 250-260g单层网布 54""",白色109-98-01,8,Y,,,,,AH2601045,2026-01-15 00:00:00,3*100+12=312,,,,,,,
ALCPO2524787,Z25097-433,"WWDB0633 佳积布 54""180g",白色109-98-01,56,Y,1,,,,AH2601045,2026-01-15 00:00:00,,,,,,,,
ALCPO2524787,Z25087-405,"WWDB0633 佳积布 54""180g",白色109-98-01,16,Y,,,,,AH2601045,2026-01-15 00:00:00,,,,,,,,
ALCPO2600507,Z25072-416-3,"D027纹 250-260g单层网布 54""",黑色139-18-00,180,Y,5,,,,AH2601046,2026-01-15 00:00:00,,,,,,,,
ALCPO2600507,Z25072-210-11,"D027纹 250-260g单层网布 54""",黑色139-18-00,303,Y,,,,,AH2601046,2026-01-15 00:00:00,4*100+83=483,,,,,,,
ALCPO2524787,Z25097-433,"WWDB0633 佳积布 54""180g",表情粉154-77-21,104,Y,1,,,,AH2601046,2026-01-15 00:00:00,,,,,,,,
ALCPO2524787,Z25102-430,"WWDB0633 佳积布 54""180g",表情粉154-77-21,33,Y,,,,,AH2601046,2026-01-15 00:00:00,,,,,,,,
ALCPO2600151,Z25102-430-1,"WWDB0633 佳积布 54""180g",表情粉154-77-21,20,Y,,,,,AH2601046,2026-01-15 00:00:00,,,,,,,,
ALCPO2600169,Z25109-381,"200G K208里布 54""",黑色,138,Y,3,,,,AH2601046,2026-01-15 00:00:00,2*120+36=276,,,,,,,
ALCPO2600169,Z25109-380,"200G K208里布 54""",黑色,138,Y,,,,,AH2601046,2026-01-15 00:00:00,,,,,,,,
ALCPO2524787,"Z25102-432-1美
线","小椭圆三明治网布 54""",灰色000-47-00,22,Y,1,,,,AH2601047,2026-01-15 00:00:00,,,,,,,,
ALCPO2524787,Z25102-432,"小椭圆三明治网布 54""",灰色000-47-00,49,Y,,,,,AH2601047,2026-01-15 00:00:00,,,,,,,,
ALCPO2524787,Z25102-429,"250g 组织布54""",黑色139-18-00,71,Y,2,,,,AH2601047,2026-01-15 00:00:00,,,,,,,,
ALCPO2524787,Z25102-428,"250g 组织布54""",黑色139-18-00,71,Y,,,,,AH2601047,2026-01-15 00:00:00,,,,,,,,
ALCPO2524787,"Z25102-432-1美
线","250g 组织布54""",黑色139-18-00,12,Y,,,,,AH2601047,2026-01-15 00:00:00,100+79=179,,,,,,,
ALCPO2524787,Z25102-432,"250g 组织布54""",黑色139-18-00,25,Y,,,,,AH2601047,2026-01-15 00:00:00,,,,,,,,
ALCPO2600507,Z25076-225-4,"180g 丝光布 54""",白色,43,Y,13,,,,AH2601048,2026-01-15 00:00:00,,,,,,,,
ALCPO2600624,Z25075-444,"180g 丝光布 54""",白色,407,Y,,,,,AH2601048,2026-01-15 00:00:00,,,,,,,,
ALCPO2600624,Z25075-445,"180g 丝光布 54""",白色,483,Y,,,,,AH2601048,2026-01-15 00:00:00,,,,,,,,
ALCPO2600624,Z25075-444-1,"180g 丝光布 54""",白色,192,Y,,,,,AH2601048,2026-01-15 00:00:00,,,,,,,,
ALCPO2600624,Z25075-445-1,"180g 丝光布 54""",白色,89,Y,,,,,AH2601048,2026-01-15 00:00:00,,,,,,,,
