泉州阳硕鞋材有限公司,,,,,,,,,,300码以下记得开小缸费,,,帆布不够800Y，小缸费500,,,300D粗纹牛津布不足500码开染费,,,
送 货 单,,,,,,,,,,,,,,,,,,,
收货单位：莆田安健致远鞋业限公司,,,,,,NO.：,AH260316,,,,,,,,,,,,
地 址：福建省莆田市荔城区西天尾镇荔园工业区东川路,,,,,,送货日期：,2026-03-08 00:00:00,,,,,,,,,,,,
订单号,型体,品名及规格,颜色,数量,单位,支数,单价,金额,备注,,,,,,,,,,
ALCPO2600010,Z25106-330-1,"YS1066纹 230g
平布 54"";;",白色11-0601TPG,58,Y,7,,,,AH2601004,2026-01-03 00:00:00,,,,,,,,
ALCPO2600010,Z25106-329-1,"YS1066纹 230g
平布 54"";;",白色11-0601TPG,218,Y,,,,,AH2601004,2026-01-03 00:00:00,,,,,,,,
ALCPO2600010,Z25057-263-4,"YS1066纹 230g
平布 54"";;",白色11-0601TPG,86,Y,,,,,AH2601004,2026-01-03 00:00:00,,,,,,,,
ALCPO2600010,Z25106-331-1,"YS1066纹 230g
平布 54"";;",白色11-0601TPG,57,Y,,,,,AH2601004,2026-01-03 00:00:00,,,,,,,,
ALCPO2600010,Z25041-441,"YS1066纹 230g
平布 54"";;",白色11-0601TPG,98,Y,,,,,AH2601004,2026-01-03 00:00:00,,,,,,,,
ALCPO2600010,Z25041-440,"YS1066纹 230g
平布 54"";;",白色11-0601TPG,98,Y,,,,,AH2601004,2026-01-03 00:00:00,6*100+15=615,,,,,,,
,Z25019-150,"佳绩布 54"" 80g",亮黄色,10,Y,1,,,,AH2601004,2026-01-03 00:00:00,,,,,,,,
ALCPO2600010,Z25057-264-5,"YS1066纹 230g
平布 54"";;",黑色,55,Y,1,,,,AH2601005,2026-01-03 00:00:00,,,,,,,,
,Z25077-228-3,"220-230g 低弹平布 54""",白色109-98-01,75,Y,2,,,,AH2601005,2026-01-03 00:00:00,,,,,,,,
,Z25077-230-5,"220-230g 低弹平布 54""",白色109-98-01,65,Y,,,,,AH2601005,2026-01-03 00:00:00,,,,,,,,
,Z25077-230-6,"220-230g 低弹平布 54""",白色109-98-01,5,Y,,,,,AH2601005,2026-01-03 00:00:00,100+45=145,,,,,,,
,Z25073-216-11,"354纹 280-290g 单层网 54""",黑色139-18-00,82,Y,1,,,,AH2601005,2026-01-03 00:00:00,,,,,,,,
ALCPO2522397,Z24013-433-6,"8安 帆布54""",毛毛灰16-4402TPG,75,Y,1,,,,AH2601006,2026-01-04 00:00:00,,,,,,,,
,,小缸费,毛毛灰16-4402TPG,1,个,,,,,AH2601006,2026-01-04 00:00:00,,,,,,,,
ALCPO2522397,Z24013-022-10,"8安 帆布54""",軟木褐16-1422TPG,40,Y,1,,,,AH2601006,2026-01-04 00:00:00,,,,,,,,
,,小缸费,軟木褐16-1422TPG,1,个,,,,,AH2601006,2026-01-04 00:00:00,,,,,,,,
ALCPO2522397,Z25053-339,"8安 帆布54""",古沙色15-1314TPG,41,Y,2,,,,AH2601006,2026-01-04 00:00:00,,,,,,,,
ALCPO2522397,Z25053-160-1,"8安 帆布54""",古沙色15-1314TPG,53,Y,,,,,AH2601006,2026-01-04 00:00:00,,,,,,,,
