泉州阳硕鞋材有限公司,,,,,,,,,,,,,,
2026年01月份请款明细（大货）,,,,,,,,,,,,,,
TO：福建安恒致远鞋业有限公司,,,,,,,,,,,,,,
ATTN：李小姐,,,CC：财务,,,,,,,,币别:人民币,,,
行号,"交货 
日期",货单号,订购单号,形体号,产品名称,规格型号,辅助属性,加工,数量,单位,含税 单价,小缸费,总金额,备注
36,2026-01-04 00:00:00,AH2601005,AHJPO2581051,Z25610-8,354纹 单层网,"280-290g  54""",黑色139-18-00,全代,229,Y,9,,2061,
37,2026-01-04 00:00:00,AH2601006,AHJPO2581051,Z25062-11,K208 BK网布,"240g 54""",白色109-98-01,全代,196,Y,5.5,,1078,
38,2026-01-04 00:00:00,AH2601006,AHJPO2581051,Z25029-19,K208 BK网布,"240g 54""",白色109-98-01,全代,249,Y,5.5,,1369.5,
39,2026-01-04 00:00:00,AH2601006,AHJPO2581051,Z25029-19open,K208 BK网布,"240g 54""",白色109-98-01,全代,10,Y,5.5,,55,
40,2026-01-04 00:00:00,AH2601006,AHJPO2581051,Z25062-11,佳积布,"120g 54""",白色,全代,105,Y,2.75,,288.75,
41,2026-01-04 00:00:00,AH2601006,AHJPO2581105,ZY25368-2,佳积布,"180g 54""",黑色,全代,143,Y,3.9,,557.7,
42,2026-01-04 00:00:00,AH2601006,AHJPO2581105,ZY25370-2,佳积布,"180g 54""",黑色,全代,208,Y,3.9,,811.2,
43,2026-01-04 00:00:00,AH2601006,AHJPO2581105,ZY25368-3,佳积布,"180g 54""",黑色,全代,41,Y,3.9,,159.9,
44,2026-01-04 00:00:00,AH2601007,AHJPO2581051,Z25006-12,D027纹单层网布,"250-260g 54""",黑色139-18-00,全代,125,Y,6.3,,787.5,
45,2026-01-04 00:00:00,AH2601007,AHJPO2581051,Z25001-15open,D027纹单层网布,"250-260g 54""",黑色139-18-00,全代,8,Y,6.3,,50.4,
46,2026-01-04 00:00:00,AH2601007,AHJPO2581051,Z25006-11,D027纹单层网布,"250-260g 54""",黑色139-18-00,全代,494,Y,6.3,,3112.2,
47,2026-01-04 00:00:00,AH2601007,AHJPO2581051,Z25001-15,D027纹单层网布,"250-260g 54""",黑色139-18-00,全代,154,Y,6.3,,970.2,
48,2026-01-04 00:00:00,AH2601007,AHJPO2581051,Z25001-17,D027纹单层网布,"250-260g 54""",黑色139-18-00,全代,91,Y,6.3,,573.3,
49,2026-01-04 00:00:00,AH2601007,AHJPO2581051,Z25001-16,D027纹单层网布,"250-260g 54""",黑色139-18-00,全代,624,Y,6.3,,3931.2,
50,2026-01-04 00:00:00,AH2601007,AHJPO2581105,ZY26084-1,佳积布,"180g 54""",白色,全代,209,Y,3.9,,815.1,
51,2026-01-05 00:00:00,AH2601008,AHJPO2581105,ZY26084-1,CK网布,230*54,灰色031-78-00,全代,66,Y,4.8,,316.8,
52,2026-01-05 00:00:00,AH2601008,AHJPO2581105,ZY26084-1open,CK网布,230*54,灰色031-78-00,全代,4,Y,4.8,,19.2,
53,2026-01-05 00:00:00,AH2601008,AHJPO2600614,Z26165-2,DJT1834纹 单层网布,"54 """,灰色031-78-00,全代,33,Y,4.3,,141.9,
54,2026-01-05 00:00:00,AH2601008,AHJPO2600614,Z26165-1,DJT1834纹 单层网布,"54 """,灰色031-78-00,全代,84,Y,4.3,,361.2,
