泉州阳硕鞋材有限公司,,,,,,,,,,,,,,
2026年01月份请款明细（大货）,,,,,,,,,,,,,,
TO：福建安恒致远鞋业有限公司,,,,,,,,,,,,,,
ATTN：李小姐,,,CC：财务,,,,,,,,币别:人民币,,,
行号,"交货 
日期",货单号,订购单号,形体号,产品名称,规格型号,辅助属性,加工,数量,单位,含税 单价,小缸费,总金额,备注
156,2026-01-09 00:00:00,AH2601024,AHJPO2600614,Z26163-1open,YS5908小圆孔三明治网布,"380G*54""",橄榄绿044-36-10,全代,7,Y,12.5,,87.5,
157,2026-01-09 00:00:00,AH2601024,AHJPO2600707,Z26096-1,YS5908小圆孔三明治网布,"380G*54""",橄榄绿044-36-10,全代,33,Y,12.5,,412.5,
158,2026-01-09 00:00:00,AH2601024,AHJPO2600614,Z26157-2,YS571 单层网布,"530*54""",暗灰000-55-00,全代,48,Y,16,,768,
159,2026-01-09 00:00:00,AH2601024,AHJPO2600614,Z26157-1,YS571 单层网布,"530*54""",暗灰000-55-00,全代,226,Y,16,,3616,
160,2026-01-09 00:00:00,AH2601024,AHJPO2600614,Z26157-1open,YS571 单层网布,"530*54""",暗灰000-55-00,全代,10,Y,16,,160,
161,2026-01-09 00:00:00,AH2601025,AHJPO2600614,Z26158-1,YS5908纹 小圆孔三明治,"380G*54""",传统蓝126-34-11,全代,36,Y,12.5,,450,
162,2026-01-09 00:00:00,AH2601025,AHJPO2600614,Z26158-2,YS5908纹 小圆孔三明治,"380G*54""",传统蓝126-34-11,全代,163,Y,12.5,,2037.5,
163,2026-01-09 00:00:00,AH2601025,AHJPO2600614,Z26158-1open,YS5908纹 小圆孔三明治,"380G*54""",传统蓝126-34-11,全代,2,Y,12.5,,25,
164,2026-01-09 00:00:00,AH2601025,AHJPO2600614,Z26101-1open,DJ132网布 耐黄,"240g 54""",海盐色036-90-02,全代,2,Y,6,,12,
165,2026-01-09 00:00:00,AH2601025,AHJPO2600614,Z26101-1,DJ132网布 耐黄,"240g 54""",海盐色036-90-02,全代,35,Y,6,,210,
166,2026-01-09 00:00:00,AH2601025,AHJPO2600614,Z26112-1,DJ132网布 耐黄,"240g 54""",海盐色036-90-02,全代,33,Y,6,,198,
167,2026-01-09 00:00:00,AH2601025,AHJPO2600614,Z26112-2,DJ132网布 耐黄,"240g 54""",海盐色036-90-02,全代,16,Y,6,,96,
168,2026-01-09 00:00:00,AH2601026,AHJPO2600614,Z26174-1open,DJ132 POLYPAG单层网布,"240g 54""",黑色139-18-00,全代,2,Y,6,,12,
169,2026-01-09 00:00:00,AH2601026,AHJPO2600614,Z26174-1,DJ132 POLYPAG单层网布,"240g 54""",黑色139-18-00,全代,24,Y,6,,144,
170,2026-01-09 00:00:00,AH2601026,AHJPO2600614,Z26109-1,DJ132 POLYPAG单层网布,"240g 54""",黑色139-18-00,全代,6,Y,6,,36,
171,2026-01-09 00:00:00,AH2601026,AHJPO2600614,Z26176-1,DJ132 POLYPAG单层网布,"240g 54""",黑色139-18-00,全代,34,Y,6,,204,
172,2026-01-09 00:00:00,AH2601026,AHJPO2600614,Z26176-2,DJ132 POLYPAG单层网布,"240g 54""",黑色139-18-00,全代,265,Y,6,,1590,
173,2026-01-09 00:00:00,AH2601026,AHJPO2600614,Z26175-1,DJ132 POLYPAG单层网布,"240g 54""",黑色139-18-00,全代,219,Y,6,,1314,
174,2026-01-09 00:00:00,AH2601027,AHJPO2581105,ZY25368-3,CK网布,230*54,黑色,全代,13,Y,4.8,,62.4,
175,2026-01-09 00:00:00,AH2601027,AHJPO2581105,ZY25368-2,CK网布,230*54,黑色,全代,46,Y,4.8,,220.8,
176,2026-01-09 00:00:00,AH2601027,AHJPO2581105,ZY25370-2,CK网布,230*54,黑色,全代,67,Y,4.8,,321.6,
177,2026-01-09 00:00:00,AH2601027,AHJPO2600614,Z26092-2,镂空圆孔YS0391纹 单层网布,"310-320g *54""",胜利蓝126-21-11,全代,74,Y,9.8,,725.2,
178,2026-01-09 00:00:00,AH2601027,AHJPO2600614,Z26092-1open,镂空圆孔YS0391纹 单层网布,"310-320g *54""",胜利蓝126-21-11,全代,6,Y,9.8,,58.8,
179,2026-01-09 00:00:00,AH2601027,AHJPO2600614,Z26092-1,镂空圆孔YS0391纹 单层网布,"310-320g *54""",胜利蓝126-21-11,全代,103,Y,9.8,,1009.4,
180,2026-01-10 00:00:00,AH2601028,AHJPO2600614,Z26091-2,YSK2360纹 双心三层网,"400g* 59""",黑色139-18-00,全代,22,Y,16.5,,363,
181,2026-01-10 00:00:00,AH2601028,AHJPO2600614,Z26091-1,YSK2360纹 双心三层网,"400g* 59""",黑色139-18-00,全代,40,Y,16.5,,660,
182,2026-01-10 00:00:00,AH2601028,AHJPO2600614,Z26163-1,YS571网布,"530*54""",橄榄绿044-36-10,全代,58,Y,16,,928,
183,2026-01-10 00:00:00,AH2601028,AHJPO2600707,Z26096-1,YS571网布,"530*54""",橄榄绿044-36-10,全代,85,Y,16,,1360,
184,2026-01-10 00:00:00,AH2601028,AHJPO2600614,Z26191-1open,FMD-F2-066 格子布,"54 """,黑色,全代,1,Y,15,,15,
185,2026-01-10 00:00:00,AH2601028,AHJPO2600614,Z26191-1,FMD-F2-066 格子布,"54 """,黑色,全代,7,Y,15,,105,
186,2026-01-10 00:00:00,AH2601028,AHJPO2600614,Z26150-1open,YY5983纹三明治网布,"380G*54""",白色109-98-01,全代,3,Y,13.8,,41.4,
187,2026-01-10 00:00:00,AH2601028,AHJPO2600614,Z26150-1,YY5983纹三明治网布,"380G*54""",白色109-98-01,全代,54,Y,13.8,,745.2,
188,2026-01-11 00:00:00,AH2601029,AHJPO2600614,Z26135-1,K106/DJT 1834 FLECK TEX纹 单层网布 耐黄,"54 """,白色109-98-01,全代,56,Y,4.3,,240.8,
189,2026-01-11 00:00:00,AH2601029,AHJPO2600614,Z26135-2,K106/DJT 1834 FLECK TEX纹 单层网布 耐黄,"54 """,白色109-98-01,全代,70,Y,4.3,,301,
190,2026-01-11 00:00:00,AH2601029,AHJPO2601214,Z25606-9,K106/DJT 1834 FLECK TEX纹 单层网布 耐黄,"54 """,白色109-98-01,全代,90,Y,4.3,,387,
191,2026-01-11 00:00:00,AH2601029,AHJPO2601211,Z26199-1,K106/DJT 1834 FLECK TEX纹 单层网布 耐黄,"54 """,白色109-98-01,全代,82,Y,4.3,,352.6,
192,2026-01-11 00:00:00,AH2601029,AHJPO2601211,Z26200-1,K106/DJT 1834 FLECK TEX纹 单层网布 耐黄,"54 """,白色109-98-01,全代,167,Y,4.3,,718.1,
193,2026-01-11 00:00:00,AH2601030,AHJPO2600614,Z26112-2,DJ132/有光K184 单层网布,"240g 54""",怀旧白038-90-04,全代,74,Y,6,,444,
194,2026-01-11 00:00:00,AH2601030,AHJPO2600614,Z26112-1open,DJ132/有光K184 单层网布,"240g 54""",怀旧白038-90-04,全代,8,Y,6,,48,
195,2026-01-11 00:00:00,AH2601030,AHJPO2600614,Z26112-1,DJ132/有光K184 单层网布,"240g 54""",怀旧白038-90-04,全代,158,Y,6,,948,
196,2026-01-11 00:00:00,AH2601030,AHJPO2581105,ZY26080-1,K273 /CL24075单层网布,"300*54""",月石色024-71-03,全代,212,Y,14,,2968,
197,2026-01-11 00:00:00,AH2601030,AHJPO2581105,ZY26089-1,K273 /CL24075单层网布,"300*54""",月石色024-71-03,全代,174,Y,14,,2436,
198,2026-01-11 00:00:00,AH2601030,AHJPO2581105,ZY26089-1open,K273 /CL24075单层网布,"300*54""",月石色024-71-03,全代,9,Y,14,300,426,
199,2026-01-12 00:00:00,AH2601031,AHJPO2600614,Z26169-2,YS5908纹三明治网布,380*54'',黑色139-18-00,全代,14,Y,12.5,,175,
200,2026-01-12 00:00:00,AH2601031,AHJPO2600614,Z26169-1,YS5908纹三明治网布,380*54'',黑色139-18-00,全代,32,Y,12.5,,400,
201,2026-01-12 00:00:00,AH2601031,AHJPO2600614,Z26136-2,YH H354单层网布,"54 """,黑色139-18-00,全代,24,Y,9,,216,
202,2026-01-12 00:00:00,AH2601031,AHJPO2600614,Z26136-1,YH H354单层网布,"54 """,黑色139-18-00,全代,28,Y,9,,252,
203,2026-01-12 00:00:00,AH2601031,AHJPO2600614,Z26172-1,YY5983纹三明治网布,380*54'',黑色139-18-00,全代,34,Y,13.8,,469.2,
204,2026-01-12 00:00:00,AH2601031,AHJPO2600614,Z26172-1open,YY5983纹三明治网布,380*54'',黑色139-18-00,全代,2,Y,13.8,,27.6,
205,2026-01-12 00:00:00,AH2601031,AHJPO2601747,ZY25941-3,DJT-6515 单层网布,"54 """,白色109-98-01,全代,335,Y,9.5,,3182.5,
206,2026-01-12 00:00:00,AH2601032,AHJPO2601747,ZY25370-3,CK网布,230*54,黑色,全代,37,Y,4.8,,177.6,
207,2026-01-12 00:00:00,AH2601032,AHJPO2600614,Z26170-1,丝光布,"180g 54""",蓝色126-34-11,全代,6,Y,3.3,,19.8,
208,2026-01-12 00:00:00,AH2601032,AHJPO2601211,Z26198-1open,DJ132 单层网布 耐黄,"240g 54""",白色,全代,1,Y,6,,6,
209,2026-01-12 00:00:00,AH2601032,AHJPO2601211,Z26198-1,DJ132 单层网布 耐黄,"240g 54""",白色,全代,2,Y,6,,12,
210,2026-01-13 00:00:00,AH2601033,AHJPO2601821,Z26096-4,YS571 单层网布,"530g 54""",橄榄绿044-36-10,全代,79,Y,16,,1264,
211,2026-01-13 00:00:00,AH2601033,AHJPO2601821,Z26096-4,YS5908小圆孔三明治网布,"380g 54""",橄榄绿044-36-10,全代,18,Y,12.5,,225,
212,2026-01-13 00:00:00,AH2601034,AHJPO2601821,Z25029-20,K208 BK网布,"240g 54""",白色109-98-01,全代,260,Y,5.5,,1430,
213,2026-01-13 00:00:00,AH2601034,AHJPO2601821,Z25032-10,K208 BK网布,"240g 54""",白色109-98-01,全代,237,Y,5.5,,1303.5,
214,2026-01-13 00:00:00,AH2601034,AHJPO2601821,Z25547-12,YSK2360纹 双心三层网,"400g* 59""",白色109-98-01,全代,20,Y,16.5,,330,
215,2026-01-13 00:00:00,AH2601034,AHJPO2601905,ZY26014-2,DJT-6515 单层网布,"54 """,黑色139-18-00,全代,11,Y,9.5,,104.5,
216,2026-01-13 00:00:00,AH2601034,AHJPO2601905,ZY25365-6,DJT-6515 单层网布,"54 """,黑色139-18-00,全代,2,Y,9.5,,19,
217,2026-01-13 00:00:00,AH2601034,AHJPO2601821,Z25654-5,DJ132 单层网布 耐黄,"240g 54""",白色,全代,2,Y,6,,12,
218,2026-01-13 00:00:00,AH2601035,AHJPO2600614,Z26140-1,CL24121三明治网布,"430g  54""",蓝色ADWW,全代,367,Y,13.5,,4954.5,
219,2026-01-13 00:00:00,AH2601035,AHJPO2600614,Z26144-1open,CL24121三明治网布,"430g  54""",蓝色ADWW,全代,8,Y,13.5,,108,
220,2026-01-13 00:00:00,AH2601035,AHJPO2600614,Z26144-2,CL24121三明治网布,"430g  54""",蓝色ADWW,全代,34,Y,13.5,,459,
221,2026-01-13 00:00:00,AH2601035,AHJPO2600614,Z26144-1,CL24121三明治网布,"430g  54""",蓝色ADWW,全代,147,Y,13.5,,1984.5,
222,2026-01-13 00:00:00,AH2601035,AHJPO2600614,Z26141-1,CL24121三明治网布,"430g  54""",蓝色ADWW,全代,180,Y,13.5,,2430,
223,2026-01-13 00:00:00,AH2601035,AHJPO2601890,Z26140-2,CL24121三明治网布,"430g  54""",蓝色ADWW,全代,3,Y,13.5,,40.5,
224,2026-01-13 00:00:00,AH2601036,AHJPO2600614,Z26135-1,354纹  单层网 耐黄,"280-290g  54""",白色109-98-01,全代,20,Y,9,,180,
225,2026-01-13 00:00:00,AH2601036,AHJPO2600614,Z26135-2,354纹  单层网 耐黄,"280-290g  54""",白色109-98-01,全代,24,Y,9,,216,
226,2026-01-13 00:00:00,AH2601036,AHJPO2600614,Z26173-1,354纹  单层网 耐黄,"280-290g  54""",白色109-98-01,全代,5,Y,9,,45,
227,2026-01-13 00:00:00,AH2601036,AHJPO2601214,Z25606-9,354纹  单层网 耐黄,"280-290g  54""",白色109-98-01,全代,39,Y,9,,351,
228,2026-01-13 00:00:00,AH2601036,AHJPO2601211,Z26199-1,354纹  单层网 耐黄,"280-290g  54""",白色109-98-01,全代,30,Y,9,,270,
229,2026-01-13 00:00:00,AH2601036,AHJPO2601211,Z26200-1,354纹  单层网 耐黄,"280-290g  54""",白色109-98-01,全代,60,Y,9,,540,
230,2026-01-13 00:00:00,AH2601036,AHJPO2601821,Z25606-10,354纹  单层网 耐黄,"280-290g  54""",白色109-98-01,全代,26,Y,9,,234,
231,2026-01-13 00:00:00,AH2601036,AHJPO2601821,Z25606-11,354纹  单层网 耐黄,"280-290g  54""",白色109-98-01,全代,21,Y,9,,189,
232,2026-01-13 00:00:00,AH2601037,AHJPO2601821,Z25609-9,354纹  单层网 耐黄,"280-290g  54""",白色109-98-01,全代,25,Y,9,,225,
233,2026-01-13 00:00:00,AH2601037,AHJPO2601821,Z25609-11,354纹  单层网 耐黄,"280-290g  54""",白色109-98-01,全代,23,Y,9,,207,
234,2026-01-13 00:00:00,AH2601037,AHJPO2601821,Z25611-13,354纹  单层网 耐黄,"280-290g  54""",白色109-98-01,全代,21,Y,9,,189,
235,2026-01-13 00:00:00,AH2601037,AHJPO2601821,Z25609-12,354纹  单层网 耐黄,"280-290g  54""",白色109-98-01,全代,34,Y,9,,306,
236,2026-01-13 00:00:00,AH2601037,AHJPO2601821,Z25611-14,354纹  单层网 耐黄,"280-290g  54""",白色109-98-01,全代,38,Y,9,,342,
237,2026-01-13 00:00:00,AH2601038,AHJPO2601821,Z26168-3,DJ132POLYPAG单层网布耐黄,"240g 54""",白色109-98-01,全代,23,Y,6,,138,
238,2026-01-13 00:00:00,AH2601038,AHJPO2601821,Z25825-21,DJ132POLYPAG单层网布耐黄,"240g 54""",白色109-98-01,全代,27,Y,6,,162,
239,2026-01-13 00:00:00,AH2601038,AHJPO2601821,Z26168-3,DJ132POLYPAG单层网布耐黄,"240g 54""",白色109-98-01,全代,2,Y,6,,12,
240,2026-01-13 00:00:00,AH2601038,AHJPO2601821,Z26168-3open,DJ132POLYPAG单层网布耐黄,"240g 54""",白色109-98-01,全代,1,Y,6,,6,
241,2026-01-13 00:00:00,AH2601038,AHJPO2600614,Z26093-1,镂空圆孔YS0391纹  单层网布,"310-320g *54""",白色109-98-01,全代,95,Y,9.8,,931,
242,2026-01-13 00:00:00,AH2601038,AHJPO2601821,Z25547-12,镂空圆孔YS0391纹  单层网布,"310-320g *54""",白色109-98-01,全代,44,Y,9.8,,431.2,
243,2026-01-13 00:00:00,AH2601038,AHJPO2601821,Z26093-4,镂空圆孔YS0391纹  单层网布,"310-320g *54""",白色109-98-01,全代,79,Y,9.8,,774.2,
244,2026-01-13 00:00:00,AH2601039,AHJPO2601821,Z25926-12美线,DJ132 POLYPAG单层网布耐黄,"240g 54""",白色109-98-01,全代,9,Y,6,,54,
245,2026-01-13 00:00:00,AH2601039,AHJPO2601821,Z25926-13美线,DJ132 POLYPAG单层网布耐黄,"240g 54""",白色109-98-01,全代,7,Y,6,,42,
246,2026-01-13 00:00:00,AH2601039,AHJPO2601821,Z25926-14美线,DJ132 POLYPAG单层网布耐黄,"240g 54""",白色109-98-01,全代,14,Y,6,,84,
247,2026-01-13 00:00:00,AH2601039,AHJPO2601821,Z25924-7,DJ132 POLYPAG单层网布耐黄,"240g 54""",白色109-98-01,全代,7,Y,6,,42,
248,2026-01-13 00:00:00,AH2601039,AHJPO2601821,Z25924-8,DJ132 POLYPAG单层网布耐黄,"240g 54""",白色109-98-01,全代,5,Y,6,,30,
249,2026-01-13 00:00:00,AH2601039,AHJPO2601821,Z25924-9,DJ132 POLYPAG单层网布耐黄,"240g 54""",白色109-98-01,全代,8,Y,6,,48,
250,2026-01-13 00:00:00,AH2601039,AHJPO2601821,Z25924-10,DJ132 POLYPAG单层网布耐黄,"240g 54""",白色109-98-01,全代,14,Y,6,,84,
251,2026-01-13 00:00:00,AH2601039,AHJPO2601821,Z25928-14,DJ132 POLYPAG单层网布耐黄,"240g 54""",白色109-98-01,全代,27,Y,6,,162,
252,2026-01-13 00:00:00,AH2601040,AHJPO2601821,Z25928-15,DJ132 POLYPAG单层网布耐黄,"240g 54""",白色109-98-01,全代,18,Y,6,,108,
253,2026-01-13 00:00:00,AH2601040,AHJPO2601821,Z25924-8,DJ132 POLYPAG单层网布耐黄,"240g 54""",白色109-98-01,全代,1,Y,6,,6,
254,2026-01-13 00:00:00,AH2601040,AHJPO2601821,Z25924-9,DJ132 POLYPAG单层网布耐黄,"240g 54""",白色109-98-01,全代,1,Y,6,,6,
255,2026-01-13 00:00:00,AH2601040,AHJPO2601821,Z25924-10,DJ132 POLYPAG单层网布耐黄,"240g 54""",白色109-98-01,全代,1,Y,6,,6,
256,2026-01-13 00:00:00,AH2601040,AHJPO2600614,Z26093-1,YSK2360纹 双心三层网,"400g* 59""",白色109-98-01,全代,106,Y,16.5,,1749,
257,2026-01-13 00:00:00,AH2601040,AHJPO2600614,Z26094-1,YSK2360纹 双心三层网,"400g* 59""",白色109-98-01,全代,48,Y,16.5,,792,
258,2026-01-13 00:00:00,AH2601040,AHJPO2600614,Z26093-2,YSK2360纹 双心三层网,"400g* 59""",白色109-98-01,全代,20,Y,16.5,,330,
259,2026-01-13 00:00:00,AH2601040,AHJPO2601821,Z26093-4,YSK2360纹 双心三层网,"400g* 59""",白色109-98-01,全代,99,Y,16.5,,1633.5,
260,2026-01-14 00:00:00,AH2601041,AHJPO2601921,ZY23603W-16,佳绩布,"54"" 120g",白色,全代,103,Y,2.75,,283.25,
261,2026-01-14 00:00:00,AH2601041,AHJPO2601821,Z25017-20,YSK2360纹 双心三层网,"400g* 59""",黑色139-18-00,全代,87,Y,16.5,,1435.5,
262,2026-01-14 00:00:00,AH2601041,AHJPO2601821,Z26091-5,YSK2360纹 双心三层网,"400g* 59""",黑色139-18-00,全代,96,Y,16.5,,1584,
263,2026-01-14 00:00:00,AH2601041,AHJPO2601821,Z25162-7,经编佳积布,"46"" 150平方克",灰白色017-79-00,全代,66,Y,4,,264,
264,2026-01-14 00:00:00,AH2601041,AHJPO2601821,Z25162-7open,经编佳积布,"46"" 150平方克",灰白色017-79-00,全代,4,Y,4,,16,
265,2026-01-14 00:00:00,AH2601041,AHJPO2601821,Z25162-8,经编佳积布,"46"" 150平方克",灰白色017-79-00,全代,57,Y,4,,228,
266,2026-01-14 00:00:00,AH2601041,AHJPO2601821,Z26152-3,D027纹 单层网布,"250-260g 54""",土色034-67-06,全代,14,Y,6.3,,88.2,
267,2026-01-14 00:00:00,AH2601041,AHJPO2601821,Z26152-4,D027纹 单层网布,"250-260g 54""",土色034-67-06,全代,59,Y,6.3,,371.7,
268,2026-01-14 00:00:00,AH2601042,AHJPO2601821,Z26096-4,YS5908小圆孔三明治网布,"380g 54""",橄榄绿044-36-10,全代,89,Y,12.5,,1112.5,
269,2026-01-14 00:00:00,AH2601042,AHJPO2601821,Z26096-5,YS5908小圆孔三明治网布,"380g 54""",橄榄绿044-36-10,全代,29,Y,12.5,,362.5,
270,2026-01-14 00:00:00,AH2601042,AHJPO2600614,Z26157-2,YS5908小圆孔三明治网布,"380g 54""",暗灰000-55-00,全代,19,Y,12.5,,237.5,
271,2026-01-14 00:00:00,AH2601042,AHJPO2600614,Z26157-1,YS5908小圆孔三明治网布,"380g 54""",暗灰000-55-00,全代,87,Y,12.5,,1087.5,
272,2026-01-14 00:00:00,AH2601042,AHJPO2600614,Z26157-1open,YS5908小圆孔三明治网布,"380g 54""",暗灰000-55-00,全代,5,Y,12.5,,62.5,
273,2026-01-14 00:00:00,AH2601043,AHJPO2600614,Z26167-1,YS5908小圆孔三明治网布,"380g 54""",灰色000-47-00,全代,26,Y,12.5,,325,
274,2026-01-14 00:00:00,AH2601043,AHJPO2601821,Z26167-3,YS5908小圆孔三明治网布,"380g 54""",灰色000-47-00,全代,12,Y,12.5,,150,
275,2026-01-14 00:00:00,AH2601043,AHJPO2600614,Z26191-1,YS571 网布,"530*54""",跋涉灰029-39-08,全代,201,Y,16,,3216,
276,2026-01-14 00:00:00,AH2601043,AHJPO2600614,Z26191-1open,YS571 网布,"530*54""",跋涉灰029-39-08,全代,10,Y,16,,160,
277,2026-01-14 00:00:00,AH2601043,AHJPO2601821,Z26191-3,YS571 网布,"530*54""",跋涉灰029-39-08,全代,176,Y,16,,2816,
278,2026-01-14 00:00:00,AH2601043,AHJPO2600614,Z26132-1,CL24121 三明治网布,"430g  54""",表情粉154-77-21,全代,478,Y,13.5,,6453,
279,2026-01-14 00:00:00,AH2601043,AHJPO2600614,Z26133-1,CL24121 三明治网布,"430g  54""",表情粉154-77-21,全代,395,Y,13.5,,5332.5,
280,2026-01-15 00:00:00,AH2601044,,Z26067-1,BK-Q01单层网布,"260g*54""",蓝色107-75-06,全代,9,Y,5.5,,49.5,
281,2026-01-15 00:00:00,AH2601044,AHJPO2601821,Z25001-18,D027纹单层网布,"250-260g 54""",黑色139-18-00,全代,637,Y,6.3,,4013.1,
282,2026-01-15 00:00:00,AH2601044,AHJPO2601821,Z25001-19,D027纹单层网布,"250-260g 54""",黑色139-18-00,全代,770,Y,6.3,,4851,
283,2026-01-15 00:00:00,AH2601044,AHJPO2601821,Z25006-13,D027纹单层网布,"250-260g 54""",黑色139-18-00,全代,253,Y,6.3,,1593.9,
284,2026-01-15 00:00:00,AH2601045,AHJPO2600614,Z26133-1,CL24100  三明治网布,"430g  54""",表情粉154-77-21,全代,394,Y,16.5,,6501,
285,2026-01-15 00:00:00,AH2601045,AHJPO2600614,Z26133-2,CL24100  三明治网布,"430g  54""",表情粉154-77-21,全代,76,Y,16.5,,1254,
286,2026-01-15 00:00:00,AH2601045,AHJPO2600614,Z26132-2,CL24100  三明治网布,"430g  54""",表情粉154-77-21,全代,102,Y,16.5,,1683,
287,2026-01-15 00:00:00,AH2601045,AHJPO2600614,Z26132-1,CL24100  三明治网布,"430g  54""",表情粉154-77-21,全代,303,Y,16.5,,4999.5,
288,2026-01-15 00:00:00,AH2601045,AHJPO2600614,Z26133-3,CL24100  三明治网布,"430g  54""",表情粉154-77-21,全代,16,Y,16.5,,264,
289,2026-01-15 00:00:00,AH2601045,AHJPO2600614,Z26132-2open,CL24100  三明治网布,"430g  54""",表情粉154-77-21,全代,10,Y,16.5,,165,
290,2026-01-15 00:00:00,AH2601045,AHJPO2600614,Z26132-3,CL24100  三明治网布,"430g  54""",表情粉154-77-21,全代,22,Y,16.5,,363,
291,2026-01-15 00:00:00,AH2601045,AHJPO2600614,Z26143-1,CL24100  三明治网布,"430g  54""",表情粉154-77-21,全代,106,Y,16.5,,1749,
292,2026-01-15 00:00:00,AH2601046,AHJPO2600614,Z26132-2,CL24100  三明治网布,"430g  54""",表情粉154-77-21,全代,1,Y,16.5,,16.5,
293,2026-01-15 00:00:00,AH2601046,AHJPO2600614,Z26133-2,CL24100  三明治网布,"430g  54""",表情粉154-77-21,全代,1,Y,16.5,,16.5,
294,2026-01-15 00:00:00,AH2601046,AHJPO2600614,Z26143-3,CL24100  三明治网布,"430g  54""",表情粉154-77-21,全代,16,Y,16.5,,264,
295,2026-01-15 00:00:00,AH2601046,AHJPO2600614,Z26133-5,CL24100  三明治网布,"430g  54""",表情粉154-77-21,全代,43,Y,16.5,,709.5,
296,2026-01-15 00:00:00,AH2601046,AHJPO2600614,Z26095-1,YSK2360纹双心三层网,"400g* 59""",海盐色036-90-02,全代,40,Y,16.5,,660,
297,2026-01-15 00:00:00,AH2601046,AHJPO2600614,Z26095-2,YSK2360纹双心三层网,"400g* 59""",海盐色036-90-02,全代,37,Y,16.5,,610.5,
298,2026-01-15 00:00:00,AH2601046,AHJPO2600614,Z26095-2open,YSK2360纹双心三层网,"400g* 59""",海盐色036-90-02,全代,2,Y,16.5,,33,
299,2026-01-15 00:00:00,AH2601046,AHJPO2601821,Z26095-4,YSK2360纹双心三层网,"400g* 59""",海盐色036-90-02,全代,112,Y,16.5,,1848,
300,2026-01-16 00:00:00,AH2601047,AHJPO2600614,Z26131-2open,CL24100  三明治网布,"430g  54""",竞争红014-48-36,全代,10,Y,16.5,,165,
301,2026-01-16 00:00:00,AH2601047,AHJPO2600614,Z26142-1,CL24100  三明治网布,"430g  54""",竞争红014-48-36,全代,67,Y,16.5,,1105.5,
302,2026-01-16 00:00:00,AH2601047,AHJPO2600614,Z26134-2,CL24100  三明治网布,"430g  54""",竞争红014-48-36,全代,76,Y,16.5,,1254,
303,2026-01-16 00:00:00,AH2601047,AHJPO2600614,Z26134-1,CL24100  三明治网布,"430g  54""",竞争红014-48-36,全代,322,Y,16.5,,5313,
304,2026-01-16 00:00:00,AH2601047,AHJPO2600614,Z26131-1,CL24100  三明治网布,"430g  54""",竞争红014-48-36,全代,289,Y,16.5,,4768.5,
305,2026-01-16 00:00:00,AH2601047,AHJPO2600614,Z26134-4,CL24100  三明治网布,"430g  54""",竞争红014-48-36,全代,114,Y,16.5,,1881,
306,2026-01-16 00:00:00,AH2601047,AHJPO2600614,Z26142-2,CL24100  三明治网布,"430g  54""",竞争红014-48-36,全代,9,Y,16.5,,148.5,
307,2026-01-16 00:00:00,AH2601047,AHJPO2600614,Z26131-2,CL24100  三明治网布,"430g  54""",竞争红014-48-36,全代,104,Y,16.5,,1716,
308,2026-01-16 00:00:00,AH2601048,AHJPO2601393,Z26134-2,CL24100  三明治网布,"430g  54""",竞争红014-48-36,全代,1,Y,16.5,,16.5,
309,2026-01-16 00:00:00,AH2601048,AHJPO2601393,Z26134-4,CL24100  三明治网布,"430g  54""",竞争红014-48-36,全代,1,Y,16.5,,16.5,
310,2026-01-16 00:00:00,AH2601048,AHJPO2601890,Z26142-4,CL24100  三明治网布,"430g  54""",竞争红014-48-36,全代,25,Y,16.5,,412.5,
311,2026-01-16 00:00:00,AH2601048,AHJPO2601890,Z26134-5,CL24100  三明治网布,"430g  54""",竞争红014-48-36,全代,179,Y,16.5,,2953.5,
312,2026-01-16 00:00:00,AH2601049,AHJPO2600614,Z26134-1,CL24121三明治网布,"430g  54""",竞争红014-48-36,全代,507,Y,13.5,,6844.5,
313,2026-01-16 00:00:00,AH2601049,AHJPO2600614,Z26142-1,CL24121三明治网布,"430g  54""",竞争红014-48-36,全代,112,Y,13.5,,1512,
314,2026-01-16 00:00:00,AH2601049,AHJPO2600614,Z26142-1open,CL24121三明治网布,"430g  54""",竞争红014-48-36,全代,6,Y,13.5,,81,
315,2026-01-16 00:00:00,AH2601049,AHJPO2600614,Z26131-2,CL24121三明治网布,"430g  54""",竞争红014-48-36,全代,164,Y,13.5,,2214,
316,2026-01-16 00:00:00,AH2601049,AHJPO2600614,Z26134-2,CL24121三明治网布,"430g  54""",竞争红014-48-36,全代,36,Y,13.5,,486,
317,2026-01-16 00:00:00,AH2601050,AHJPO2602163,Z26233-1,YS5908纹 三明治网布,"380g 54""",黑色139-18-00,全代,108,Y,12.5,,1350,
318,2026-01-16 00:00:00,AH2601050,AHJPO2602163,Z26233-1open,YS5908纹 三明治网布,"380g 54""",黑色139-18-00,全代,6,Y,12.5,,75,
319,2026-01-16 00:00:00,AH2601050,AHJPO2601821,Z26169-3,YS5908纹 三明治网布,"380g 54""",黑色139-18-00,全代,28,Y,12.5,,350,
320,2026-01-16 00:00:00,AH2601050,AHJPO2602163,Z26236-1,YS5908纹 三明治网布,"380g 54""",黑色139-18-00,全代,50,Y,12.5,,625,
321,2026-01-16 00:00:00,AH2601050,AHJPO2602163,Z26236-1open,YS5908纹 三明治网布,"380g 54""",黑色139-18-00,全代,3,Y,12.5,,37.5,
