泉州阳硕鞋材有限公司,,,,,,,,,,,300码以下记得开小缸费 牛津布1000Y以下开染费 帆布500Y以下开染费,,,
送 货 单,,,,,,,,,,,,,,
收货单位：安迪星（福建）体育用品有限责任公司,,,,,,NO.：,FLDH260202,,,,,,,
地址：福州市马尾区亭江镇万洋众创城A07栋,,,,,,送货日期：,2026-02-03 00:00:00,,,,,,,
采购单号,指令,型体,物料编号,刀模,材料名称,颜色,数量,单位,支数,,送货单号,送货日期,物流信息,
PA251127013,M250009,4130183,C0101180,MS26128M,"20071#提花三明治 450g/y 54""",19-4026TCX蓝,21.8,码,1,0,FLDH251205,2025-12-15 00:00:00,,
PA251127013,M250009,4130183,C0101180,MS26128M,"20071#提花三明治 450g/y 54""",19-4026TCX蓝,0.2,码,,预补数,FLDH251205,2025-12-15 00:00:00,,
,,,,,小缸费,19-4026TCX蓝,1,个,,,FLDH251205,2025-12-15 00:00:00,,
PA251127013,M250001,4130176,C0500938,MS26127M,"DJ132 POLYPAG 单层网布 240g 54""",139-18-00黑色,19.8,码,,0,FLDH251206,2025-12-15 00:00:00,,
PA251127013,M250001,4130176,C0500938,MS26127M,"DJ132 POLYPAG 单层网布 240g 54""",139-18-00黑色,0.2,码,,预补数,FLDH251206,2025-12-15 00:00:00,,
PA251127013,M250002,4130177,C0501181,MS26127M,"DJ132 POLYPAG 单层网布 240g 54""",139-18-00黑色,16.8,码,,0,FLDH251206,2025-12-15 00:00:00,,
PA251127013,M250002,4130177,C0501181,MS26127M,"DJ132 POLYPAG 单层网布 240g 54""",139-18-00黑色,0.2,码,,预补数,FLDH251206,2025-12-15 00:00:00,,
PA251127013,M250003,4130178,C0501181,MS26127M,"DJ132 POLYPAG 单层网布 240g 54""",139-18-00黑色,14.6,码,,0,FLDH251206,2025-12-15 00:00:00,,
PA251127013,M250003,4130178,C0501181,MS26127M,"DJ132 POLYPAG 单层网布 240g 54""",139-18-00黑色,0.2,码,,预补数,FLDH251206,2025-12-15 00:00:00,,
PA251127013,M250004,4130179,C0501181,MS26127M,"DJ132 POLYPAG 单层网布 240g 54""",139-18-00黑色,13.8,码,,0,FLDH251206,2025-12-15 00:00:00,,
