泉州阳硕鞋材有限公司,,,,,,,,,,,300码以下记得开小缸费 牛津布1000Y以下开染费 帆布500Y以下开染费,,,
送 货 单,,,,,,,,,,,,,,
收货单位：安迪星（福建）体育用品有限责任公司,,,,,,NO.：,FLDH260202,,,,,,,
地址：福州市马尾区亭江镇万洋众创城A07栋,,,,,,送货日期：,2026-02-03 00:00:00,,,,,,,
采购单号,指令,型体,物料编号,刀模,材料名称,颜色,数量,单位,支数,,送货单号,送货日期,物流信息,
PA251227027,PPS0018,382M32W-A00,C0503935,AS26006M,"K328单层网布240g 54""",黑色19-4006TPG,0.2,码,,0,FLDH260112,2026-01-12 00:00:00,,
PA251227027,PPS0020,382M33W-A00,C0503935,AS26005M,"K328单层网布240g 54""",黑色19-4006TPG,0.2,码,,0,FLDH260112,2026-01-12 00:00:00,,
PA251227027,PPS0022,382M35W-A00,C0503935,AS26004K,"K328单层网布240g 54""",黑色19-4006TPG,0.3,码,,0,FLDH260112,2026-01-12 00:00:00,,
PA251227027,PPS0024,382M36W-A00,C0503935,AS26004K-1,"K328单层网布240g 54""",黑色19-4006TPG,0.3,码,,0,FLDH260112,2026-01-12 00:00:00,,
PA251227027,PPS0026,382M37W-A00,C0503935,AS26005K,"K328单层网布240g 54""",黑色19-4006TPG,0.3,码,,0,FLDH260112,2026-01-12 00:00:00,,
PA251227027,PPS0028,382M38W-A00,C0503935,AS26005K-1,"K328单层网布240g 54""",黑色19-4006TPG,0.3,码,,0,FLDH260112,2026-01-12 00:00:00,,
PA251227027,PPS0030,382M3BW-A00,C0503935,AS26006K,"K328单层网布240g 54""",黑色19-4006TPG,1,码,,0,FLDH260112,2026-01-12 00:00:00,,
PA251227026,K250012,382M35W-A00,C0503935,AS26004K,"K328单层网布240g 54""",黑色19-4006TPG,35.3,码,,0,FLDH260113,2026-01-12 00:00:00,,
PA251227026,K250012,382M35W-A00,C0503935,AS26004K,"K328单层网布240g 54""",黑色19-4006TPG,0.3,码,,预补数,FLDH260113,2026-01-12 00:00:00,,
PA251227026,K250013,382M35W-A00,C0503935,AS26004K,"K328单层网布240g 54""",黑色19-4006TPG,70.9,码,,0,FLDH260113,2026-01-12 00:00:00,,
PA251227026,K250013,382M35W-A00,C0503935,AS26004K,"K328单层网布240g 54""",黑色19-4006TPG,0.3,码,,预补数,FLDH260113,2026-01-12 00:00:00,,
PA251227026,K250014,382M35W-A00,C0503935,AS26004K,"K328单层网布240g 54""",黑色19-4006TPG,80.7,码,,0,FLDH260113,2026-01-12 00:00:00,,
PA251227026,K250014,382M35W-A00,C0503935,AS26004K,"K328单层网布240g 54""",黑色19-4006TPG,0.3,码,,预补数,FLDH260113,2026-01-12 00:00:00,,
PA251227026,K250015,382M35W-A00,C0503935,AS26004K,"K328单层网布240g 54""",黑色19-4006TPG,22.4,码,,0,FLDH260113,2026-01-12 00:00:00,,
PA251227026,K250015,382M35W-A00,C0503935,AS26004K,"K328单层网布240g 54""",黑色19-4006TPG,0.3,码,,预补数,FLDH260113,2026-01-12 00:00:00,,
PA251227026,K250020,382M36W-A00,C0503935,AS26004K-1,"K328单层网布240g 54""",黑色19-4006TPG,100,码,,0,FLDH260113,2026-01-12 00:00:00,,
PA251227026,K250020,382M36W-A00,C0503935,AS26004K-1,"K328单层网布240g 54""",黑色19-4006TPG,0.4,码,,预补数,FLDH260113,2026-01-12 00:00:00,,
PA251227026,K250021,382M36W-A00,C0503935,AS26004K-1,"K328单层网布240g 54""",黑色19-4006TPG,8.7,码,,0,FLDH260114,2026-01-12 00:00:00,,
PA251227026,K250021,382M36W-A00,C0503935,AS26004K-1,"K328单层网布240g 54""",黑色19-4006TPG,0.2,码,,预补数,FLDH260114,2026-01-12 00:00:00,,
PA251227026,K250024,382M31W-A00,C0503935,AS26004M,"K328单层网布240g 54""",黑色19-4006TPG,33.9,码,,0,FLDH260114,2026-01-12 00:00:00,,
PA251227026,K250024,382M31W-A00,C0503935,AS26004M,"K328单层网布240g 54""",黑色19-4006TPG,0.4,码,,预补数,FLDH260114,2026-01-12 00:00:00,,
PA251227026,K250025,382M31W-A00,C0503935,AS26004M,"K328单层网布240g 54""",黑色19-4006TPG,20.1,码,,0,FLDH260114,2026-01-12 00:00:00,,
PA251227026,K250025,382M31W-A00,C0503935,AS26004M,"K328单层网布240g 54""",黑色19-4006TPG,0.3,码,,预补数,FLDH260114,2026-01-12 00:00:00,,
PA251227026,K250026,382M31W-A00,C0503935,AS26004M,"K328单层网布240g 54""",黑色19-4006TPG,29.8,码,,0,FLDH260114,2026-01-12 00:00:00,,
PA251227026,K250026,382M31W-A00,C0503935,AS26004M,"K328单层网布240g 54""",黑色19-4006TPG,0.3,码,,预补数,FLDH260114,2026-01-12 00:00:00,,
PA251227026,K250027,382M31W-A00,C0503935,AS26004M,"K328单层网布240g 54""",黑色19-4006TPG,8,码,,0,FLDH260114,2026-01-12 00:00:00,,
PA251227026,K250027,382M31W-A00,C0503935,AS26004M,"K328单层网布240g 54""",黑色19-4006TPG,0.3,码,,预补数,FLDH260114,2026-01-12 00:00:00,,
PA251227026,K250028,382M31W-A00,C0503935,AS26004M,"K328单层网布240g 54""",黑色19-4006TPG,18.8,码,,0,FLDH260115,2026-01-12 00:00:00,,
PA251227026,K250028,382M31W-A00,C0503935,AS26004M,"K328单层网布240g 54""",黑色19-4006TPG,0.3,码,,预补数,FLDH260115,2026-01-12 00:00:00,,
PA251227026,K250029,382M31W-A00,C0503935,AS26004M,"K328单层网布240g 54""",黑色19-4006TPG,21.1,码,,0,FLDH260115,2026-01-12 00:00:00,,
PA251227026,K250029,382M31W-A00,C0503935,AS26004M,"K328单层网布240g 54""",黑色19-4006TPG,0.3,码,,预补数,FLDH260115,2026-01-12 00:00:00,,
PA251227026,K250036,382M37W-A00,C0503935,AS26005K,"K328单层网布240g 54""",黑色19-4006TPG,44.6,码,,0,FLDH260115,2026-01-12 00:00:00,,
PA251227026,K250036,382M37W-A00,C0503935,AS26005K,"K328单层网布240g 54""",黑色19-4006TPG,0.5,码,,预补数,FLDH260115,2026-01-12 00:00:00,,
PA251227026,K250037,382M37W-A00,C0503935,AS26005K,"K328单层网布240g 54""",黑色19-4006TPG,38.1,码,,0,FLDH260115,2026-01-12 00:00:00,,
PA251227026,K250037,382M37W-A00,C0503935,AS26005K,"K328单层网布240g 54""",黑色19-4006TPG,0.4,码,,预补数,FLDH260115,2026-01-12 00:00:00,,
PA251227026,K250038,382M37W-A00,C0503935,AS26005K,"K328单层网布240g 54""",黑色19-4006TPG,22.9,码,,0,FLDH260115,2026-01-12 00:00:00,,
PA251227026,K250038,382M37W-A00,C0503935,AS26005K,"K328单层网布240g 54""",黑色19-4006TPG,0.3,码,,预补数,FLDH260115,2026-01-12 00:00:00,,
PA251227026,K250039,382M37W-A00,C0503935,AS26005K,"K328单层网布240g 54""",黑色19-4006TPG,14.3,码,,0,FLDH260116,2026-01-12 00:00:00,,
PA251227026,K250039,382M37W-A00,C0503935,AS26005K,"K328单层网布240g 54""",黑色19-4006TPG,0.3,码,,预补数,FLDH260116,2026-01-12 00:00:00,,
PA251227026,K250040,382M37W-A00,C0503935,AS26005K,"K328单层网布240g 54""",黑色19-4006TPG,5.3,码,,0,FLDH260116,2026-01-12 00:00:00,,
PA251227026,K250040,382M37W-A00,C0503935,AS26005K,"K328单层网布240g 54""",黑色19-4006TPG,0.3,码,,预补数,FLDH260116,2026-01-12 00:00:00,,
PA251227026,K250041,382M37W-A00,C0503935,AS26005K,"K328单层网布240g 54""",黑色19-4006TPG,34.3,码,,0,FLDH260116,2026-01-12 00:00:00,,
PA251227026,K250041,382M37W-A00,C0503935,AS26005K,"K328单层网布240g 54""",黑色19-4006TPG,0.4,码,,预补数,FLDH260116,2026-01-12 00:00:00,,
PA251227026,K250046,382M38W-A00,C0503935,AS26005K-1,"K328单层网布240g 54""",黑色19-4006TPG,16,码,,0,FLDH260116,2026-01-12 00:00:00,,
PA251227026,K250046,382M38W-A00,C0503935,AS26005K-1,"K328单层网布240g 54""",黑色19-4006TPG,0.3,码,,预补数,FLDH260116,2026-01-12 00:00:00,,
PA251227026,K250047,382M38W-A00,C0503935,AS26005K-1,"K328单层网布240g 54""",黑色19-4006TPG,27.6,码,,0,FLDH260116,2026-01-12 00:00:00,,
PA251227026,K250047,382M38W-A00,C0503935,AS26005K-1,"K328单层网布240g 54""",黑色19-4006TPG,0.3,码,,预补数,FLDH260116,2026-01-12 00:00:00,,
PA251227026,K250050,382M33W-A00,C0503935,AS26005M,"K328单层网布240g 54""",黑色19-4006TPG,33.8,码,,0,FLDH260117,2026-01-12 00:00:00,,
PA251227026,K250050,382M33W-A00,C0503935,AS26005M,"K328单层网布240g 54""",黑色19-4006TPG,0.4,码,,预补数,FLDH260117,2026-01-12 00:00:00,,
PA251227026,K250051,382M33W-A00,C0503935,AS26005M,"K328单层网布240g 54""",黑色19-4006TPG,26.5,码,,0,FLDH260117,2026-01-12 00:00:00,,
PA251227026,K250051,382M33W-A00,C0503935,AS26005M,"K328单层网布240g 54""",黑色19-4006TPG,0.3,码,,预补数,FLDH260117,2026-01-12 00:00:00,,
PA251227026,K250052,382M33W-A00,C0503935,AS26005M,"K328单层网布240g 54""",黑色19-4006TPG,25.3,码,,0,FLDH260117,2026-01-12 00:00:00,,
PA251227026,K250052,382M33W-A00,C0503935,AS26005M,"K328单层网布240g 54""",黑色19-4006TPG,0.4,码,,预补数,FLDH260117,2026-01-12 00:00:00,,
PA251227026,K250053,382M33W-A00,C0503935,AS26005M,"K328单层网布240g 54""",黑色19-4006TPG,16.3,码,,0,FLDH260117,2026-01-12 00:00:00,,
PA251227026,K250053,382M33W-A00,C0503935,AS26005M,"K328单层网布240g 54""",黑色19-4006TPG,0.3,码,,预补数,FLDH260117,2026-01-12 00:00:00,,
PA251227026,K250054,382M33W-A00,C0503935,AS26005M,"K328单层网布240g 54""",黑色19-4006TPG,4.2,码,,0,FLDH260117,2026-01-12 00:00:00,,
PA251227026,K250054,382M33W-A00,C0503935,AS26005M,"K328单层网布240g 54""",黑色19-4006TPG,0.3,码,,预补数,FLDH260117,2026-01-12 00:00:00,,
PA251227026,K250055,382M33W-A00,C0503935,AS26005M,"K328单层网布240g 54""",黑色19-4006TPG,31.2,码,,0,FLDH260118,2026-01-12 00:00:00,,
PA251227026,K250055,382M33W-A00,C0503935,AS26005M,"K328单层网布240g 54""",黑色19-4006TPG,0.3,码,,预补数,FLDH260118,2026-01-12 00:00:00,,
PA251227026,K250060,382M3BW-A00,C0503935,AS26006K,"K328单层网布240g 54""",黑色19-4006TPG,40.6,码,,0,FLDH260118,2026-01-12 00:00:00,,
PA251227026,K250060,382M3BW-A00,C0503935,AS26006K,"K328单层网布240g 54""",黑色19-4006TPG,0.4,码,,预补数,FLDH260118,2026-01-12 00:00:00,,
PA251227026,K250061,382M3BW-A00,C0503935,AS26006K,"K328单层网布240g 54""",黑色19-4006TPG,17.8,码,,0,FLDH260118,2026-01-12 00:00:00,,
PA251227026,K250061,382M3BW-A00,C0503935,AS26006K,"K328单层网布240g 54""",黑色19-4006TPG,0.3,码,,预补数,FLDH260118,2026-01-12 00:00:00,,
PA251227026,K250062,382M3BW-A00,C0503935,AS26006K,"K328单层网布240g 54""",黑色19-4006TPG,17.9,码,,0,FLDH260118,2026-01-12 00:00:00,,
PA251227026,K250062,382M3BW-A00,C0503935,AS26006K,"K328单层网布240g 54""",黑色19-4006TPG,0.4,码,,预补数,FLDH260118,2026-01-12 00:00:00,,
PA251227026,K250063,382M3BW-A00,C0503935,AS26006K,"K328单层网布240g 54""",黑色19-4006TPG,34.3,码,,0,FLDH260118,2026-01-12 00:00:00,,
PA251227026,K250063,382M3BW-A00,C0503935,AS26006K,"K328单层网布240g 54""",黑色19-4006TPG,0.3,码,,预补数,FLDH260118,2026-01-12 00:00:00,,
PA251227026,K250069,382M32W-A00,C0503935,AS26006M,"K328单层网布240g 54""",黑色19-4006TPG,8,码,,0,FLDH260119,2026-01-12 00:00:00,,
PA251227026,K250069,382M32W-A00,C0503935,AS26006M,"K328单层网布240g 54""",黑色19-4006TPG,0.3,码,,预补数,FLDH260119,2026-01-12 00:00:00,,
PA251227026,K250070,382M32W-A00,C0503935,AS26006M,"K328单层网布240g 54""",黑色19-4006TPG,13.7,码,,0,FLDH260119,2026-01-12 00:00:00,,
PA251227026,K250070,382M32W-A00,C0503935,AS26006M,"K328单层网布240g 54""",黑色19-4006TPG,0.3,码,,预补数,FLDH260119,2026-01-12 00:00:00,,
PA251227026,K250071,382M32W-A00,C0503935,AS26006M,"K328单层网布240g 54""",黑色19-4006TPG,14.7,码,,0,FLDH260119,2026-01-12 00:00:00,,
PA251227026,K250071,382M32W-A00,C0503935,AS26006M,"K328单层网布240g 54""",黑色19-4006TPG,0.3,码,,预补数,FLDH260119,2026-01-12 00:00:00,,
PA251227026,K250072,382M32W-A00,C0503935,AS26006M,"K328单层网布240g 54""",黑色19-4006TPG,31.2,码,,0,FLDH260119,2026-01-12 00:00:00,,
PA251227026,K250072,382M32W-A00,C0503935,AS26006M,"K328单层网布240g 54""",黑色19-4006TPG,0.3,码,,预补数,FLDH260119,2026-01-12 00:00:00,,
PA251227026,K250077,342B5FW-A00,C0503935,AS26008M,"K328单层网布240g 54""",黑色19-4006TPG,79.1,码,,0,FLDH260119,2026-01-12 00:00:00,,
PA251227026,K250077,342B5FW-A00,C0503935,AS26008M,"K328单层网布240g 54""",黑色19-4006TPG,0.3,码,,预补数,FLDH260119,2026-01-12 00:00:00,,
PA251227026,K250078,342B5FW-A00,C0503935,AS26008M,"K328单层网布240g 54""",黑色19-4006TPG,5.4,码,,0,FLDH260120,2026-01-12 00:00:00,,
PA251227026,K250078,342B5FW-A00,C0503935,AS26008M,"K328单层网布240g 54""",黑色19-4006TPG,0.3,码,,预补数,FLDH260120,2026-01-12 00:00:00,,
PA251227026,K250079,342B5FW-A00,C0503935,AS26008M,"K328单层网布240g 54""",黑色19-4006TPG,5.1,码,,0,FLDH260120,2026-01-12 00:00:00,,
PA251227026,K250079,342B5FW-A00,C0503935,AS26008M,"K328单层网布240g 54""",黑色19-4006TPG,0.3,码,,预补数,FLDH260120,2026-01-12 00:00:00,,
PA251227026,K250080,342B5FW-A00,C0503935,AS26008M,"K328单层网布240g 54""",黑色19-4006TPG,12.8,码,,0,FLDH260120,2026-01-12 00:00:00,,
PA251227026,K250080,342B5FW-A00,C0503935,AS26008M,"K328单层网布240g 54""",黑色19-4006TPG,0.3,码,10,,FLDH260120,2026-01-12 00:00:00,115*9+55=1090Y (多4Y),
PA251227027,PPS0023,382M35W-A02,C0504096,AS26004K,"K328单层网布240g 54""",金色14-1110TPG,0.3,码,,0,FLDH260121,2026-01-12 00:00:00,,
PA251227027,PPS0025,382M36W-A02,C0504096,AS26004K-1,"K328单层网布240g 54""",金色14-1110TPG,0.3,码,,0,FLDH260121,2026-01-12 00:00:00,,
PA251227027,PPS0027,382M37W-A02,C0504096,AS26005K,"K328单层网布240g 54""",金色14-1110TPG,0.3,码,,0,FLDH260121,2026-01-12 00:00:00,,
PA251227027,PPS0029,382M38W-A02,C0504096,AS26005K-1,"K328单层网布240g 54""",金色14-1110TPG,0.3,码,,0,FLDH260121,2026-01-12 00:00:00,,
PA251227027,PPS0032,382M3BW-A02,C0504096,AS26006K,"K328单层网布240g 54""",金色14-1110TPG,0.8,码,,0,FLDH260121,2026-01-12 00:00:00,,
PA251227026,K250016,382M35W-A02,C0504096,AS26004K,"K328单层网布240g 54""",金色14-1110TPG,17.6,码,,0,FLDH260121,2026-01-12 00:00:00,,
PA251227026,K250016,382M35W-A02,C0504096,AS26004K,"K328单层网布240g 54""",金色14-1110TPG,0.3,码,,预补数,FLDH260121,2026-01-12 00:00:00,,
PA251227026,K250017,382M35W-A02,C0504096,AS26004K,"K328单层网布240g 54""",金色14-1110TPG,39.5,码,,0,FLDH260121,2026-01-12 00:00:00,,
PA251227026,K250017,382M35W-A02,C0504096,AS26004K,"K328单层网布240g 54""",金色14-1110TPG,0.4,码,,预补数,FLDH260121,2026-01-12 00:00:00,,
PA251227026,K250018,382M35W-A02,C0504096,AS26004K,"K328单层网布240g 54""",金色14-1110TPG,122,码,,0,FLDH260121,2026-01-12 00:00:00,,
PA251227026,K250018,382M35W-A02,C0504096,AS26004K,"K328单层网布240g 54""",金色14-1110TPG,0.4,码,,预补数,FLDH260122,2026-01-12 00:00:00,,
PA251227026,K250019,382M35W-A02,C0504096,AS26004K,"K328单层网布240g 54""",金色14-1110TPG,22.4,码,,0,FLDH260122,2026-01-12 00:00:00,,
PA251227026,K250019,382M35W-A02,C0504096,AS26004K,"K328单层网布240g 54""",金色14-1110TPG,0.3,码,,预补数,FLDH260122,2026-01-12 00:00:00,,
PA251227026,K250022,382M36W-A02,C0504096,AS26004K-1,"K328单层网布240g 54""",金色14-1110TPG,40.3,码,,0,FLDH260122,2026-01-12 00:00:00,,
PA251227026,K250022,382M36W-A02,C0504096,AS26004K-1,"K328单层网布240g 54""",金色14-1110TPG,0.4,码,,预补数,FLDH260122,2026-01-12 00:00:00,,
PA251227026,K250023,382M36W-A02,C0504096,AS26004K-1,"K328单层网布240g 54""",金色14-1110TPG,4.6,码,,0,FLDH260122,2026-01-12 00:00:00,,
PA251227026,K250023,382M36W-A02,C0504096,AS26004K-1,"K328单层网布240g 54""",金色14-1110TPG,0.3,码,,预补数,FLDH260122,2026-01-12 00:00:00,,
PA251227026,K250042,382M37W-A02,C0504096,AS26005K,"K328单层网布240g 54""",金色14-1110TPG,17.9,码,,0,FLDH260122,2026-01-12 00:00:00,,
PA251227026,K250042,382M37W-A02,C0504096,AS26005K,"K328单层网布240g 54""",金色14-1110TPG,0.3,码,,预补数,FLDH260122,2026-01-12 00:00:00,,
PA251227026,K250043,382M37W-A02,C0504096,AS26005K,"K328单层网布240g 54""",金色14-1110TPG,20.6,码,,0,FLDH260122,2026-01-12 00:00:00,,
PA251227026,K250043,382M37W-A02,C0504096,AS26005K,"K328单层网布240g 54""",金色14-1110TPG,0.3,码,,预补数,FLDH260123,2026-01-12 00:00:00,,
PA251227026,K250044,382M37W-A02,C0504096,AS26005K,"K328单层网布240g 54""",金色14-1110TPG,5.3,码,,0,FLDH260123,2026-01-12 00:00:00,,
PA251227026,K250044,382M37W-A02,C0504096,AS26005K,"K328单层网布240g 54""",金色14-1110TPG,0.3,码,,预补数,FLDH260123,2026-01-12 00:00:00,,
PA251227026,K250045,382M37W-A02,C0504096,AS26005K,"K328单层网布240g 54""",金色14-1110TPG,34.3,码,,0,FLDH260123,2026-01-12 00:00:00,,
PA251227026,K250045,382M37W-A02,C0504096,AS26005K,"K328单层网布240g 54""",金色14-1110TPG,0.4,码,,预补数,FLDH260123,2026-01-12 00:00:00,,
PA251227026,K250048,382M38W-A02,C0504096,AS26005K-1,"K328单层网布240g 54""",金色14-1110TPG,14.8,码,,0,FLDH260123,2026-01-12 00:00:00,,
PA251227026,K250048,382M38W-A02,C0504096,AS26005K-1,"K328单层网布240g 54""",金色14-1110TPG,0.3,码,,预补数,FLDH260123,2026-01-12 00:00:00,,
PA251227026,K250049,382M38W-A02,C0504096,AS26005K-1,"K328单层网布240g 54""",金色14-1110TPG,14.1,码,,0,FLDH260123,2026-01-12 00:00:00,,
PA251227026,K250049,382M38W-A02,C0504096,AS26005K-1,"K328单层网布240g 54""",金色14-1110TPG,0.2,码,,预补数,FLDH260123,2026-01-12 00:00:00,,
PA251227026,K250065,382M3BW-A02,C0504096,AS26006K,"K328单层网布240g 54""",金色14-1110TPG,60.3,码,,0,FLDH260123,2026-01-12 00:00:00,,
PA251227026,K250065,382M3BW-A02,C0504096,AS26006K,"K328单层网布240g 54""",金色14-1110TPG,0.3,码,,预补数,FLDH260124,2026-01-12 00:00:00,,
PA251227026,K250066,382M3BW-A02,C0504096,AS26006K,"K328单层网布240g 54""",金色14-1110TPG,17.8,码,,0,FLDH260124,2026-01-12 00:00:00,,
PA251227026,K250066,382M3BW-A02,C0504096,AS26006K,"K328单层网布240g 54""",金色14-1110TPG,0.3,码,,预补数,FLDH260124,2026-01-12 00:00:00,,
PA251227026,K250067,382M3BW-A02,C0504096,AS26006K,"K328单层网布240g 54""",金色14-1110TPG,7,码,,0,FLDH260124,2026-01-12 00:00:00,,
PA251227026,K250067,382M3BW-A02,C0504096,AS26006K,"K328单层网布240g 54""",金色14-1110TPG,0.3,码,,预补数,FLDH260124,2026-01-12 00:00:00,,
PA251227026,K250068,382M3BW-A02,C0504096,AS26006K,"K328单层网布240g 54""",金色14-1110TPG,34.3,码,,0,FLDH260124,2026-01-12 00:00:00,,
PA251227026,K250068,382M3BW-A02,C0504096,AS26006K,"K328单层网布240g 54""",金色14-1110TPG,0.4,码,5,预补数,FLDH260124,2026-01-12 00:00:00,105*2+107+104+59=480,
PA251227027,PPS0017,382M31W-A02,C0504095,AS26004M,"K328单层网布240g 54""",米白11-4801TPG,0.2,码,,排67.5KG,FLDH260125,2026-01-12 00:00:00,,
PA251227027,PPS0019,382M32W-A02,C0504095,AS26006M,"K328单层网布240g 54""",米白11-4801TPG,0.2,码,,0,FLDH260125,2026-01-12 00:00:00,,
PA251227027,PPS0021,382M33W-A02,C0504095,AS26005M,"K328单层网布240g 54""",米白11-4801TPG,0.6,码,,0,FLDH260125,2026-01-12 00:00:00,,
PA251227026,K250031,382M31W-A02,C0504095,AS26004M,"K328单层网布240g 54""",米白11-4801TPG,2.9,码,,0,FLDH260125,2026-01-12 00:00:00,,
PA251227026,K250031,382M31W-A02,C0504095,AS26004M,"K328单层网布240g 54""",米白11-4801TPG,0.2,码,,预补数,FLDH260125,2026-01-12 00:00:00,,
PA251227026,K250032,382M31W-A02,C0504095,AS26004M,"K328单层网布240g 54""",米白11-4801TPG,27.2,码,,0,FLDH260125,2026-01-12 00:00:00,,
PA251227026,K250032,382M31W-A02,C0504095,AS26004M,"K328单层网布240g 54""",米白11-4801TPG,0.3,码,,预补数,FLDH260125,2026-01-12 00:00:00,,
PA251227026,K250033,382M31W-A02,C0504095,AS26004M,"K328单层网布240g 54""",米白11-4801TPG,8,码,,0,FLDH260125,2026-01-12 00:00:00,,
PA251227026,K250033,382M31W-A02,C0504095,AS26004M,"K328单层网布240g 54""",米白11-4801TPG,0.3,码,,预补数,FLDH260125,2026-01-12 00:00:00,,
PA251227026,K250034,382M31W-A02,C0504095,AS26004M,"K328单层网布240g 54""",米白11-4801TPG,18.8,码,,0,FLDH260125,2026-01-12 00:00:00,,
PA251227026,K250034,382M31W-A02,C0504095,AS26004M,"K328单层网布240g 54""",米白11-4801TPG,0.3,码,,预补数,FLDH260126,2026-01-12 00:00:00,,
PA251227026,K250035,382M31W-A02,C0504095,AS26004M,"K328单层网布240g 54""",米白11-4801TPG,13.4,码,,0,FLDH260126,2026-01-12 00:00:00,,
PA251227026,K250035,382M31W-A02,C0504095,AS26004M,"K328单层网布240g 54""",米白11-4801TPG,0.3,码,,预补数,FLDH260126,2026-01-12 00:00:00,,
PA251227026,K250056,382M33W-A02,C0504095,AS26005M,"K328单层网布240g 54""",米白11-4801TPG,15.7,码,,0,FLDH260126,2026-01-12 00:00:00,,
PA251227026,K250056,382M33W-A02,C0504095,AS26005M,"K328单层网布240g 54""",米白11-4801TPG,0.3,码,,预补数,FLDH260126,2026-01-12 00:00:00,,
PA251227026,K250057,382M33W-A02,C0504095,AS26005M,"K328单层网布240g 54""",米白11-4801TPG,10.5,码,,0,FLDH260126,2026-01-12 00:00:00,,
PA251227026,K250057,382M33W-A02,C0504095,AS26005M,"K328单层网布240g 54""",米白11-4801TPG,0.3,码,,预补数,FLDH260126,2026-01-12 00:00:00,,
PA251227026,K250058,382M33W-A02,C0504095,AS26005M,"K328单层网布240g 54""",米白11-4801TPG,4.2,码,,0,FLDH260126,2026-01-12 00:00:00,,
PA251227026,K250058,382M33W-A02,C0504095,AS26005M,"K328单层网布240g 54""",米白11-4801TPG,0.3,码,,预补数,FLDH260126,2026-01-12 00:00:00,,
PA251227026,K250059,382M33W-A02,C0504095,AS26005M,"K328单层网布240g 54""",米白11-4801TPG,31.2,码,,0,FLDH260126,2026-01-12 00:00:00,,
PA251227026,K250059,382M33W-A02,C0504095,AS26005M,"K328单层网布240g 54""",米白11-4801TPG,0.3,码,,预补数,FLDH260127,2026-01-12 00:00:00,,
PA251227026,K250073,382M32W-A02,C0504095,AS26006M,"K328单层网布240g 54""",米白11-4801TPG,8,码,,0,FLDH260127,2026-01-12 00:00:00,,
PA251227026,K250073,382M32W-A02,C0504095,AS26006M,"K328单层网布240g 54""",米白11-4801TPG,0.3,码,,预补数,FLDH260127,2026-01-12 00:00:00,,
PA251227026,K250074,382M32W-A02,C0504095,AS26006M,"K328单层网布240g 54""",米白11-4801TPG,13.7,码,,0,FLDH260127,2026-01-12 00:00:00,,
PA251227026,K250074,382M32W-A02,C0504095,AS26006M,"K328单层网布240g 54""",米白11-4801TPG,0.3,码,,预补数,FLDH260127,2026-01-12 00:00:00,,
PA251227026,K250075,382M32W-A02,C0504095,AS26006M,"K328单层网布240g 54""",米白11-4801TPG,6.4,码,,0,FLDH260127,2026-01-12 00:00:00,,
PA251227026,K250075,382M32W-A02,C0504095,AS26006M,"K328单层网布240g 54""",米白11-4801TPG,0.3,码,,预补数,FLDH260127,2026-01-12 00:00:00,,
PA251227026,K250076,382M32W-A02,C0504095,AS26006M,"K328单层网布240g 54""",米白11-4801TPG,31.2,码,,0,FLDH260127,2026-01-12 00:00:00,,
PA251227026,K250076,382M32W-A02,C0504095,AS26006M,"K328单层网布240g 54""",米白11-4801TPG,0.3,码,,预补数,FLDH260127,2026-01-12 00:00:00,,
PA260106024,K260001,382M33W-A02,C0504095,AS26005M,"K328单层网布240g 54""",米白11-4801TPG,2.5,码,,0,FLDH260127,2026-01-12 00:00:00,,
PA260106024,K260001,382M33W-A02,C0504095,AS26005M,"K328单层网布240g 54""",米白11-4801TPG,0.1,码,,预补数,FLDH260128,2026-01-12 00:00:00,,
PA260106024,K260002,382M31W-A02,C0504095,AS26004M,"K328单层网布240g 54""",米白11-4801TPG,4.2,码,,0,FLDH260128,2026-01-12 00:00:00,,
PA260106024,K260002,382M31W-A02,C0504095,AS26004M,"K328单层网布240g 54""",米白11-4801TPG,0.2,码,2,预补数,FLDH260128,2026-01-12 00:00:00,106+97=203,
,,,,,小缸费,米白11-4801TPG,1,个,,,FLDH260128,2026-01-12 00:00:00,,
PA251217013,K250001,332D65W-A1K,C0300152,KS-26102K,"600D尼龙牛津布上防脱纱 58""",黄色16-1144TPG,69.2,码,1,0,FLDH260129,2026-01-12 00:00:00,,
PA251217013,K250001,332D65W-A1K,C0300152,KS-26102K,"600D尼龙牛津布上防脱纱 58""",黄色16-1144TPG,0.3,码,,预补数,FLDH260129,2026-01-12 00:00:00,,
PA251217013,K250002,36294EW-A06,C0300152,KS-26102W,"600D尼龙牛津布上防脱纱 58""",黄色16-1144TPG,52.3,码,,0,FLDH260129,2026-01-12 00:00:00,,
PA251217013,K250002,36294EW-A06,C0300152,KS-26102W,"600D尼龙牛津布上防脱纱 58""",黄色16-1144TPG,0.2,码,,预补数,FLDH260129,2026-01-12 00:00:00,,
PA251227027,PPS0002,332D65W-A1K,C0300152,AS26011K-B,"600D尼龙牛津布上防脱纱 58""",黄色16-1144TPG,0.1,码,,0,FLDH260129,2026-01-12 00:00:00,,
PA251227027,PPS0005,36294EW-A06,C0300152,AS26011W-B,"600D尼龙牛津布上防脱纱 58""",黄色16-1144TPG,0.9,码,,0,FLDH260129,2026-01-12 00:00:00,,
,,,,,小缸费,黄色16-1144TPG,1,个,,,FLDH260129,2026-01-12 00:00:00,,
