泉州阳硕鞋材有限公司,,,,,,,,,,,,收货人填 13706060768dick郑，,
送 货 单,,,,,,,,,,,,,
收货单位：福建安恒致远鞋业有限公司（越南）,,,,,,,NO.：,APEX2603006,,,,,
地址：福建省莆田市涵江区国欢镇林炳村涵华东路,,,,,,,送货日期：,2026-03-08 00:00:00,,,,,
订单号,指令号,材料名称,规格,颜色,数量,单位,支数,单价,金额,批号,,,
,,小缸费,,赤熱綠13-0442TPG,1,个,,,,,APEX2601008,2026-01-09 00:00:00,
AHJPO2580379,ZVN25002-078,8安 帆布,"54""",摩根石12-2901TPG,41,码,1,,,,APEX2601008,2026-01-09 00:00:00,
AHJPO2580379,ZVN25002-078open,8安 帆布,"54""",摩根石12-2901TPG,3,码,,,,,APEX2601008,2026-01-09 00:00:00,
,,小缸费,,摩根石12-2901TPG,1,个,,,,,APEX2601008,2026-01-09 00:00:00,
AHJPO2580188,ZVN25001-011-2,8安 帆布,"54""",橙子橘15-1247TPG,50,Y,1,,,,APEX2601008,2026-01-09 00:00:00,
,,小缸费,,橙子橘15-1247TPG,1,个,,,,,APEX2601008,2026-01-09 00:00:00,
AHJPO2580379,ZVN25001-075open,YS-0731 三明治网布,"54""",潔白(11-4800TPG),1,码,1,,,,APEX2601009,2026-01-10 00:00:00,
AHJPO2580379,ZVN25001-075,YS-0731 三明治网布,"54""",潔白(11-4800TPG),14,码,,,,,APEX2601009,2026-01-10 00:00:00,
AHJPO2580379,ZVN25002-076,YS-0731 三明治网布,"54""",明亮白(11-0601TPG),11,码,1,,,,APEX2601009,2026-01-10 00:00:00,
AHJPO2580379,ZVN25002-077,YS-0731 三明治网布,"54""",明亮白(11-0601TPG),32,码,,,,,APEX2601009,2026-01-10 00:00:00,
AHJPO2580379,ZVN25002-078,YS-0731 三明治网布,"54""",明亮白(11-0601TPG),11,码,,,,,APEX2601009,2026-01-10 00:00:00,
AHJPO2581109,ZVN25001-002-8,YS-0731 三明治网布,"54""",雨竹灰15-4101TPX,62,Y,2,,,,APEX2601009,2026-01-10 00:00:00,60+2=62
,,小缸费,,雨竹灰15-4101TPX,1,个,,,,,APEX2601009,2026-01-10 00:00:00,
AHJPO2580379,ZVN25007-073,毛巾布,"54""",镀银灰14-0000TPG,72,码,1,,,,APEX2601010,2026-01-12 00:00:00,
AHJPO2580379,ZVN25007-073open,毛巾布,"54""",镀银灰14-0000TPG,4,码,,,,,APEX2601010,2026-01-12 00:00:00,
,,小缸费,,镀银灰14-0000TPG,1,个,,,,,APEX2601010,2026-01-12 00:00:00,
AHJPO2580188,ZVN25002-057-2,YS-0731 三 明治网布,"54""",煙藍灰14-4203TPG,77,Y,1,,,,APEX2601010,2026-01-12 00:00:00,
AHJPO2580188,ZVN25002-057- 2open,YS-0731 三 明治网布,"54""",煙藍灰14-4203TPG,4,Y,,,,,APEX2601010,2026-01-12 00:00:00,实发83Y
,,小缸费,,煙藍灰14-4203TPG,1,个,,,,,APEX2601010,2026-01-12 00:00:00,
AHJPO2580379,ZVN25002-076,8安 帆布,"54""",水绿色13-6006TPG,41,码,1,,,,APEX2601011,2026-01-14 00:00:00,
,,小缸费,,水绿色13-6006TPG,1,个,,,,,APEX2601011,2026-01-14 00:00:00,
AHJPO2581109,ZVN25010-085,毛巾布,"54""",暖沙色15-1214TPG,78,Y,1,,,,APEX2601011,2026-01-14 00:00:00,
AHJPO2581109,ZVN25010-085open,毛巾布,"54""",暖沙色15-1214TPG,4,Y,,,,,APEX2601011,2026-01-14 00:00:00,
,,小缸费,,暖沙色15-1214TPG,1,个,,,,,APEX2601011,2026-01-14 00:00:00,
AHJPO2580188,ZVN25001-006-2,8安 帆布,"54""",浅灰色16-4703TPG,95,Y,2,,,,APEX2601011,2026-01-14 00:00:00,
AHJPO2580188,ZVN25001-006-3,8安 帆布,"54""",浅灰色16-4703TPG,45,Y,,,,,APEX2601011,2026-01-14 00:00:00,
,120+20=140,小缸费,,浅灰色16-4703TPG,1,个,,,,,APEX2601011,2026-01-14 00:00:00,
AHJPO2601313,ZVN25015-083,佳积布,"180 54""",黑夜藍19-4023TPG,16,Y,1,,,,APEX2601012,2026-01-14 00:00:00,
AHJPO2601313,ZVN25015-083open,佳积布,"180 54""",黑夜藍19-4023TPG,1,Y,,,,,APEX2601012,2026-01-14 00:00:00,
,,小缸费,,黑夜藍19-4023TPG,1,个,,,,,APEX2601012,2026-01-14 00:00:00,
AHJPO2580379,ZVN25001-074open,YS-0731 三 明治网布,"54""",水滴灰14-4104TPG,1,码,1,,,,APEX2601012,2026-01-14 00:00:00,
AHJPO2580379,ZVN25001-074,YS-0731 三 明治网布,"54""",水滴灰14-4104TPG,14,码,,,,,APEX2601012,2026-01-14 00:00:00,
,,小缸费,,水滴灰14-4104TPG,1,个,,,,,APEX2601012,2026-01-14 00:00:00,
AHJPO2581109,ZVN25012-059-1,双面莱卡布,1.5m,白色,21,Y,1,,,,APEX2601013,2026-01-15 00:00:00,
