泉州阳硕鞋材有限公司,,,,,,,,,,,300码以下记得开小缸费 牛津布1000Y以下开染费 帆布500Y以下开染费，丝光布白度每次问下要哪个白,,,,,,,,,,,,丝光
送  货  单,,,,,,,,,,,,,,,,,,,,,,,
收货单位：莆田市星联鞋业有限公司,,,,,,,NO.：,XC2603010,,,,,,,,,,,,,,,
地址：福建省莆田市荔城区西天尾镇南少林路777号,,,,,,,送货日期：,2026-03-07 00:00:00,,,,,,,,,,,,,,,
订单号,指令号,料号,品     名,颜色,数量,单位,支数,单价,金额,备注,,,,,,,,,,,,,
,,,小缸费,碳灰色,1,个,,,,,XC2401123,2024-11-19 00:00:00,,,,,,,,,,,
4510162397,2X002399,WB4617,"230G POLYPAG PII网布54""",标准白,10,码,,,,,XC2401129,2024-11-25 00:00:00,100+93=193,交154Y，10月入144Y，欠10Y,,,,,,,,,
4510162397,2X002385,WB7447,"180G天鹅绒54""",白色,39,码,,,,,XC2401204,2024-12-10 00:00:00,120*3+128=488,,,,,,,,,,
4510170602,2X002567M,WJ000026,"180G佳积布58""",黑色,23,码,1,,,,XC2401215,2024-12-20 00:00:00,,,,,,,,,,,
4510171200,2X002597M,WB16877,"8安帆布54""",棕色,5,码,1包,,,,XC2401219,2024-12-26 00:00:00,,,,,,,,,,,
,,WD000237,"180G K209网布54""",冠军蓝,5,码,1包,,,,XC2401221,2024-12-30 00:00:00,,,,,,,,,,,
,,WB4822,"130G 丝光布54""",白色,35,码,1,,,,XC2501007,2025-01-07 00:00:00,"实际发了74Y，2025/1月已入库13Y，3月已入库26,欠35",,,,,,,,,,
4510167616,1X001358M,WD003203,"180G K209网布54""",沙色13-0907TPG,11,码,1,,,,XC2501008,2025-01-07 00:00:00,,,,,,,,,,,
,,WB4822,"130G 丝光布54""",白色,141,码,1,,,,XC2501009,2025-01-09 00:00:00,,,,,,,,,,,
,,WD003293,"220G 亚光四面弹54""",蕾丝白色,2,码,1包,,,,XC2501011,2025-01-11 00:00:00,,,,,,,,,,,
,,WD002886,"220G 亚光四面弹54""",黑色,5,码,1包,,,,XC2501011,2025-01-11 00:00:00,,,,,,,,,,,
,,WB4822,"130G 丝光布54""",白色,60,码,1,,,,XC250201,2025-02-09 00:00:00,,,,,,,,,,,
,,WD000237,"180G K209网布54""",冠军蓝,5,码,,,,,XC250201,2025-02-09 00:00:00,,,,,,,,,,,
4510177958,2X002536BD,WD002738,"350G K418格子布55""",黑色,5,码,,,,,XC250202,2025-02-11 00:00:00,,,,,,,,,,,
,1X001373,H2003281,300G提花天鹅绒54”,天青蓝,3,码,1包,,,,XC250212,2025-02-22 00:00:00,,,,,,,,,,,
,1X001374,H2003283,300G提花天鹅绒54”,风仙紫,8,码,1包,,,,XC250212,2025-02-22 00:00:00,,,,,,,,,,,
,,WS001365,"300G YS2975三层网54""",佳宝蓝色,60,码,1,,,,XC250312,2025-03-11 00:00:00,,,,,,,,,,,
,,WJ000300,"150G佳积布54""",黑色,60,码,1,,,,XC2504003,2025-04-03 00:00:00,,,,,,,,,,,
4510186910,,WB4822,"130G 丝光布54""",白色,26,码,,,,,XC2504004,2025-04-03 00:00:00,,,,,,,,,,,
,,WS001301,"360-380G 空气层54""",白色,47,码,1,,,,XC2504004,2025-04-03 00:00:00,,,,,,,,,,,
,,WB12252,"棕色10安帆布54""",棕色,43,Y,,,,,XC2504005,2025-04-05 00:00:00,,,,,,,,,,,
,,WJ000444,"140G佳积布58""",白色,162,Y,1,,,大白,XC2504006,2025-04-06 00:00:00,,,,,,,,,,,
,,WD003530,"180G K209网布54""",城堡灰18-0201TPG,5,码,1包,,,,XC2504007,2025-04-07 00:00:00,,,,,,,,,,,
,,WD003530,"180G K209网布54""",城堡灰18-0201TPG,2,码,1包,,,,XC2504009,2025-04-09 00:00:00,,,,,,,,,,,
,,WD003591,"180GK209网布54""",黑牡蛎色,5,码,1包,,,,XC2504024,2025-04-25 00:00:00,,,,,,,,,,,
,,WD000902,"180GK209网布55""",灰褐色14-4501TPG,47,码,1,,,,XC2504024,2025-04-25 00:00:00,,,,,,,,,,,
,,WB14777,"180GK209网布55""",黑色,19,码,1,,,,XC2504024,2025-04-25 00:00:00,,,,,,,,,,,
,,WD000904,"180GK209网布55""",白色,15,码,1,,,,XC2504024,2025-04-25 00:00:00,,,,,,,,,,,
,,WD003032,"230G K209网布54""",南极灰色,2,码,1包,,,,XC2505001,2025-05-04 00:00:00,,,,,,,,,,,
,,WB4822,"130G  丝光布54""",白色,54,码,1,,,,XC2505004,2025-05-07 00:00:00,,,,,,,,,,,
,,WD003033,"230G K209网布54""",米白色,2,码,1包,,,,XC2505005,2025-05-09 00:00:00,,,,,,,,,,,
,,WB16877,"8安帆布54""",棕色,20,码,1,,,,XC2505007,2025-05-15 00:00:00,,,,,,,,,,,
,,WB11269,"230G K208网布54""",黑色,3,码,1包,,,,XC2505011,2025-05-17 00:00:00,,,,,,,,,,,
,,WB12252,"10安帆布54""",棕色,150,码,1,,,,XC2505017,2025-05-26 00:00:00,,,,,,,,,,,
,,,小缸费,棕色,1,个,,,,,XC2505017,2025-05-26 00:00:00,,,,,,,,,,,
,,WD003841,"250G 莱卡布54""",深蓝色,13,码,1,,,,XC2507002,2025-07-04 00:00:00,,,,,,,,,,,
,,WD003841,"250G 莱卡布54""",深蓝色,20,码,1,,,,XC2507011,2025-07-10 00:00:00,,,,,,,,,,,
,,,小缸费,深蓝色,1,个,,,,,XC2507011,2025-07-10 00:00:00,,,,,,,,,,,
4510207903,2X003040,WB13220,"180G 白色K209网布54""",白色,82,码,1,,,,XC2507027,2025-07-22 00:00:00,,,,,,,,,,,
