泉州阳硕鞋材有限公司,,,,,,,,,,300码以下记得开小缸费,,,,,,,,,,,
送  货  单,,,,,,,,,,,,,,,,,,,,,
收货单位：福建省莆田市联大鞋业有限公司,,,,,NO.：,LD251103,,,,,,,,,,,,,,,
地址：福建省莆田市城厢区华林工业区,,,,,送货日期：,2025-11-20 00:00:00,,,,,,,,,,,,,,,
订单号,指令号,品     名,颜色,数量,单位,支数,单价,金额,备注,,,,,,,,,,,,
25285,LD2435,LD2435飞织鞋面10,礼服蓝,138,双,,,,,LD251007,2025-10-19 00:00:00,,,,,,,,,,
25285,LD2435,LD2435飞织鞋面8.5,礼服蓝,70,双,,,,,LD251007,2025-10-19 00:00:00,,,,,,,,,,
25292,LD2435,LD2435飞织鞋面5.5,黑色,55,双,,,,6件,LD251008,2025-10-19 00:00:00,,,,,,,,,,
25292,LD2435,LD2435飞织鞋面6.5,黑色,70,双,,,,,LD251008,2025-10-19 00:00:00,,,,,,,,,,
25292,LD2435,LD2435飞织鞋面8.5,黑色,63,双,,,,,LD251008,2025-10-19 00:00:00,,,,,,,,,,
25292,LD2435,LD2435飞织鞋面9,黑色,13,双,,,,,LD251008,2025-10-19 00:00:00,,,,,,,,,,
25292,LD2435,LD2435飞织鞋面9.5,黑色,49,双,,,,,LD251008,2025-10-19 00:00:00,,,,,,,,,,
25292,LD2435,LD2435飞织鞋面10,黑色,14,双,,,,,LD251008,2025-10-19 00:00:00,,,,,,,,,,
25296,LD2435,LD2435飞织鞋面5.5,黑色,60,双,,,,,LD251009,2025-10-19 00:00:00,,,,,,,,,,
25296,LD2435,LD2435飞织鞋面8,黑色,120,双,,,,,LD251009,2025-10-19 00:00:00,,,,,,,,,,
25296,LD2435,LD2435飞织鞋面8.5,黑色,124,双,,,,,LD251009,2025-10-19 00:00:00,,,,,,,,,,
25296,LD2435,LD2435飞织鞋面9,黑色,62,双,,,,,LD251009,2025-10-19 00:00:00,,,,,,,,,,
25296,LD2435,LD2435飞织鞋面9.5,黑色,60,双,,,,,LD251009,2025-10-19 00:00:00,,,,,,,,,,
25296,LD2435,LD2435飞织鞋面10,黑色,60,双,,,,,LD251009,2025-10-19 00:00:00,,,,,,,,,,
25295,LD2435,LD2435飞织鞋面8.5,白色,48,双,,,,,LD251009,2025-10-19 00:00:00,,,,,,,,,,
25295,LD2435,LD2435飞织鞋面9.5,白色,57,双,,,,,LD251009,2025-10-19 00:00:00,,,,,,,,,,
25295,LD2435,LD2435飞织鞋面10,白色,2,双,,,,,LD251009,2025-10-19 00:00:00,,,,,,,,,,
25297,LD2435,LD2435飞织鞋面9.5,白色,23,双,,,,,LD251009,2025-10-19 00:00:00,,,,,,,,,,
25297,LD2435,LD2435飞织鞋面10,白色,65,双,,,,,LD251009,2025-10-19 00:00:00,,,,,,,,,,
25293,LD2435,LD2435飞织鞋面5.5,黑色,64,双,,,,,LD251010,2025-10-19 00:00:00,,,,,,,,,,
25293,LD2435,LD2435飞织鞋面8.5,黑色,74,双,,,,,LD251010,2025-10-19 00:00:00,,,,,,,,,,
25293,LD2435,LD2435飞织鞋面9,黑色,29,双,,,,,LD251010,2025-10-19 00:00:00,,,,,,,,,,
25293,LD2435,LD2435飞织鞋面9.5,黑色,51,双,,,,,LD251010,2025-10-19 00:00:00,,,,,,,,,,
25294,LD2435,LD2435飞织鞋面5.5,紫罗兰,93,双,,,,,LD251010,2025-10-19 00:00:00,,,,,,,,,,
25294,LD2435,LD2435飞织鞋面6.5,紫罗兰,81,双,,,,,LD251010,2025-10-19 00:00:00,,,,,,,,,,
25294,LD2435,LD2435飞织鞋面7,紫罗兰,198,双,,,,,LD251010,2025-10-19 00:00:00,,,,,,,,,,
25286,LD2435,LD2435飞织鞋舌6.5,黑色,3,双,,,,,LD251010,2025-10-22 00:00:00,,,,,,,,,,
25286,LD2435,LD2435飞织鞋舌7,黑色,18,双,,,,,LD251010,2025-10-22 00:00:00,,,,,,,,,,
25286,LD2435,LD2435飞织鞋舌7.5,黑色,99,双,,,,,LD251010,2025-10-22 00:00:00,,,,,,,,,,
25286,LD2435,LD2435飞织鞋舌8,黑色,80,双,,,,,LD251010,2025-10-22 00:00:00,,,,,,,,,,
25286,LD2435,LD2435飞织鞋舌8.5,黑色,96,双,,,,,LD251010,2025-10-22 00:00:00,,,,,,,,,,
25286,LD2435,LD2435飞织鞋舌9,黑色,235,双,,,,,LD251010,2025-10-22 00:00:00,,,,,,,,,,
25286,LD2435,LD2435飞织鞋舌9.5,黑色,40,双,,,,,LD251010,2025-10-22 00:00:00,,,,,,,,,,
25286,LD2435,LD2435飞织鞋舌10,黑色,235,双,,,,,LD251011,2025-10-22 00:00:00,,,,,,,,,,
25286,LD2435,LD2435飞织鞋舌10.5,黑色,84,双,,,,,LD251011,2025-10-22 00:00:00,,,,,,,,,,
25286,LD2435,LD2435飞织鞋舌11,黑色,110,双,,,,,LD251011,2025-10-22 00:00:00,,,,,,,,,,
25286,LD2435,LD2435飞织鞋舌11.5,黑色,100,双,,,,,LD251011,2025-10-22 00:00:00,,,,,,,,,,
25286,LD2435,LD2435飞织鞋舌12,黑色,12,双,,,,,LD251011,2025-10-22 00:00:00,,,,,,,,,,
25286,LD2435,LD2435飞织鞋舌12.5,黑色,30,双,,,,,LD251011,2025-10-22 00:00:00,,,,,,,,,,
25286,LD2435,LD2435飞织鞋舌13,黑色,18,双,,,,,LD251011,2025-10-22 00:00:00,,,,,,,,,,
25290,LD2435,LD2435飞织鞋舌7,黑色,4,双,,,,,LD251012,2025-10-22 00:00:00,,,,,,,,,,
25290,LD2435,LD2435飞织鞋舌7.5,黑色,44,双,,,,,LD251012,2025-10-22 00:00:00,,,,,,,,,,
25290,LD2435,LD2435飞织鞋舌8,黑色,42,双,,,,,LD251012,2025-10-22 00:00:00,,,,,,,,,,
25290,LD2435,LD2435飞织鞋舌8.5,黑色,54,双,,,,,LD251012,2025-10-22 00:00:00,,,,,,,,,,
25290,LD2435,LD2435飞织鞋舌9,黑色,138,双,,,,,LD251012,2025-10-22 00:00:00,,,,,,,,,,
25290,LD2435,LD2435飞织鞋舌9.5,黑色,23,双,,,,,LD251012,2025-10-22 00:00:00,,,,,,,,,,
25290,LD2435,LD2435飞织鞋舌10,黑色,145,双,,,,,LD251012,2025-10-22 00:00:00,,,,,,,,,,
25290,LD2435,LD2435飞织鞋舌10.5,黑色,56,双,,,,,LD251013,2025-10-22 00:00:00,,,,,,,,,,
25290,LD2435,LD2435飞织鞋舌11,黑色,70,双,,,,,LD251013,2025-10-22 00:00:00,,,,,,,,,,
25290,LD2435,LD2435飞织鞋舌11.5,黑色,58,双,,,,,LD251013,2025-10-22 00:00:00,,,,,,,,,,
25290,LD2435,LD2435飞织鞋舌12,黑色,10,双,,,,,LD251013,2025-10-22 00:00:00,,,,,,,,,,
25290,LD2435,LD2435飞织鞋舌12.5,黑色,24,双,,,,,LD251013,2025-10-22 00:00:00,,,,,,,,,,
25290,LD2435,LD2435飞织鞋舌13,黑色,7,双,,,,,LD251013,2025-10-22 00:00:00,,,,,,,,,,
25285,LD2435,LD2435飞织鞋舌6.5,礼服蓝,4,双,,,,,LD251014,2025-10-22 00:00:00,,,,,,,,,,
25285,LD2435,LD2435飞织鞋舌7,礼服蓝,18,双,,,,,LD251014,2025-10-22 00:00:00,,,,,,,,,,
25285,LD2435,LD2435飞织鞋舌7.5,礼服蓝,82,双,,,,,LD251014,2025-10-22 00:00:00,,,,,,,,,,
25285,LD2435,LD2435飞织鞋舌8,礼服蓝,70,双,,,,,LD251014,2025-10-22 00:00:00,,,,,,,,,,
25285,LD2435,LD2435飞织鞋舌8.5,礼服蓝,104,双,,,,,LD251014,2025-10-22 00:00:00,,,,,,,,,,
25285,LD2435,LD2435飞织鞋舌9,礼服蓝,228,双,,,,,LD251014,2025-10-22 00:00:00,,,,,,,,,,
25285,LD2435,LD2435飞织鞋舌9.5,礼服蓝,56,双,,,,,LD251014,2025-10-22 00:00:00,,,,,,,,,,
25285,LD2435,LD2435飞织鞋舌10,礼服蓝,224,双,,,,,LD251015,2025-10-22 00:00:00,,,,,,,,,,
25285,LD2435,LD2435飞织鞋舌10.5,礼服蓝,90,双,,,,,LD251015,2025-10-22 00:00:00,,,,,,,,,,
25285,LD2435,LD2435飞织鞋舌11,礼服蓝,115,双,,,,,LD251015,2025-10-22 00:00:00,,,,,,,,,,
25285,LD2435,LD2435飞织鞋舌11.5,礼服蓝,104,双,,,,,LD251015,2025-10-22 00:00:00,,,,,,,,,,
25285,LD2435,LD2435飞织鞋舌12,礼服蓝,21,双,,,,,LD251015,2025-10-22 00:00:00,,,,,,,,,,
25285,LD2435,LD2435飞织鞋舌12.5,礼服蓝,33,双,,,,,LD251015,2025-10-22 00:00:00,,,,,,,,,,
25285,LD2435,LD2435飞织鞋舌13,礼服蓝,19,双,,,,,LD251015,2025-10-22 00:00:00,,,,,,,,,,
25287,LD2435,LD2435飞织鞋舌7.5,灰色,12,双,,,,,LD251016,2025-10-22 00:00:00,,,,,,,,,,
25287,LD2435,LD2435飞织鞋舌8,灰色,39,双,,,,,LD251016,2025-10-22 00:00:00,,,,,,,,,,
25287,LD2435,LD2435飞织鞋舌8.5,灰色,109,双,,,,,LD251016,2025-10-22 00:00:00,,,,,,,,,,
25287,LD2435,LD2435飞织鞋舌9,灰色,204,双,,,,,LD251016,2025-10-22 00:00:00,,,,,,,,,,
25287,LD2435,LD2435飞织鞋舌9.5,灰色,16,双,,,,,LD251016,2025-10-22 00:00:00,,,,,,,,,,
25287,LD2435,LD2435飞织鞋舌10,灰色,261,双,,,,,LD251016,2025-10-22 00:00:00,,,,,,,,,,
25287,LD2435,LD2435飞织鞋舌10.5,灰色,62,双,,,,,LD251016,2025-10-22 00:00:00,,,,,,,,,,
25287,LD2435,LD2435飞织鞋舌11,灰色,70,双,,,,,LD251016,2025-10-22 00:00:00,,,,,,,,,,
25287,LD2435,LD2435飞织鞋舌11.5,灰色,66,双,,,,,LD251016,2025-10-22 00:00:00,,,,,,,,,,
25287,LD2435,LD2435飞织鞋舌12,灰色,4,双,,,,,LD251016,2025-10-22 00:00:00,,,,,,,,,,
25288,LD2435,LD2435飞织鞋舌6.5,沥青色,8,双,,,,,LD251017,2025-10-22 00:00:00,,,,,,,,,,
25288,LD2435,LD2435飞织鞋舌7,沥青色,22,双,,,,,LD251017,2025-10-22 00:00:00,,,,,,,,,,
25288,LD2435,LD2435飞织鞋舌7.5,沥青色,64,双,,,,,LD251017,2025-10-22 00:00:00,,,,,,,,,,
25288,LD2435,LD2435飞织鞋舌8,沥青色,54,双,,,,,LD251017,2025-10-22 00:00:00,,,,,,,,,,
25288,LD2435,LD2435飞织鞋舌8.5,沥青色,128,双,,,,,LD251017,2025-10-22 00:00:00,,,,,,,,,,
25288,LD2435,LD2435飞织鞋舌9,沥青色,230,双,,,,,LD251017,2025-10-22 00:00:00,,,,,,,,,,
25288,LD2435,LD2435飞织鞋舌9.5,沥青色,39,双,,,,,LD251017,2025-10-22 00:00:00,,,,,,,,,,
25288,LD2435,LD2435飞织鞋舌10,沥青色,284,双,,,,,LD251018,2025-10-22 00:00:00,,,,,,,,,,
25288,LD2435,LD2435飞织鞋舌10.5,沥青色,47,双,,,,,LD251018,2025-10-22 00:00:00,,,,,,,,,,
25288,LD2435,LD2435飞织鞋舌11,沥青色,145,双,,,,,LD251018,2025-10-22 00:00:00,,,,,,,,,,
25288,LD2435,LD2435飞织鞋舌11.5,沥青色,100,双,,,,,LD251018,2025-10-22 00:00:00,,,,,,,,,,
25288,LD2435,LD2435飞织鞋舌12,沥青色,20,双,,,,,LD251018,2025-10-22 00:00:00,,,,,,,,,,
25288,LD2435,LD2435飞织鞋舌12.5,沥青色,31,双,,,,,LD251018,2025-10-22 00:00:00,,,,,,,,,,
25289,LD2435,LD2435飞织鞋舌6.5,白色,4,双,,,,,LD251019,2025-10-22 00:00:00,,,,,,,,,,
25289,LD2435,LD2435飞织鞋舌7.5,白色,21,双,,,,,LD251019,2025-10-22 00:00:00,,,,,,,,,,
25289,LD2435,LD2435飞织鞋舌8,白色,66,双,,,,,LD251019,2025-10-22 00:00:00,,,,,,,,,,
25289,LD2435,LD2435飞织鞋舌9,白色,109,双,,,,,LD251019,2025-10-22 00:00:00,,,,,,,,,,
25289,LD2435,LD2435飞织鞋舌9.5,白色,12,双,,,,,LD251019,2025-10-22 00:00:00,,,,,,,,,,
25289,LD2435,LD2435飞织鞋舌10,白色,84,双,,,,,LD251019,2025-10-22 00:00:00,,,,,,,,,,
25289,LD2435,LD2435飞织鞋舌10.5,白色,68,双,,,,,LD251019,2025-10-22 00:00:00,,,,,,,,,,
25289,LD2435,LD2435飞织鞋舌11.5,白色,23,双,,,,,LD251019,2025-10-22 00:00:00,,,,,,,,,,
25289,LD2435,LD2435飞织鞋舌12.5,白色,14,双,,,,,LD251019,2025-10-22 00:00:00,,,,,,,,,,
25289,LD2435,LD2435飞织鞋舌13,白色,11,双,,,,,LD251019,2025-10-22 00:00:00,,,,,,,,,,
25290,LD2435,LD2435飞织鞋面7,黑色,4,双,,,,,LD251020,2025-10-22 00:00:00,,,,,,,,,,
25290,LD2435,LD2435飞织鞋面7.5,黑色,46,双,,,,,LD251020,2025-10-22 00:00:00,,,,,,,,,,
25290,LD2435,LD2435飞织鞋面8,黑色,43,双,,,,,LD251020,2025-10-22 00:00:00,,,,,,,,,,
25290,LD2435,LD2435飞织鞋面9.5,黑色,5,双,,,,,LD251020,2025-10-22 00:00:00,,,,,,,,,,
