泉州阳硕鞋材有限公司,,,,,,,,,,300码以下记得开小缸费,,,,,,,,,,,
送  货  单,,,,,,,,,,,,,,,,,,,,,
收货单位：福建省莆田市联大鞋业有限公司,,,,,NO.：,LD251103,,,,,,,,,,,,,,,
地址：福建省莆田市城厢区华林工业区,,,,,送货日期：,2025-11-20 00:00:00,,,,,,,,,,,,,,,
订单号,指令号,品     名,颜色,数量,单位,支数,单价,金额,备注,,,,,,,,,,,,
25293,LD2435,LD2435飞织鞋舌9,黑色,28,双,,,,,LD251026,2025-10-23 00:00:00,,,,,,,,,,
25293,LD2435,LD2435飞织鞋舌9.5,黑色,50,双,,,,,LD251026,2025-10-23 00:00:00,,,,,,,,,,
25296,LD2435,LD2435飞织鞋舌5.5,黑色,60,双,,,,,LD251027,2025-10-23 00:00:00,,,,,,,,,,
25296,LD2435,LD2435飞织鞋舌6.5,黑色,122,双,,,,,LD251027,2025-10-23 00:00:00,,,,,,,,,,
25296,LD2435,LD2435飞织鞋舌7,黑色,120,双,,,,,LD251027,2025-10-23 00:00:00,,,,,,,,,,
25296,LD2435,LD2435飞织鞋舌7.5,黑色,63,双,,,,,LD251027,2025-10-23 00:00:00,,,,,,,,,,
25296,LD2435,LD2435飞织鞋舌8,黑色,120,双,,,,,LD251027,2025-10-23 00:00:00,,,,,,,,,,
25296,LD2435,LD2435飞织鞋舌8.5,黑色,120,双,,,,,LD251027,2025-10-23 00:00:00,,,,,,,,,,
25296,LD2435,LD2435飞织鞋舌9,黑色,60,双,,,,,LD251027,2025-10-23 00:00:00,,,,,,,,,,
25296,LD2435,LD2435飞织鞋舌9.5,黑色,60,双,,,,,LD251027,2025-10-23 00:00:00,,,,,,,,,,
25296,LD2435,LD2435飞织鞋舌10,黑色,49,双,,,,,LD251027,2025-10-23 00:00:00,,,,,,,,,,
25294,LD2435,LD2435飞织鞋舌5.5,紫罗兰,96,双,,,,,LD251028,2025-10-23 00:00:00,,,,,,,,,,
25294,LD2435,LD2435飞织鞋舌6,紫罗兰,5,双,,,,,LD251028,2025-10-23 00:00:00,,,,,,,,,,
25294,LD2435,LD2435飞织鞋舌6.5,紫罗兰,101,双,,,,,LD251028,2025-10-23 00:00:00,,,,,,,,,,
25294,LD2435,LD2435飞织鞋舌7,紫罗兰,214,双,,,,,LD251028,2025-10-23 00:00:00,,,,,,,,,,
25294,LD2435,LD2435飞织鞋舌7.5,紫罗兰,9,双,,,,,LD251028,2025-10-23 00:00:00,,,,,,,,,,
25294,LD2435,LD2435飞织鞋舌8,紫罗兰,162,双,,,,,LD251028,2025-10-23 00:00:00,,,,,,,,,,
25294,LD2435,LD2435飞织鞋舌8.5,紫罗兰,129,双,,,,,LD251028,2025-10-23 00:00:00,,,,,,,,,,
25294,LD2435,LD2435飞织鞋舌9,紫罗兰,14,双,,,,,LD251028,2025-10-23 00:00:00,,,,,,,,,,
25294,LD2435,LD2435飞织鞋舌10,紫罗兰,6,双,,,,,LD251028,2025-10-23 00:00:00,,,,,,,,,,
25295,LD2435,LD2435飞织鞋舌5.5,白色,85,双,,,,,LD251029,2025-10-23 00:00:00,,,,,,,,,,
25295,LD2435,LD2435飞织鞋舌6,白色,19,双,,,,,LD251029,2025-10-23 00:00:00,,,,,,,,,,
25295,LD2435,LD2435飞织鞋舌6.5,白色,128,双,,,,,LD251029,2025-10-23 00:00:00,,,,,,,,,,
25295,LD2435,LD2435飞织鞋舌7,白色,208,双,,,,,LD251029,2025-10-23 00:00:00,,,,,,,,,,
25295,LD2435,LD2435飞织鞋舌7.5,白色,28,双,,,,,LD251029,2025-10-23 00:00:00,,,,,,,,,,
25295,LD2435,LD2435飞织鞋舌8,白色,200,双,,,,,LD251029,2025-10-23 00:00:00,,,,,,,,,,
25295,LD2435,LD2435飞织鞋舌8.5,白色,104,双,,,,,LD251029,2025-10-23 00:00:00,,,,,,,,,,
25295,LD2435,LD2435飞织鞋舌9,白色,39,双,,,,,LD251029,2025-10-23 00:00:00,,,,,,,,,,
25295,LD2435,LD2435飞织鞋舌9.5,白色,59,双,,,,,LD251029,2025-10-23 00:00:00,,,,,,,,,,
25295,LD2435,LD2435飞织鞋舌10,白色,2,双,,,,,LD251029,2025-10-23 00:00:00,,,,,,,,,,
25297,LD2435,LD2435飞织鞋舌5.5,白色,64,双,,,,,LD251030,2025-10-23 00:00:00,,,,,,,,,,
25297,LD2435,LD2435飞织鞋舌6.5,白色,120,双,,,,,LD251030,2025-10-23 00:00:00,,,,,,,,,,
25297,LD2435,LD2435飞织鞋舌7,白色,120,双,,,,,LD251030,2025-10-23 00:00:00,,,,,,,,,,
25297,LD2435,LD2435飞织鞋舌7.5,白色,62,双,,,,,LD251030,2025-10-23 00:00:00,,,,,,,,,,
25297,LD2435,LD2435飞织鞋舌8,白色,120,双,,,,,LD251030,2025-10-23 00:00:00,,,,,,,,,,
25297,LD2435,LD2435飞织鞋舌8.5,白色,120,双,,,,,LD251030,2025-10-23 00:00:00,,,,,,,,,,
25297,LD2435,LD2435飞织鞋舌9,白色,61,双,,,,,LD251030,2025-10-23 00:00:00,,,,,,,,,,
25297,LD2435,LD2435飞织鞋舌9.5,白色,60,双,,,,,LD251030,2025-10-23 00:00:00,,,,,,,,,,
25297,LD2435,LD2435飞织鞋舌10,白色,60,双,,,,,LD251030,2025-10-23 00:00:00,,,,,,,,,,
25291,LD2435,LD2435飞织鞋面7,冠蓝,7,双,,,,5件,LD251101,2025-11-01 00:00:00,,,,,,,,,,
25291,LD2435,LD2435飞织鞋面7.5,冠蓝,103,双,,,,,LD251101,2025-11-01 00:00:00,,,,,,,,,,
25291,LD2435,LD2435飞织鞋面8,冠蓝,35,双,,,,,LD251101,2025-11-01 00:00:00,,,,,,,,,,
25291,LD2435,LD2435飞织鞋面8.5,冠蓝,154,双,,,,,LD251101,2025-11-01 00:00:00,,,,,,,,,,
25291,LD2435,LD2435飞织鞋面9,冠蓝,271,双,,,,,LD251101,2025-11-01 00:00:00,,,,,,,,,,
25291,LD2435,LD2435飞织鞋面9.5,冠蓝,19,双,,,,,LD251101,2025-11-01 00:00:00,,,,,,,,,,
25291,LD2435,LD2435飞织鞋面10,冠蓝,309,双,,,,,LD251101,2025-11-01 00:00:00,,,,,,,,,,
25291,LD2435,LD2435飞织鞋面10.5,冠蓝,48,双,,,,,LD251101,2025-11-01 00:00:00,,,,,,,,,,
25291,LD2435,LD2435飞织鞋面11,冠蓝,162,双,,,,,LD251101,2025-11-01 00:00:00,,,,,,,,,,
25291,LD2435,LD2435飞织鞋面11.5,冠蓝,123,双,,,,,LD251101,2025-11-01 00:00:00,,,,,,,,,,
25291,LD2435,LD2435飞织鞋面12,冠蓝,7,双,,,,,LD251101,2025-11-01 00:00:00,,,,,,,,,,
25291,LD2435,LD2435飞织鞋面12.5,冠蓝,52,双,,,,,LD251101,2025-11-01 00:00:00,,,,,,,,,,
25291,LD2435,LD2435飞织鞋面13,冠蓝,14,双,,,,,LD251101,2025-11-01 00:00:00,,,,,,,,,,
25291,LD2435,LD2435飞织鞋舌7,冠蓝,11,双,,,,1件,LD251102,2025-11-02 00:00:00,,,,,,,,,,
25291,LD2435,LD2435飞织鞋舌7.5,冠蓝,102,双,,,,,LD251102,2025-11-02 00:00:00,,,,,,,,,,
25291,LD2435,LD2435飞织鞋舌8,冠蓝,35,双,,,,,LD251102,2025-11-02 00:00:00,,,,,,,,,,
25291,LD2435,LD2435飞织鞋舌8.5,冠蓝,150,双,,,,,LD251102,2025-11-02 00:00:00,,,,,,,,,,
25291,LD2435,LD2435飞织鞋舌9,冠蓝,268,双,,,,,LD251102,2025-11-02 00:00:00,,,,,,,,,,
25291,LD2435,LD2435飞织鞋舌9.5,冠蓝,18,双,,,,,LD251102,2025-11-02 00:00:00,,,,,,,,,,
25291,LD2435,LD2435飞织鞋舌10,冠蓝,322,双,,,,,LD251102,2025-11-02 00:00:00,,,,,,,,,,
25291,LD2435,LD2435飞织鞋舌10.5,冠蓝,47,双,,,,,LD251102,2025-11-02 00:00:00,,,,,,,,,,
25291,LD2435,LD2435飞织鞋舌11,冠蓝,157,双,,,,,LD251102,2025-11-02 00:00:00,,,,,,,,,,
25291,LD2435,LD2435飞织鞋舌11.5,冠蓝,117,双,,,,,LD251102,2025-11-02 00:00:00,,,,,,,,,,
25291,LD2435,LD2435飞织鞋舌12,冠蓝,6,双,,,,,LD251102,2025-11-02 00:00:00,,,,,,,,,,
25291,LD2435,LD2435飞织鞋舌12.5,冠蓝,51,双,,,,,LD251102,2025-11-02 00:00:00,,,,,,,,,,
25291,LD2435,LD2435飞织鞋舌13,冠蓝,14,双,,,,,LD251102,2025-11-02 00:00:00,,,,,,,,,,
25285-25297,LD2435,LD2435飞织,,10659,双,,,,,LD251103,2025-11-20 00:00:00,,,,,,,,,,
合          计,,,,10659,双,,,,,,,,,,,,,,,,
注：我司仅对未开裁材料负责，已开裁材料经我司书面同意除外，其它概不负责。,,,,,,,,,,LD251103,2025-11-20 00:00:00,,,,,,,,,,
收货单位签章：,,,,,,,,送货单位签章：戴春莲,,,,,,,,,,,,,
第一联：存根(白)       第二联：客户(红)       第三联：请款(蓝)        第四联：仓库(黄),,,,,,,,,,,,,,,,,,,,,
,,,,1298,,,,,,,,,,,,,,,,,
,,,,,,,,,,6.5,,,,,,,,,,,
,,,,,,,,,,7.5,,,,,,,,,,,
,,,,,,,,,,8,,,,,,,,,,,
,,,,,,,,,,9,,,,,,,,,,,
,,,,,,,,,,9.5,,,,,,,,,,,
,,,,,,,,,,10,,,,,,,,,,,
,,,,,,,,,,10.5,,,,,,,,,,,
,,,,,,,,,,11.5,,,,,,,,,,,
,,,,,,,,,,12.5,,,,,,,,,,,
,,,,,,,,,,13,,,,,,,,,,,
