泉州阳硕鞋材有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,
送 货 单,,,,,,,,,,,,,,,,,,,,,,,,,,,
收货单位：莆田市小月亮鞋业有限公司,,,,,,,,送货单号：,XYL260201,,,,,,,,,,,,,,,,,,
地    址：福建省莆田市涵江区国欢镇国欢西路滨海大道1889号4层,,,,,,,,送货日期：,2026-02-02 00:00:00,,,,,,,,,,,,,,,,,,
订单号,指令,品名,颜色,数量,单位,支数,单价,小缸费,金额,备注,,,,,,,,,,,,,,,,,
XYL2026001-1/-2,SM82003-1/-2,HSW32 P6纹单层网布,黑色,166,码,2,6.32,,1049.12,,,,,,,,,,,,,,,,,,
XYL2026001-2,SM82003-2,YS-1951三明治网布,煙藍灰,65,码,1,17.3,300,1424.5,,,,,,,,,,,,,,,,,,
XYL2026001-3,SM82003-3,YS-1951三明治网布,香雪球白,65,码,1,17.3,300,1424.5,,,,,,,,,,,,,,,,,,
XYL2026001-3,SM82003-3,HSW32 P6纹单层网布,靛青,90,码,1,6.32,300,868.8,,,,,,,,,,,,,,,,,,
XYL2026002-1,SM82004-1,YS3313 360G/Y三明治网布,雪白色,62,码,1,15.62,300,1268.44,,,,,,,,,,,,,,,,,,
XYL2026002-1/-3,SM82004-1/-3,HSW32 P6纹单层网布,白色(米白),190,码,2,6.32,300,1500.8,,,,,,,,,,,,,,,,,,
XYL2026002-2,SM82004-2,YS3313 360G/Y三明治网布,印度藍,62,码,1,15.62,300,1268.44,,,,,,,,,,,,,,,,,,
XYL2026002-2,SM82004-2,HSW32 P6纹单层网布,暗灰褐,90,码,1,6.32,300,868.8,,,,,,,,,,,,,,,,,,
XYL2026002-3,SM82004-3,YS3313 360G/Y三明治网布,潔白,70,码,2,15.62,300,1393.4,,,,,,,,,,,,,,,,,,
,,合计,,,,,,,12318.3,,,,,,,,,,,,,,,,,,
