泉州阳硕鞋材有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,
送 货 单,,,,,,,,,,,,,,,,,,,,,,,,,,
收货单位：现金客户,,,,,,,送货单号：,XJ25012006,,,,,,,,,,,,,,,,,,
地    址：,,,,,,,送货日期：,2025-12-19 00:00:00,,,,,,,,,,,,,,,,,,
订单号,指令,品名,数量,单位,支数,单价,小缸费,金额,备注,,,,,,,,,,,,,,,,,
中晋鞋材,RI3837-40,上胶衬布白色7.5#,12852,双,,0.2,,2570.4,,XJ230901,2023-09-02 00:00:00,中晋鞋材,,,,,,,,,,,,,,
中晋鞋材,RI3837-40,上胶衬布白色9#,12852,双,,0.2,,2570.4,,XJ230901,2023-09-02 00:00:00,中晋鞋材,,,,,,,,,,,,,,
中晋鞋材,RI3837-40,上胶衬布白色10#,3213,双,,0.2,,642.6,,XJ230901,2023-09-02 00:00:00,中晋鞋材,,,,,,,,,,,,,,
联泰鞋垫厂(星昌),,240g粗纹真美布黑色,10,Y,,6,,60,,XJ230902,2023-09-05 00:00:00,联泰鞋垫厂(星昌),,,,,,,,,,,,,,
安恒现金,23444-1,"白色佳积布54"" 180g",15,Y,,4.9,,73.5,,XJ230903,2023-09-05 00:00:00,安恒现金,,,,,,,,,,,,,,
安恒现金,23449-2/5/6,"黑色低弹平布54""",15,Y,,4,,60,,XJ230903,2023-09-05 00:00:00,安恒现金,,,,,,,,,,,,,,
同华,,"火红 K209 250g/Y*54""",75,kg,3,20,150,1650,,XJ230904,2023-09-06 00:00:00,同华,29,,,,,,,,,,,,,
,,绞棕布 珍珠白,3,Y,,58,,174,,XJ2309136,2023-09-11 00:00:00,,,,,,,,,,,,,,,
,,绞棕布 黑色,2,Y,,58,,116,,XJ2309136,2023-09-11 00:00:00,,,,,,,,,,,,,,,
,,绞棕布 樱花粉,2,Y,,58,,116,,XJ2309136,2023-09-11 00:00:00,,,,,,,,,,,,,,,
,,绞棕布 白色,1,Y,,58,,58,,XJ2309137,2023-09-12 00:00:00,,,,,,,,,,,,,,,
陈小雄,,黑色四面弹  200g/m2*1.5米,433.2,KG,,23,,9963.6,,XJ2309138,2023-09-14 00:00:00,陈小雄,,,,,,,,,,,,,,
陈小雄,,蓝色四面弹  200g/m2*1.5米,504.5,KG,,27,,13621.5,,XJ2309138,2023-09-14 00:00:00,陈小雄,,,,,,,,,,,,,,
陈小雄,,灰色四面弹  200g/m2*1.5米,330.3,KG,,27,,8918.1,,XJ2309138,2023-09-14 00:00:00,陈小雄,,,,,,,,,,,,,,
联泰鞋垫厂(星昌),,240g粗纹真美布黑色,135,Y,2,6.5,,877.5,,XJ231010,2023-10-09 00:00:00,联泰鞋垫厂(星昌),,,,,,,,,,,,,,
,,75+60,,,,,,,,,,,,,,,,,,,,,,,,
联泰鞋垫厂(星昌),,240g粗纹真美布黑色,40,Y,,6.5,,260,,XJ231031,2023-10-16 00:00:00,联泰鞋垫厂(星昌),,,,,,,,,,,,,,
陈小雄,,圆点双色单网,50.8,KG,,21,,1066.8,,XJ231030,2023-10-21 00:00:00,陈小雄,实收1065,,,,,,,,,,,,,
联泰鞋垫厂(星昌),,240g粗纹真美布黑色,150,Y,2,6.5,,975,,XJ231101,2023-11-01 00:00:00,联泰鞋垫厂(星昌),,79+71,,,,,,,,,,,,
联泰鞋垫厂(星昌),,240g粗纹真美布黑色,15,Y,,6.5,,97.5,,XJ231101,2023-11-11 00:00:00,联泰鞋垫厂(星昌),,,,,,,,,,,,,,
,,粉色TS1595内里布,2,Y,,7,150,164,,XJ231121,2023-11-13 00:00:00,,,,,,,,,,,,,,,
,,黑色A6892三层网,2,Y,,19,,38,,XJ231121,2023-11-13 00:00:00,,,,,,,,,,,,,,,
实收290元,,粉色A6892三层网,2,Y,,19,150,188,,XJ231121,2023-11-13 00:00:00,实收290元,,,,,,,,,,,,,,
同华,,"K209 180g*54""鹅卵色16-1407TPG(同国际色号)",1,色,,,150,150,5Y,XJ231032,2023-10-25 00:00:00,同华,,,,,,,,,,,,,,
同华,,"K209 180g*54""灰色(同鞋垫)",1,色,,,150,150,5Y,XJ231032,2023-10-25 00:00:00,同华,,,,,,,,,,,,,,
同华,,"K209 180g*54""",4,色,,,150,600,5Y,XJ231032,2023-10-25 00:00:00,同华,,,,,,,,,,,,,,
同华,,"K209 180g*54""紫色同鞋垫",1,色,,,150,150,10Y,XJ231115,2023-11-20 00:00:00,同华,,,,,,,,,,,,,,
联泰鞋垫厂(星昌),,240g粗纹真美布黑色,9,Y,,6.5,,58.5,,XJ231205,2023-12-15 00:00:00,联泰鞋垫厂(星昌),,,,,,,,,,,,,,
,,"辣红18-1657TPG佳绩布54"" 220g",12,Y,,5,,60,,,,,,,,,,,,,,,,,,
,,飞织罗纹布开机费,3,色,,,,200,,XJ2312445,2023-12-25 00:00:00,,,,,,,,,,,,,,,
,,220G亮白色YS1503抗菌小米通单网,195,Y,,10.5,300,2347.5,,XJ2401005,2024-01-05 00:00:00,,,,,,,,,,,,,,,
,,220G荧光绿色YS1503抗菌小米通单网,340,Y,,10.5,,3570,,XJ2401005,2024-01-05 00:00:00,,,,,,,,,,,,,,,
,,220G鲜红色YS1503抗菌小米通单网,90,Y,,10.5,300,1245,,XJ2401005,2024-01-05 00:00:00,,,,,,,,,,,,,,,
,,0073双色贾卡,5,色,,200,,1000,,XJ2401046,2024-01-22 00:00:00,,,,,,,,,,,,,,,
,,飞织开版费2色,1,款,,,,200,,XJ2401047,2024-01-23 00:00:00,,,,,,,,,,,,,,,
,,飞织2款7色共35双,,,,,,600,,XJ2401048,2024-03-16 00:00:00,,,,,,,,,,,,,,,
同华,,"K209 250g/Y*54""  红色",30.7,kg,1,20,300,914,,XJ240401,2024-03-18 00:00:00,同华,2024/6/15尹总微信已收,,,,,,,,,,,,,
特步,,"K107黑色54"" 250g",200,Y,2,6.9,,1380,,XJ240402,2024-04-28 00:00:00,特步,,,,,,,,,,,,,,
特步,,"磨毛布黑色54"" 220g",50,Y,1,6.9,,345,,XJ240402,2024-04-28 00:00:00,特步,,,,,,,,,,,,,,
特步,,"K107黑色54"" 250g",10,Y,,6.9,,69,,XJ240501,2024-05-05 00:00:00,特步,,,,,,,,,,,,,,
特步,,"K107黑色54"" 250g",10,Y,,6.9,,69,,XJ240502,2024-05-09 00:00:00,特步,,,,,,,,,,,,,,
特步,,"K107亮白色11-4001TPG54"" 250g",8,Y,,6.9,,55.2,,XJ240503,2024-05-14 00:00:00,特步,,,,,,,,,,,,,,
,,YSS2210三层网  黑色,5,Y,,22,,110,,XJ240504,2024-05-24 00:00:00,,2024/5/24阳硕微信已收,,,,,,,,,,,,,
特步,,"YS-2068T纹380g 提花太空层 54""豆腐色11-4801TPG",2,Y,,,,,,,,特步,2024/5/27阳硕微信已收,,,,,,,,,,,,,
特步,,YS-2068T纹380g 提花太空层 浅银灰13-4305TPG,2,Y,,,,200,,,2024-05-27 00:00:00,特步,2024/5/27阳硕微信已收,,,,,,,,,,,,,
特步,,"YSK133纹 220g 单层网布 54""浅银灰13-4305TPG",4,Y,,,,200,,,2024-05-27 00:00:00,特步,2024/5/27阳硕微信已收,,,,,,,,,,,,,
同华,,"K209 250g/Y*54""  乌鸦咖",25,kg,1,20,300,800,,XJ240608,2024-06-08 00:00:00,同华,2024/6/15尹总微信已收,,,,,,,,,,,,,
同华,,"K209 250g/Y*54""  紫色",58.2,kg,2,20,300,1464,,XJ240609,2024-06-18 00:00:00,同华,2024/6/15尹总微信已收,,,,,,,,,,,,,
同华,,"K209 250g/Y*54"" 卡其",50.1,kg,2,20,300,1302,,XJ240609,2024-06-18 00:00:00,同华,2024/6/15尹总微信已收,,,,,,,,,,,,,
同华,,"K209 250g/Y*54"" 红棕",29,kg,1,20,300,880,,XJ240701,2024-07-05 00:00:00,同华,2024/7/29尹总微信,,,,,,,,,,,,,
同华,,K106黑色,12,kg,1,17,,204,,XJ240701,2024-07-05 00:00:00,同华,2024/7/29尹总微信,,,,,,,,,,,,,
,,"白色佳积布54"" 180g",118,Y,1,4.5,,531,,XJ2407116,2024-07-15 00:00:00,,2024/7/15阳硕微信已收,,,,,,,,,,,,,
金莱克,24101-1,"火红 YSK055纹单层网布 54""",1320,Y,14,13.5,,17820,,XJ2407116,2024-07-20 00:00:00,金莱克,2024/7/21尹总汇农行,,,,,,,,,,,,,
金莱克,,A缸20+4*100=420B缸9*100=900,,,,,,,,,,金莱克,2024/7/21尹总汇农行,,,,,,,,,,,,,
金莱克,24101-2,"白色 YSK055纹单层网布 54""",275,Y,3,13.5,,3712.5,,XJ2407116,2024-07-20 00:00:00,金莱克,2024/7/21尹总汇农行,,,,,,,,,,,,,
金莱克,,100*2+75=275,,,,,,,,,,金莱克,2024/7/21尹总汇农行,,,,,,,,,,,,,
金莱克,24101-3,"海藻蓝 YSK055纹单层网布 54""",605,Y,6,13.5,,8167.5,,XJ2407116,2024-07-20 00:00:00,金莱克,2024/7/21尹总汇农行,,,,,,,,,,,,,
,,5*100+105=605,,,,,,,,,,,,,,,,,,,,,,,,
ESO小许,,罗纹格子布  白色,8,Y,,12,,96,,XJ2407172,2024-07-22 00:00:00,ESO小许,2024/7/22阳硕微信已收,,,,,,,,,,,,,
同华,,"K209 250g/Y*54""  乌鸦咖",18,kg,1,20,300,660,,XJ2407174,2024-07-29 00:00:00,同华,2024/7/29尹总微信,,,,,,,,,,,,,
转微信现金,,黑色四面弹  浅蓝,3.1,KG,,27,,83.7,,XJ2407176,2024-08-03 00:00:00,转微信现金,裕泰介绍,,,,,,,,,,,,,
金莱克,24101-1,"火红 YSK055纹单层网布 54""",103,Y,2,13.5,,1390.5,,XJ2407175,2024-07-26 00:00:00,金莱克,赖总已收,,,,,,,,,,,,,
金莱克,,72+31=103,,,,,,,,XJ2407175,2024-07-26 00:00:00,金莱克,赖总已收,,,,,,,,,,,,,
金莱克,24101-2,"白色YSK055纹单层网布 54""",24,Y,1,13.5,,324,,XJ2407175,2024-07-26 00:00:00,金莱克,赖总已收,,,,,,,,,,,,,
金莱克,24101-3,"海藻蓝YSK055纹单层网布 54""",44,Y,1,13.5,,594,,XJ2407175,2024-07-26 00:00:00,金莱克,赖总已收,,,,,,,,,,,,,
金莱克,,"白色健康布 54""",2,米,,8.5,,17,,XJ2407177,2024-08-07 00:00:00,金莱克,公司微信,,,,,,,,,,,,,
金莱克,,"黑色健康布 54""",10,米,,8.5,,85,,XJ2407177,2024-08-07 00:00:00,金莱克,公司微信,,,,,,,,,,,,,
金莱克,,"白色健康布 54""",2,米,,8.5,,17,,XJ240801,2024-08-15 00:00:00,金莱克,公司微信,,,,,,,,,,,,,
金莱克,,"黑色健康布 54""",10,米,,8.5,,85,,XJ240801,2024-08-15 00:00:00,金莱克,公司微信,,,,,,,,,,,,,
双驰科技,,"白色提花天鹅绒54""",187,Y,2,10,,1870,,XJ24082502,2024-08-26 00:00:00,双驰科技,,,,,,,,发邦泽,,,,,,
,,100+87=187,,,,,,,,,,,,,,,,,,,,,,,,
鑫欣达,,超细天鹅绒1.5*150平方克海雾绿,53,kG,3,29,,1537,,XJ2408004,2024-08-31 00:00:00,鑫欣达,已汇公帐,,,,,,,,,,,,,
鑫欣达,,超细天鹅绒1.5*150平方克莓紫色,73,kG,3,29,,2117,,XJ2408004,2024-08-31 00:00:00,鑫欣达,已汇公帐,,,,,,,,,,,,,
鑫欣达,,超细天鹅绒1.5*150平方克薄荷绿,57,kG,3,29,,1653,,XJ2408004,2024-08-31 00:00:00,鑫欣达,已汇公帐,,,,,,,,,,,,,
鑫欣达,,超细天鹅绒1.5*150平方克青蓝色,80,kG,4,29,,2320,,XJ2408004,2024-08-31 00:00:00,鑫欣达,已汇公帐,,,,,,,,,,,,,
鑫欣达,,小缸费,4,个,,300,,1200,,XJ2408004,2024-08-31 00:00:00,鑫欣达,已汇公帐,,,,,,,,,,,,,
鑫欣达,,超细天鹅绒1.5*150平方克黑色,190,kG,8,29,,5510,,XJ2408004,2024-08-31 00:00:00,鑫欣达,已汇公帐,,,,,,,,,,,,,
,,YSR2261单网   本白,20,Y,,11.6,,232,,XJ2409667,2024-09-28 00:00:00,,,,,,,,,,,,,,,
,,YSS2209三层网  本白,16,Y,,19,,304,,XJ2409667,2024-09-28 00:00:00,,,,,,,,,,,,,,,
,,YSS2209三层网  黑色,1,Y,,19,,19,,XJ2409667,2024-09-28 00:00:00,,,,,,,,,,,,,,,
特步,,"YS360纹 350g 大星点弹力网布 54""-本白",8,码,,18,,144,,XJ241001,2024-10-31 00:00:00,特步,,,,,,,,,,,,,,
,,实际有10Y,,,,,,,,,,,,,,,,,,,,,,,,
宝鑫,,"K106黑色54""175#",240,码,3,5.2,,1248,,XJ241201,2024-12-01 00:00:00,宝鑫微信已付,,,,,,,,,,,,,,
宝鑫,,102*2+36=240,,,,,,,,,,宝鑫微信已付,,,,,,,,,,,,,,
宝鑫,,"K106卡其54""167#",90,码,1,5.2,,468,,XJ241201,2024-12-01 00:00:00,宝鑫微信已付,,,,,,,,,,,,,,
宝鑫,,小缸费,1,个,,,300,300,,XJ241201,2024-12-01 00:00:00,宝鑫微信已付,,,,,,,,,,,,,,
,,YSE2214黑色,3,码,1,21,,63,,XJ241202,2024-12-04 00:00:00,微信已付,,,,,,,,,,,,,,
,,YSE2214白色,20,码,,23,,460,,XJ241202,2024-12-04 00:00:00,微信已付,,,,,,,,,,,,,,
宝鑫,,"K106 54"" 230g 浅灰",90,码,1,5.2,,468,,XJ241203,2024-12-20 00:00:00,微信已付,宝鑫,,,,,,,,,,,,,
宝鑫,,小缸费,1,个,,,300,300,,XJ241203,2024-12-20 00:00:00,微信已付,宝鑫,,,,,,,,,,,,,
宝鑫,,"K106 54"" 230g 米色",90,码,1,5.2,,468,,XJ241203,2024-12-20 00:00:00,微信已付,宝鑫,,,,,,,,,,,,,
宝鑫,,小缸费,1,个,,,300,300,,XJ241203,2024-12-20 00:00:00,微信已付,宝鑫,,,,,,,,,,,,,
