泉州阳硕鞋材有限公司 2026年01月份请款明细,,,,,,,,,,,,,注意牛津布小缸费是600元/色,,,
采购订单号,送货单号,送货日期,指令号,物料编码,批物料描述,颜色,送货数量,单位,含税单价,染费,含税金额,,,,,
4510246506,SHY2601018,2026-01-21 00:00:00,5S002816\5S002817\5S002818\5S002819,WK000357,"230G K208黑网布56""",黑色,24,码,5,,120,,,,,
4510247481,SHY2601018,2026-01-21 00:00:00,5S002819,WK000357,"230G K208黑网布56""",黑色,234,码,5,,1170,,,,,
4510246987,SHY2601019,2026-01-21 00:00:00,5S002827,WS001937,400G/Y YS028三明治网布54“,砾石棕14-0002TPG,68,码,14.5,300,1286,,,,,
4510249440,SHY2601020,2026-01-21 00:00:00,7S002737BD,WK000321,"(SS26)230G/Y K208网布54""",黑色,2,码,5,,10,,,,,
4510249131,SHY2601021,2026-01-24 00:00:00,5S002822,WS001879,"400G/Y YS028三明治网布54""",黑色,16,码,14.5,,232,,,,,
4510250611,SHY2601021,2026-01-24 00:00:00,5S002840\5S002822,WS001879,"400G/Y YS028三明治网布54""",黑色,82,码,14.5,,1189,,,,,
4510243202,SHY2601021,2026-01-24 00:00:00,7S002939,WK000333,"230G/Y  K208网布54""",椒红18-1657TPG,25,码,5,300,425,,,,,
4510250755,SHY2601022,2026-01-25 00:00:00,5S002867,WK000101,"230G/Y  K208网布54""",黑色,32,码,5,,160,,,,,
4510252394,SHY2601022,2026-01-25 00:00:00,5S002867,WK000101,"230G/Y  K208网布54""",黑色,21,码,5,,105,,,,,
4510250611,SHY2601022,2026-01-25 00:00:00,5S002861,WS001965,400G/Y YS028三明治网布,米色12-0104TPG,53,码,14.5,,768.5,,,,,
4510250611,SHY2601022,2026-01-25 00:00:00,5S002862\5S002863,WS001965,400G/Y YS028三明治网布,米色12-0104TPG,66,码,14.5,,957,,,,,
4510250611,SHY2601022,2026-01-25 00:00:00,5S002864,WS001965,400G/Y YS028三明治网布,米色12-0104TPG,32,码,14.5,,464,,,,,
4510252578,SHY2601022,2026-01-25 00:00:00,5S002880,WS001354,400G/Y YS028三明治网布,米色12-0104TPG,9,码,14.5,300,430.5,,,,,
4510251149,SHY2601023,2026-01-26 00:00:00,5S002824,WS001938,400G/Y  YS028三明治网布54“,靛蓝色19-4028TPG,55,码,14.5,300,1097.5,,,,,
4510252394,SHY2601023,2026-01-26 00:00:00,5S002824,WS001938,400G/Y  YS028三明治网布54“,靛蓝色19-4028TPG,3,码,14.5,,43.5,,,,,
4510249927,SHY2601024,2026-01-27 00:00:00,5S002811,WD003527,"280G/YYS-065M单网54""耐汗",黑色,1,码,9,,9,,,,,
4510250755,SHY2601024,2026-01-27 00:00:00,5S002867,WD003527,"280G/YYS-065M单网54""耐汗",黑色,27,码,9,300,543,,,,,
4510250755,SHY2601025,2026-01-27 00:00:00,5S002867,WN000132,"YS960D加密牛津布上防脱纱（厂商直上）54""",城堡灰19-0203TPG,40,码,18.5,600,1340,,,,,
4510253234,SHY2601026,2026-01-29 00:00:00,5S002770BD,WS001352,YS028三明治400G/Y,暗橄榄黄19-0516TPG,6,码,14.5,,87,,,,,
4510253234,SHY2601026,2026-01-29 00:00:00,5S002880,WS001354,YS028三明治400G/Y,米色12-0104TPG,6,码,14.5,,87,,,,,
4510250611,SHY2601026,2026-01-29 00:00:00,5S002859\5S002860,WS001967,"400G/Y  YS028（G326)54""",白色,99,码,14.5,,1435.5,,,,,
4510252394,SHY2601026,2026-01-29 00:00:00,5S002873,WS000589,"400-420G/Y  YS028三明治54""",白色,6,码,14.5,,87,,,,,
4510246506,SHY2601026,2026-01-29 00:00:00,5S002823\5S002826,WS001938,YS028三明治400G/Y,靛蓝色19-4028TPG,84,码,14.5,300,1518,,,,,
4510252394,SHY2601026,2026-01-29 00:00:00,5S002824,WS001938,YS028三明治400G/Y,靛蓝色19-4028TPG,12,码,14.5,,174,,,,,
4510252394,SHY2601027,2026-01-30 00:00:00,5S002873,WK000098,"230G/Y  K208网布54""",18-1442TPG土红色,14,码,5,300,370,,,,,
4510253413,SHY2601028,2026-01-30 00:00:00,5S002880,WS001354,"YS028三明治400 54""",米色12-0104TPG,3,码,14.5,,43.5,,,,,
4510248246,SHY2601029,2026-01-31 00:00:00,5S002840\5S002822,WS001879,400G/Y YS028三明治网布,黑色,88,码,14.5,,1276,,,,,
3楼黄素贞,SH-Y251204,2025-12-24 00:00:00,YF021-1,,250G莱卡（四面弹）亚面,黑色,10,码,14.1,,141,,,,,
3楼黄素贞,SH-Y251204,2025-12-24 00:00:00,YF021-1,,230G K208网布,黑色,10,码,5.95,,59.5,,,,,
黄丽蓉,SH-Y260101,2026-01-04 00:00:00,4472,,"400g/y*54"" YS028三明治",靛蓝色19-4028TPG,5,码,14.5,150,222.5,,,,,
黄丽蓉,SH-Y260101,2026-01-04 00:00:00,33193,,230G/Y K208网布,蓝翠色19-4121TPG,10,码,5.95,150,209.5,,,,,
黄丽蓉,SH-Y260101,2026-01-04 00:00:00,33193,,230G/Y K208网布,橄榄黄绿(18-0316TPG,10,码,5.95,150,209.5,,,,,
黄丽蓉,SH-Y260101,2026-01-04 00:00:00,33267,,230G/Y K208网布,蛋奶黄12-0601TPG,10,码,5.95,150,209.5,,,,,
黄丽蓉,SH-Y260101,2026-01-04 00:00:00,33365,,230G/Y K208网布,中性灰17-4402TPG,10,码,5.95,150,209.5,,,,,
3楼黄素贞,SH-Y260102,2026-01-21 00:00:00,YF042A,,250G D02网布,13-0003TPG,5,码,,150,150,,,,,
3楼黄素贞,SH-Y260102,2026-01-21 00:00:00,YF042A,,250G D02网布,19-1118TPG,5,码,,150,150,,,,,
3楼黄素贞,SH-Y260102,2026-01-21 00:00:00,YF042A,,250G D02网布,19-1724TPG,5,码,,150,150,,,,,
3楼黄素贞,SH-Y260102,2026-01-21 00:00:00,YF042A,,250G D02网布,19-4104,5,码,,150,150,,,,,
3楼黄素贞,SH-Y260102,2026-01-21 00:00:00,YF53,,280G k208网布,12-5208TPG,3,码,,150,150,,,,,
3楼黄素贞,SH-Y260102,2026-01-21 00:00:00,YF53,,280G k208网布,14-4514TPG,3,码,,150,150,,,,,
3楼黄素贞,SH-Y260103,2026-01-21 00:00:00,YF021-1,,S233网布（猫舌布）,黑色,5,码,,,0,,,,,
3楼黄素贞,SH-Y260103,2026-01-21 00:00:00,YF021-1,,250G莱卡（四面弹）亚面,黑色,10,码,14.1,,141,,,,,
3楼黄素贞,SH-Y260103,2026-01-21 00:00:00,YF021-1,,230G K208网布,黑色,10,码,5.95,,59.5,,,,,
3楼黄素贞,SH-Y260103,2026-01-21 00:00:00,YF036,,K208 250G单层网布,蓝色18-3949 TPG,5,码,,150,150,,,,,
3楼黄素贞,SH-Y260103,2026-01-21 00:00:00,YF052,,250G K208网布,13-4909TPG青色,5,码,,150,150,,,,,
3楼黄素贞,SH-Y260103,2026-01-21 00:00:00,YF040,,280G K208网布,12-4305TPG,5,码,,150,150,,,,,
黄丽蓉,SH-Y260104,2026-01-21 00:00:00,4472,,"400g/y*54"" YS028三明治",紫灰色14-4103TPG,5,码,14.5,150,222.5,,,,,
黄丽蓉,SH-Y260104,2026-01-21 00:00:00,,,230G/Y K208网布,军旗蓝19-4026TPG,5,码,,150,150,,,,,
,,,,,,,4229,,,,58279.52,,,,,
