泉州阳硕鞋材有限公司,,,,,,,,,,,300码以下记得开小缸费,,,,,,,,,,,
送  货  单,,,,,,,,,,,,,,,,,,,,,,
收货单位：福建省莆田市双联鞋业有限公司,,,,,,NO.：,SHL2505055,,,,,,,,,,,,,,,
地址：福建省莆田市荔城区少林北街后埔村,,,,,,送货日期：,2025-05-23 00:00:00,,,,,,,,,,,,,,,
订单号,指令号,料号,品     名,颜色,数量,单位,支数,单价,金额,备注,,,,,,,,,,,,
,2L001201,WF006414,13117冷灰COOL GRAY 7U飞织面9.5,冷灰COOL,27,双,,,,,SHL2505026,2025-05-14 00:00:00,,,,,,,,,,
,2L001201,WF006415,13117冷灰COOL GRAY 7U飞织面10,冷灰COOL,81,双,,,,,SHL2505026,2025-05-14 00:00:00,,,,,,,,,,
,2L001201,WF006417,13117冷灰COOL GRAY 7U飞织面11,冷灰COOL,95,双,,,,,SHL2505026,2025-05-14 00:00:00,,,,,,,,,,
,2L001201,WF006418,13117冷灰COOL GRAY 7U飞织面11.5,冷灰COOL,92,双,,,,,SHL2505026,2025-05-14 00:00:00,,,,,,,,,,
,2L001201,WF006419,13117冷灰COOL GRAY 7U飞织面12,冷灰COOL,14,双,,,,,SHL2505026,2025-05-14 00:00:00,,,,,,,,,,
,2L001201,WF006421,13117冷灰COOL GRAY 7U飞织面13,冷灰COOL,24,双,,,,,SHL2505026,2025-05-14 00:00:00,,,,,,,,,,
,2L001208,WF006466,13117深橄榄色19-0516TPG飞织面7.5,深橄榄色19-0516TPG,106,双,,,,,SHL2505027,2025-05-14 00:00:00,,,,,,,,,,
,2L001208,WF006467,13117深橄榄色19-0516TPG飞织面8,深橄榄色19-0516TPG,26,双,,,,,SHL2505027,2025-05-14 00:00:00,,,,,,,,,,
,2L001208,WF006473,13117深橄榄色19-0516TPG飞织面11,深橄榄色19-0516TPG,202,双,,,,,SHL2505027,2025-05-14 00:00:00,,,,,,,,,,
,2L001208,WF006474,13117深橄榄色19-0516TPG飞织面11.5,深橄榄色19-0516TPG,156,双,,,,,SHL2505027,2025-05-14 00:00:00,,,,,,,,,,
,2L001208,WF006475,13117深橄榄色19-0516TPG飞织面12,深橄榄色19-0516TPG,14,双,,,,,SHL2505027,2025-05-14 00:00:00,,,,,,,,,,
,2L001208,WF006477,13117深橄榄色19-0516TPG飞织面13,深橄榄色19-0516TPG,22,双,,,,,SHL2505027,2025-05-14 00:00:00,,,,,,,,,,
,2L001205,WF005954,13116深兰19-4125TPG飞织舌面5.5,深兰19-4125TPG,80,双,,,,,SHL2505028,2025-05-14 00:00:00,,,,,,,,,,
,2L001205,WF005955,13116深兰19-4125TPG飞织舌面6,深兰19-4125TPG,26,双,,,,,SHL2505028,2025-05-14 00:00:00,,,,,,,,,,
,2L001205,WF005956,13116深兰19-4125TPG飞织舌面6.5,深兰19-4125TPG,140,双,,,,,SHL2505028,2025-05-14 00:00:00,,,,,,,,,,
,2L001205,WF005957,13116深兰19-4125TPG飞织舌面7,深兰19-4125TPG,227,双,,,,,SHL2505028,2025-05-14 00:00:00,,,,,,,,,,
,2L001205,WF005958,13116深兰19-4125TPG飞织舌面7.5,深兰19-4125TPG,15,双,,,,,SHL2505028,2025-05-14 00:00:00,,,,,,,,,,
,2L001205,WF005959,13116深兰19-4125TPG飞织舌面8,深兰19-4125TPG,242,双,,,,,SHL2505028,2025-05-14 00:00:00,,,,,,,,,,
,2L001205,WF005960,13116深兰19-4125TPG飞织舌面8.5,深兰19-4125TPG,158,双,,,,,SHL2505028,2025-05-14 00:00:00,,,,,,,,,,
,2L001205,WF005961,13116深兰19-4125TPG飞织舌面9,深兰19-4125TPG,22,双,,,,,SHL2505029,2025-05-14 00:00:00,,,,,,,,,,
,2L001205,WF005962,13116深兰19-4125TPG飞织舌面9.5,深兰19-4125TPG,108,双,,,,,SHL2505029,2025-05-14 00:00:00,,,,,,,,,,
,2L001205,WF005963,13116深兰19-4125TPG飞织舌面10,深兰19-4125TPG,50,双,,,,,SHL2505029,2025-05-14 00:00:00,,,,,,,,,,
,2L001200,WF006534,13117灰蓝18-4214TPG飞织舌面6.5,灰蓝18-4214TPG,10,双,,,,,SHL2505029,2025-05-14 00:00:00,,,,,,,,,,
,2L001200,WF006535,13117灰蓝18-4214TPG飞织舌面7,灰蓝18-4214TPG,19,双,,,,,SHL2505029,2025-05-14 00:00:00,,,,,,,,,,
,2L001200,WF006536,13117灰蓝18-4214TPG飞织舌面7.5,灰蓝18-4214TPG,57,双,,,,,SHL2505029,2025-05-14 00:00:00,,,,,,,,,,
,2L001200,WF006537,13117灰蓝18-4214TPG飞织舌面8,灰蓝18-4214TPG,55,双,,,,,SHL2505029,2025-05-14 00:00:00,,,,,,,,,,
,2L001200,WF006538,13117灰蓝18-4214TPG飞织舌面8.5,灰蓝18-4214TPG,76,双,,,,,SHL2505029,2025-05-14 00:00:00,,,,,,,,,,
,2L001200,WF006539,13117灰蓝18-4214TPG飞织舌面9,灰蓝18-4214TPG,167,双,,,,,SHL2505030,2025-05-14 00:00:00,,,,,,,,,,
,2L001200,WF006540,13117灰蓝18-4214TPG飞织舌面9.5,灰蓝18-4214TPG,31,双,,,,,SHL2505030,2025-05-14 00:00:00,,,,,,,,,,
,2L001200,WF006541,13117灰蓝18-4214TPG飞织舌面10,灰蓝18-4214TPG,155,双,,,,,SHL2505030,2025-05-14 00:00:00,,,,,,,,,,
,2L001200,WF006542,13117灰蓝18-4214TPG飞织舌面10.5,灰蓝18-4214TPG,78,双,,,,,SHL2505030,2025-05-14 00:00:00,,,,,,,,,,
,2L001200,WF006543,13117灰蓝18-4214TPG飞织舌面11,灰蓝18-4214TPG,90,双,,,,,SHL2505030,2025-05-14 00:00:00,,,,,,,,,,
,2L001200,WF006544,13117灰蓝18-4214TPG飞织舌面11.5,灰蓝18-4214TPG,80,双,,,,,SHL2505030,2025-05-14 00:00:00,,,,,,,,,,
,2L001200,WF006545,13117灰蓝18-4214TPG飞织舌面12,灰蓝18-4214TPG,14,双,,,,,SHL2505030,2025-05-14 00:00:00,,,,,,,,,,
,2L001200,WF006546,13117灰蓝18-4214TPG飞织舌面12.5,灰蓝18-4214TPG,25,双,,,,,SHL2505030,2025-05-14 00:00:00,,,,,,,,,,
,2L001200,WF006547,13117灰蓝18-4214TPG飞织舌面13,灰蓝18-4214TPG,20,双,,,,,SHL2505030,2025-05-14 00:00:00,,,,,,,,,,
,2L001206,WF005964,13116蘑菇灰13-4201TPG飞织面5.5,蘑菇灰13-4201TPG,100,双,,,,,SHL2505031,2025-05-16 00:00:00,,,,,,,,,,
,2L001206,WF005965,13116蘑菇灰13-4201TPG飞织面6,蘑菇灰13-4201TPG,38,双,,,,,SHL2505031,2025-05-16 00:00:00,,,,,,,,,,
,2L001206,WF005966,13116蘑菇灰13-4201TPG飞织面6.5,蘑菇灰13-4201TPG,150,双,,,,,SHL2505031,2025-05-16 00:00:00,,,,,,,,,,
,2L001206,WF005967,13116蘑菇灰13-4201TPG飞织面7,蘑菇灰13-4201TPG,243,双,,,,,SHL2505031,2025-05-16 00:00:00,,,,,,,,,,
,2L001206,WF005968,13116蘑菇灰13-4201TPG飞织面7.5,蘑菇灰13-4201TPG,24,双,,,,,SHL2505031,2025-05-16 00:00:00,,,,,,,,,,
,2L001206,WF005969,13116蘑菇灰13-4201TPG飞织面8,蘑菇灰13-4201TPG,227,双,,,,,SHL2505031,2025-05-16 00:00:00,,,,,,,,,,
,2L001206,WF005970,13116蘑菇灰13-4201TPG飞织面8.5,蘑菇灰13-4201TPG,148,双,,,,,SHL2505031,2025-05-16 00:00:00,,,,,,,,,,
,2L001206,WF005971,13116蘑菇灰13-4201TPG飞织面9,蘑菇灰13-4201TPG,20,双,,,,,SHL2505031,2025-05-16 00:00:00,,,,,,,,,,
,2L001206,WF005972,13116蘑菇灰13-4201TPG飞织面9.5,蘑菇灰13-4201TPG,86,双,,,,,SHL2505031,2025-05-16 00:00:00,,,,,,,,,,
,2L001206,WF005973,13116蘑菇灰13-4201TPG飞织面10,蘑菇灰13-4201TPG,5,双,,,,,SHL2505031,2025-05-16 00:00:00,,,,,,,,,,
,2L001205,WF005944,13116深兰19-4125TPG飞织面5.5,深兰19-4125TPG,80,双,,,,,SHL2505032,2025-05-16 00:00:00,,,,,,,,,,
,2L001205,WF005945,13116深兰19-4125TPG飞织面6,深兰19-4125TPG,23,双,,,,,SHL2505032,2025-05-16 00:00:00,,,,,,,,,,
,2L001205,WF005946,13116深兰19-4125TPG飞织面6.5,深兰19-4125TPG,138,双,,,,,SHL2505032,2025-05-16 00:00:00,,,,,,,,,,
,2L001205,WF005947,13116深兰19-4125TPG飞织面7,深兰19-4125TPG,218,双,,,,,SHL2505032,2025-05-16 00:00:00,,,,,,,,,,
,2L001205,WF005948,13116深兰19-4125TPG飞织面7.5,深兰19-4125TPG,16,双,,,,,SHL2505032,2025-05-16 00:00:00,,,,,,,,,,
,2L001205,WF005949,13116深兰19-4125TPG飞织面8,深兰19-4125TPG,230,双,,,,,SHL2505032,2025-05-16 00:00:00,,,,,,,,,,
,2L001205,WF005950,13116深兰19-4125TPG飞织面8.5,深兰19-4125TPG,156,双,,,,,SHL2505032,2025-05-16 00:00:00,,,,,,,,,,
,2L001205,WF005951,13116深兰19-4125TPG飞织面9,深兰19-4125TPG,22,双,,,,,SHL2505032,2025-05-16 00:00:00,,,,,,,,,,
,2L001205,WF005952,13116深兰19-4125TPG飞织面9.5,深兰19-4125TPG,106,双,,,,,SHL2505032,2025-05-16 00:00:00,,,,,,,,,,
,2L001205,WF005953,13116深兰19-4125TPG飞织面10,深兰19-4125TPG,50,双,,,,8件,SHL2505032,2025-05-16 00:00:00,,,,,,,,,,
,2L001207,WF006497,13117深海蓝19-4024TPX飞织面9,深海蓝19-4024TPX,509,双,,,,,SHL2505033,2025-05-19 00:00:00,,,,,,,,,,
,2L001207,WF006499,13117深海蓝19-4024TPX飞织面10,深海蓝19-4024TPX,550,双,,,,,SHL2505033,2025-05-19 00:00:00,,,,,,,,,,
,2L001207,WF006500,13117深海蓝19-4024TPX飞织面10.5,深海蓝19-4024TPX,182,双,,,,,SHL2505033,2025-05-19 00:00:00,,,,,,,,,,
,2L001207,WF006501,13117深海蓝19-4024TPX飞织面11,深海蓝19-4024TPX,402,双,,,,,SHL2505033,2025-05-19 00:00:00,,,,,,,,,,
,2L001207,WF006506,13117深海蓝19-4024TPX舌面飞织6.5,深海蓝19-4024TPX,3,双,,,,,SHL2505033,2025-05-19 00:00:00,,,,,,,,,,
,2L001207,WF006507,13117深海蓝19-4024TPX舌面飞织7,深海蓝19-4024TPX,20,双,,,,,SHL2505033,2025-05-19 00:00:00,,,,,,,,,,
,2L001207,WF006508,13117深海蓝19-4024TPX舌面飞织7.5,深海蓝19-4024TPX,245,双,,,,,SHL2505033,2025-05-19 00:00:00,,,,,,,,,,
,2L001207,WF006509,13117深海蓝19-4024TPX舌面飞织8,深海蓝19-4024TPX,110,双,,,,,SHL2505033,2025-05-19 00:00:00,,,,,,,,,,
,2L001207,WF006510,13117深海蓝19-4024TPX舌面飞织8.5,深海蓝19-4024TPX,360,双,,,,,SHL2505034,2025-05-19 00:00:00,,,,,,,,,,
,2L001207,WF006511,13117深海蓝19-4024TPX舌面飞织9,深海蓝19-4024TPX,509,双,,,,,SHL2505034,2025-05-19 00:00:00,,,,,,,,,,
,2L001207,WF006512,13117深海蓝19-4024TPX舌面飞织9.5,深海蓝19-4024TPX,145,双,,,,,SHL2505034,2025-05-19 00:00:00,,,,,,,,,,
,2L001207,WF006513,13117深海蓝19-4024TPX舌面飞织10,深海蓝19-4024TPX,553,双,,,,,SHL2505034,2025-05-19 00:00:00,,,,,,,,,,
,2L001207,WF006514,13117深海蓝19-4024TPX舌面飞织10.5,深海蓝19-4024TPX,185,双,,,,,SHL2505034,2025-05-19 00:00:00,,,,,,,,,,
,2L001207,WF006515,13117深海蓝19-4024TPX舌面飞织11,深海蓝19-4024TPX,424,双,,,,,SHL2505034,2025-05-19 00:00:00,,,,,,,,,,
,2L001207,WF006516,13117深海蓝19-4024TPX舌面飞织11.5,深海蓝19-4024TPX,302,双,,,,,SHL2505034,2025-05-19 00:00:00,,,,,,,,,,
,2L001207,WF006517,13117深海蓝19-4024TPX舌面飞织12,深海蓝19-4024TPX,75,双,,,,,SHL2505034,2025-05-19 00:00:00,,,,,,,,,,
,2L001207,WF006518,13117深海蓝19-4024TPX舌面飞织12.5,深海蓝19-4024TPX,147,双,,,,,SHL2505035,2025-05-19 00:00:00,,,,,,,,,,
,2L001207,WF006519,13117深海蓝19-4024TPX舌面飞织13,深海蓝19-4024TPX,35,双,,,,,SHL2505035,2025-05-19 00:00:00,,,,,,,,,,
,2L001209,WF005159,13117黑色飞织舌面9.5,黑色,135,双,,,,,SHL2505035,2025-05-19 00:00:00,,,,,,,,,,
,2L001209,WF005160,13117黑色飞织舌面10,黑色,542,双,,,,,SHL2505035,2025-05-19 00:00:00,,,,,,,,,,
,2L001209,WF005161,13117黑色飞织舌面10.5,黑色,171,双,,,,,SHL2505035,2025-05-19 00:00:00,,,,,,,,,,
,2L001209,WF005162,13117黑色飞织舌面11,黑色,408,双,,,,,SHL2505035,2025-05-19 00:00:00,,,,,,,,,,
,2L001209,WF005163,13117黑色飞织舌面11.5,黑色,300,双,,,,,SHL2505035,2025-05-19 00:00:00,,,,,,,,,,
,2L001209,WF005164,13117黑色飞织舌面12,黑色,80,双,,,,,SHL2505035,2025-05-19 00:00:00,,,,,,,,,,
,2L001209,WF005153,13117黑色飞织舌面6.5,黑色,4,双,,,,,SHL2505036,2025-05-20 00:00:00,,,,,,,,,,
,2L001209,WF005154,13117黑色飞织舌面7,黑色,20,双,,,,,SHL2505036,2025-05-20 00:00:00,,,,,,,,,,
,2L001209,WF005156,13117黑色飞织舌面8,黑色,96,双,,,,,SHL2505036,2025-05-20 00:00:00,,,,,,,,,,
,2L001209,WF005157,13117黑色飞织舌面8.5,黑色,340,双,,,,,SHL2505036,2025-05-20 00:00:00,,,,,,,,,,
,2L001209,WF005158,13117黑色飞织舌面9,黑色,490,双,,,,,SHL2505036,2025-05-20 00:00:00,,,,,,,,,,
,2L001209,WF005165,13117黑色飞织舌面12.5,黑色,121,双,,,,,SHL2505036,2025-05-20 00:00:00,,,,,,,,,,
,2L001209,WF005166,13117黑色飞织舌面13,黑色,40,双,,,,,SHL2505036,2025-05-20 00:00:00,,,,,,,,,,
,2L001200,WF006520,13117灰蓝18-4214TPG飞织面6.5,灰蓝18-4214TPG,9,双,,,,,SHL2505037,2025-05-20 00:00:00,,,,,,,,,,
,2L001200,WF006521,13117灰蓝18-4214TPG飞织面7,灰蓝18-4214TPG,14,双,,,,,SHL2505037,2025-05-20 00:00:00,,,,,,,,,,
,2L001200,WF006522,13117灰蓝18-4214TPG飞织面7.5,灰蓝18-4214TPG,56,双,,,,,SHL2505037,2025-05-20 00:00:00,,,,,,,,,,
,2L001200,WF006523,13117灰蓝18-4214TPG飞织面8,灰蓝18-4214TPG,55,双,,,,,SHL2505037,2025-05-20 00:00:00,,,,,,,,,,
,2L001200,WF006526,13117灰蓝18-4214TPG飞织面9.5,灰蓝18-4214TPG,34,双,,,,,SHL2505037,2025-05-20 00:00:00,,,,,,,,,,
,2L001200,WF006528,13117灰蓝18-4214TPG飞织面10.5,灰蓝18-4214TPG,72,双,,,,,SHL2505037,2025-05-20 00:00:00,,,,,,,,,,
,2L001200,WF006532,13117灰蓝18-4214TPG飞织面12.5,灰蓝18-4214TPG,26,双,,,,,SHL2505037,2025-05-20 00:00:00,,,,,,,,,,
,2L001200,WF006533,13117灰蓝18-4214TPG飞织面13,灰蓝18-4214TPG,18,双,,,,,SHL2505037,2025-05-20 00:00:00,,,,,,,,,,
,2L001198,WF006437,13117暗蓝19-3929TPG飞织面7,暗蓝19-3929TPG,3,双,,,,,SHL2505038,2025-05-20 00:00:00,,,,,,,,,,
,2L001198,WF006438,13117暗蓝19-3929TPG飞织面7.5,暗蓝19-3929TPG,49,双,,,,,SHL2505038,2025-05-20 00:00:00,,,,,,,,,,
,2L001198,WF006439,13117暗蓝19-3929TPG飞织面8,暗蓝19-3929TPG,5,双,,,,,SHL2505038,2025-05-20 00:00:00,,,,,,,,,,
,2L001198,WF006440,13117暗蓝19-3929TPG飞织面8.5,暗蓝19-3929TPG,115,双,,,,,SHL2505038,2025-05-20 00:00:00,,,,,,,,,,
,2L001198,WF006444,13117暗蓝19-3929TPG飞织面10.5,暗蓝19-3929TPG,10,双,,,,,SHL2505038,2025-05-20 00:00:00,,,,,,,,,,
,2L001198,WF006448,13117暗蓝19-3929TPG飞织面12.5,暗蓝19-3929TPG,65,双,,,,,SHL2505038,2025-05-20 00:00:00,,,,,,,,,,
,2L001198,WF006449,13117暗蓝19-3929TPG飞织面13,暗蓝19-3929TPG,30,双,,,,,SHL2505038,2025-05-20 00:00:00,,,,,,,,,,
,2L001208,WF006465,13117深橄榄色19-0516TPG飞织面7,深橄榄色19-0516TPG,11,双,,,,,SHL2505039,2025-05-20 00:00:00,,,,,,,,,,
,2L001208,WF006468,13117深橄榄色19-0516TPG飞织面8.5,深橄榄色19-0516TPG,162,双,,,,,SHL2505039,2025-05-20 00:00:00,,,,,,,,,,
,2L001208,WF006471,13117深橄榄色19-0516TPG飞织面10,深橄榄色19-0516TPG,98,双,,,,,SHL2505039,2025-05-20 00:00:00,,,,,,,,,,
,2L001208,WF006476,13117深橄榄色19-0516TPG飞织面12.5,深橄榄色19-0516TPG,74,双,,,,,SHL2505039,2025-05-20 00:00:00,,,,,,,,,,
,2L001208,WF006477,13117深橄榄色19-0516TPG飞织面13,深橄榄色19-0516TPG,16,双,,,,,SHL2505039,2025-05-20 00:00:00,,,,,,,,,,
,2L001201,WF006408,13117冷灰COOL GRAY 7U飞织面6.5,冷灰COOL,5,双,,,,,SHL2505040,2025-05-20 00:00:00,,,,,,,,,,
,2L001201,WF006409,13117冷灰COOL GRAY 7U飞织面7,冷灰COOL,14,双,,,,,SHL2505040,2025-05-20 00:00:00,,,,,,,,,,
,2L001201,WF006410,13117冷灰COOL GRAY 7U飞织面7.5,冷灰COOL,68,双,,,,,SHL2505040,2025-05-20 00:00:00,,,,,,,,,,
,2L001201,WF006411,13117冷灰COOL GRAY 7U飞织面8,冷灰COOL,37,双,,,,,SHL2505040,2025-05-20 00:00:00,,,,,,,,,,
,2L001201,WF006415,13117冷灰COOL GRAY 7U飞织面10,冷灰COOL,80,双,,,,,SHL2505040,2025-05-20 00:00:00,,,,,,,,,,
,2L001201,WF006416,13117冷灰COOL GRAY 7U飞织面10.5,冷灰COOL,50,双,,,,,SHL2505040,2025-05-20 00:00:00,,,,,,,,,,
,2L001201,WF006420,13117冷灰COOL GRAY 7U飞织面12.5,冷灰COOL,21,双,,,,,SHL2505040,2025-05-20 00:00:00,,,,,,,,,,
,2L001207,WF006492,13117深海蓝19-4024TPX飞织面6.5,深海蓝19-4024TPX,5,双,,,,,SHL2505041,2025-05-20 00:00:00,,,,,,,,,,
,2L001207,WF006493,13117深海蓝19-4024TPX飞织面7,深海蓝19-4024TPX,21,双,,,,,SHL2505041,2025-05-20 00:00:00,,,,,,,,,,
,2L001207,WF006494,13117深海蓝19-4024TPX飞织面7.5,深海蓝19-4024TPX,234,双,,,,,SHL2505041,2025-05-20 00:00:00,,,,,,,,,,
,2L001207,WF006495,13117深海蓝19-4024TPX飞织面8,深海蓝19-4024TPX,106,双,,,,,SHL2505041,2025-05-20 00:00:00,,,,,,,,,,
,2L001207,WF006496,13117深海蓝19-4024TPX飞织面8.5,深海蓝19-4024TPX,290,双,,,,,SHL2505041,2025-05-20 00:00:00,,,,,,,,,,
,2L001207,WF006498,13117深海蓝19-4024TPX飞织面9.5,深海蓝19-4024TPX,142,双,,,,,SHL2505041,2025-05-20 00:00:00,,,,,,,,,,
,2L001207,WF006502,13117深海蓝19-4024TPX飞织面11.5,深海蓝19-4024TPX,300,双,,,,,SHL2505041,2025-05-20 00:00:00,,,,,,,,,,
,2L001207,WF006503,13117深海蓝19-4024TPX飞织面12,深海蓝19-4024TPX,73,双,,,,,SHL2505041,2025-05-20 00:00:00,,,,,,,,,,
,2L001207,WF006504,13117深海蓝19-4024TPX飞织面12.5,深海蓝19-4024TPX,121,双,,,,,SHL2505041,2025-05-20 00:00:00,,,,,,,,,,
,2L001207,WF006505,13117深海蓝19-4024TPX飞织面13,深海蓝19-4024TPX,35,双,,,,,SHL2505041,2025-05-20 00:00:00,,,,,,,,,,
,2L001199,WF005153,13117黑色飞织舌面6.5,黑色,4,双,,,,1件,SHL2505042,2025-05-22 00:00:00,,,,,,,,,,
,2L001199,WF005154,13117黑色飞织舌面7,黑色,12,双,,,,,SHL2505042,2025-05-22 00:00:00,,,,,,,,,,
,2L001199,WF005157,13117黑色飞织舌面8.5,黑色,134,双,,,,,SHL2505042,2025-05-22 00:00:00,,,,,,,,,,
,2L001199,WF005163,13117黑色飞织舌面11.5,黑色,186,双,,,,,SHL2505042,2025-05-22 00:00:00,,,,,,,,,,
,2L001199,WF005164,13117黑色飞织舌面12,黑色,10,双,,,,,SHL2505042,2025-05-22 00:00:00,,,,,,,,,,
,2L001199,WF005165,13117黑色飞织舌面12.5,黑色,102,双,,,,,SHL2505042,2025-05-22 00:00:00,,,,,,,,,,
,2L001199,WF005166,13117黑色飞织舌面13,黑色,34,双,,,,,SHL2505042,2025-05-22 00:00:00,,,,,,,,,,
,2L001209,WF005155,13117黑色飞织舌面7.5,黑色,232,双,,,,5/20有送补开,SHL2505042,2025-05-22 00:00:00,,,,,,,,,,
,2L001199,WF005157,13117黑色飞织舌面8.5,黑色,70,双,,,,,SHL2505043,2025-05-23 00:00:00,,,,,,,,,,
,2L001199,WF005158,13117黑色飞织舌面9,黑色,300,双,,,,,SHL2505043,2025-05-23 00:00:00,,,,,,,,,,
,2L001199,WF005159,13117黑色飞织舌面9.5,黑色,35,双,,,,,SHL2505043,2025-05-23 00:00:00,,,,,,,,,,
,2L001199,WF005160,13117黑色飞织舌面10,黑色,300,双,,,,,SHL2505043,2025-05-23 00:00:00,,,,,,,,,,
,2L001199,WF005161,13117黑色飞织舌面10.5,黑色,22,双,,,,1件,SHL2505043,2025-05-23 00:00:00,,,,,,,,,,
,2L001199,WF005154,13117黑色飞织舌面7,黑色,10,双,,,,2件,SHL2505044,2025-05-23 00:00:00,,,,,,,,,,
,2L001199,WF005155,13117黑色飞织舌面7.5,黑色,100,双,,,,,SHL2505044,2025-05-23 00:00:00,,,,,,,,,,
,2L001199,WF005156,13117黑色飞织舌面8,黑色,10,双,,,,,SHL2505044,2025-05-23 00:00:00,,,,,,,,,,
,2L001199,WF005160,13117黑色飞织舌面10,黑色,58,双,,,,,SHL2505044,2025-05-23 00:00:00,,,,,,,,,,
,2L001199,WF005162,13117黑色飞织舌面11,黑色,281,双,,,,,SHL2505044,2025-05-23 00:00:00,,,,,,,,,,
,2L001210,WF005143,13116黑色飞织舌面5.5,黑色,216,双,,,,,SHL2505045,2025-05-23 00:00:00,,,,,,,,,,
,2L001210,WF005144,13116黑色飞织舌面6,黑色,86,双,,,,,SHL2505045,2025-05-23 00:00:00,,,,,,,,,,
,2L001210,WF005147,13116黑色飞织舌面7.5,黑色,75,双,,,,,SHL2505045,2025-05-23 00:00:00,,,,,,,,,,
,2L001210,WF005148,13116黑色飞织舌面8,黑色,540,双,,,,,SHL2505045,2025-05-23 00:00:00,,,,,,,,,,
,2L001210,WF005149,13116黑色飞织舌面8.5,黑色,381,双,,,,,SHL2505045,2025-05-23 00:00:00,,,,,,,,,,
,2L001210,WF005150,13116黑色飞织舌面9,黑色,70,双,,,,,SHL2505045,2025-05-23 00:00:00,,,,,,,,,,
,2L001210,WF005145,13116黑色飞织舌面6.5,黑色,385,双,,,,,SHL2505046,2025-05-24 00:00:00,,,,,,,,,,
,2L001210,WF005146,13116黑色飞织舌面7,黑色,530,双,,,,,SHL2505046,2025-05-24 00:00:00,,,,,,,,,,
,2L001210,WF005151,13116黑色飞织舌面9.5,黑色,225,双,,,,,SHL2505046,2025-05-24 00:00:00,,,,,,,,,,
,2L001210,WF005152,13116黑色飞织舌面10,黑色,60,双,,,,,SHL2505046,2025-05-24 00:00:00,,,,,,,,,,
,2L001204,WF005143,13116黑色飞织舌面5.5,黑色,84,双,,,,2件,SHL2505047,2025-05-24 00:00:00,,,,,,,,,,
,2L001204,WF005144,13116黑色飞织舌面6,黑色,60,双,,,,,SHL2505047,2025-05-24 00:00:00,,,,,,,,,,
,2L001204,WF005145,13116黑色飞织舌面6.5,黑色,135,双,,,,,SHL2505047,2025-05-24 00:00:00,,,,,,,,,,
,2L001204,WF005146,13116黑色飞织舌面7,黑色,232,双,,,,,SHL2505047,2025-05-24 00:00:00,,,,,,,,,,
,2L001204,WF005147,13116黑色飞织舌面7.5,黑色,30,双,,,,,SHL2505047,2025-05-24 00:00:00,,,,,,,,,,
,2L001204,WF005148,13116黑色飞织舌面8,黑色,256,双,,,,,SHL2505047,2025-05-24 00:00:00,,,,,,,,,,
,2L001204,WF005149,13116黑色飞织舌面8.5,黑色,137,双,,,,,SHL2505047,2025-05-24 00:00:00,,,,,,,,,,
,2L001204,WF005150,13116黑色飞织舌面9,黑色,45,双,,,,,SHL2505047,2025-05-24 00:00:00,,,,,,,,,,
,2L001204,WF005151,13116黑色飞织舌面9.5,黑色,88,双,,,,,SHL2505047,2025-05-24 00:00:00,,,,,,,,,,
,2L001204,WF005152,13116黑色飞织舌面10,黑色,25,双,,,,,SHL2505047,2025-05-24 00:00:00,,,,,,,,,,
,2L001214,WF006548,13116 14-3803TPG紫罗兰飞织面5.5,14-3803TPG紫罗兰,34,双,,,,2件,SHL2505048,2025-05-26 00:00:00,,,,,,,,,,
,2L001214,WF006549,13116 14-3803TPG紫罗兰飞织面6,14-3803TPG紫罗兰,32,双,,,,,SHL2505048,2025-05-26 00:00:00,,,,,,,,,,
,2L001214,WF006550,13116 14-3803TPG紫罗兰飞织面6.5,14-3803TPG紫罗兰,38,双,,,,,SHL2505048,2025-05-26 00:00:00,,,,,,,,,,
,2L001214,WF006551,13116 14-3803TPG紫罗兰飞织面7,14-3803TPG紫罗兰,87,双,,,,,SHL2505048,2025-05-26 00:00:00,,,,,,,,,,
,2L001214,WF006552,13116 14-3803TPG紫罗兰飞织面7.5,14-3803TPG紫罗兰,15,双,,,,,SHL2505048,2025-05-26 00:00:00,,,,,,,,,,
,2L001214,WF006553,13116 14-3803TPG紫罗兰飞织面8,14-3803TPG紫罗兰,85,双,,,,,SHL2505048,2025-05-26 00:00:00,,,,,,,,,,
,2L001214,WF006554,13116 14-3803TPG紫罗兰飞织面8.5,14-3803TPG紫罗兰,32,双,,,,,SHL2505048,2025-05-26 00:00:00,,,,,,,,,,
,2L001214,WF006555,13116 14-3803TPG紫罗兰飞织面9,14-3803TPG紫罗兰,25,双,,,,,SHL2505048,2025-05-26 00:00:00,,,,,,,,,,
,2L001214,WF006556,13116 14-3803TPG紫罗兰飞织面9.5,14-3803TPG紫罗兰,30,双,,,,,SHL2505048,2025-05-26 00:00:00,,,,,,,,,,
,2L001214,WF006557,13116 14-3803TPG紫罗兰飞织面10,14-3803TPG紫罗兰,4,双,,,,,SHL2505048,2025-05-26 00:00:00,,,,,,,,,,
,2L001213,WF006568,13116 18-4034TPG蓝色飞织面5.5,18-4034TPG蓝色,38,双,,,,,SHL2505049,2025-05-26 00:00:00,,,,,,,,,,
,2L001213,WF006569,13116 18-4034TPG蓝色飞织面6,18-4034TPG蓝色,5,双,,,,,SHL2505049,2025-05-26 00:00:00,,,,,,,,,,
